rank_source	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
gse137244_tacstd2_pearson	prerank	EPITHELIAL_TJ_CORE	0.8352907962321718	2.912301322081961	0.0	0.0	0.0	15/18	9.30%	Cldn3;Cldn7;Marveld2;Marveld3;Cldn4;Ocln;Ildr1;Cgn;Cldn1;Tjp3;Lsr;Crb3;Cgnl1;Tjp1;Tjp2
gse137244_tacstd2_pearson	prerank	TJ_CORE18	0.8352907962321718	2.912301322081961	0.0	0.0	0.0	15/18	9.30%	Cldn3;Cldn7;Marveld2;Marveld3;Cldn4;Ocln;Ildr1;Cgn;Cldn1;Tjp3;Lsr;Crb3;Cgnl1;Tjp1;Tjp2
gse137244_tacstd2_pearson	prerank	HALLMARK_G2M_CHECKPOINT	0.44091393218464237	2.690470943805113	0.0	0.0	0.0	130/187	34.80%	Odf2;Hmgb3;Jpt1;Amd1;Pml;Uck2;Slc38a1;Map3k20;Orc5;Cdk4;Prim2;Ss18;Tmpo;Odc1;Tra2b;Nup50;Hnrnpu;Kif5b;Mnat1;Katna1;Dbf4;Lmnb1;Rbl1;Stag1;Bard1;Chmp1a;Hspa8;Prmt5;Snrpd1;Casp8ap2;Wrn;Cdc6;Kpnb1;Knl1;Ctcf;Mtf2;Exo1;Nasp;Srsf10;Lig3;Notch2;Pole;Nup98;Cdc27;Kif2c;Mybl2;Top1;Ccnf;Pura;Tfdp1;Srsf1;Hmmr;Ccnt1;Foxn3;Kif15;Nsd2;Polq;Smc2;Upf1;Kif4;Cdc25a;Xpo1;Cenpf;Sqle;Kif23;Cbx1;Atrx;Rad54l;Bub1;Mapk14;Bub3;Ttk;Rad23b;Lbr;Ube2s;Aurka;Dr1;Pbk;Hus1;G3bp1;Cul5;Cdc7;Kif20b;Brca2;Fbxo5;Rpa2;Rps6ka5;Stil;Tacc3;Nek2;Cenpe;Prpf4b;Espl1;Abl1;Cenpa;Plk4;Aurkb;Cdk1;Traip;Ndc80;Mcm5;Dmd;Mki67;Birc5;Meis1;Srsf2;Top2a;Tpx2;Cdkn3;Hif1a;Tnpo2;Smad3;Gspt1;Cdc45;Dtymk;Syncrip;Racgap1;Ccna2;Pafah1b1;Kif11;Nusap1;Cdc20;E2f3;Mcm3;Chek1;Smc1a;Chaf1a;Mcm6;Ube2c;Cul4a
gse137244_tacstd2_pearson	prerank	HALLMARK_E2F_TARGETS	0.43717544038169387	2.6672735405744112	0.0	0.0	0.0	115/194	29.98%	Ppm1d;Snrpb;Pop7;Trp53;Hmgb3;Jpt1;Rfc2;Donson;Tubb5;Wee1;Tfrc;Nbn;Rfc3;Cdk4;Cdkn1a;Prim2;Pcna;Gins1;Dnmt1;Tmpo;Tra2b;Rad50;Ccne1;Lmnb1;Mms22l;Stag1;Ran;Atad2;Bard1;Asf1a;Diaph3;Eif2s1;Chek2;Gins3;Brca1;Rfc1;Eed;Cse1l;Dscc1;Ctcf;Rrm2;Nme1;Nasp;Smc6;Pole;Melk;Spc25;Ak2;Kif2c;Nup153;Mybl2;Zw10;Srsf1;Hmmr;Dlgap5;Cit;Ccp110;Ubr7;Kif4;Cdc25a;Xpo1;Pold3;Depdc1a;Rpa1;Ranbp1;Lbr;Kif18b;Ube2s;Aurka;Ppp1r8;Hus1;Cnot9;Orc2;Nup205;Wdr90;Nup107;Brca2;Usp1;Spag5;Trip13;Rpa2;Spc24;Slbp;Tacc3;Prkdc;Tubg1;Cenpe;Pms2;Cdca8;Espl1;Dut;Cbx5;Ung;Plk4;Rad51ap1;Ube2t;Aurkb;Mcm4;Cdk1;Nop56;Lig1;Mcm5;Mki67;Birc5;Srsf2;Top2a;Prdx4;Cdkn3;Mre11a;E2f8;Dck;Asf1b;Mcm7;Phf5a;Gspt1
gse137244_tacstd2_pearson	prerank	GO_BICELLULAR_TIGHT_JUNCTION	0.5025329840921926	2.572252370870919	0.0	0.0	0.0	32/75	9.43%	Cldn3;Cldn7;Marveld2;Marveld3;Cldn4;Epcam;Ocln;Cyth3;Cldn23;Patj;Cgn;Cldn1;Cldn6;Tjp3;Pof1b;Micall2;Tbcd;Pard6b;Shroom2;Amotl1;Strn;Clmp;Mpp7;Tgfbr1;Wnk3;Cgnl1;Tjp1;Rapgef2;Magi2;Amotl2;Tjp2;Lnx1
gse137244_tacstd2_pearson	prerank	HALLMARK_MTORC1_SIGNALING	0.4147465873424642	2.514239544519502	0.0	0.0	0.0	86/191	20.18%	Psmc4;Pik3r3;Glrx;Dapp1;Atp6v1d;Psma3;Arpc5l;Tuba4a;Tbk1;G6pdx;Gtf2h1;Eno1b;Ccng1;Psmd13;Psma4;Psmc2;Pnp;Hmbs;Calr;Gbe1;Cops5;Tfrc;Ykt6;Psmd14;Bhlhe40;Nfyc;Nufip1;Gsr;Cdkn1a;Ufm1;Ddit4;Txnrd1;Btg2;Nmt1;Mthfd2l;Plod2;Gla;Actr2;Cct6a;Psmc6;Sc5d;Slc2a1;Ppa1;Cyp51;Dhcr24;Acly;Ak4;Pno1;Rdh11;Abcf2;Psmd12;Psmb5;Hmgcr;Etf1;Canx;Tes;Rrm2;Hk2;Polr3g;Pdap1;Hmgcs1;Ldlr;Cacybp;Uchl5;Map2k3;Ccnf;Eef1e1;Aldoa;Hspa4;Nfil3;Sdf2l1;Ssr1;Rab1a;Ppia;Fads2;Gapdh-ps15;Cdc25a;Psmg1;Sqle;Acsl3;Idi1;Rpa1;Bub1;Aurka;Sec11a;Acaca
gse137244_tacstd2_pearson	prerank	HALLMARK_MITOTIC_SPINDLE	0.395641592036722	2.40261694742568	0.0	0.0	0.0	101/198	25.72%	Fscn1;Tuba4a;Tiam1;Sptan1;Clip2;Vcl;Atg4b;Tbcd;Cenpj;Shroom2;Rhof;Mapre1;Tubgcp2;Cdc42;Dync1h1;Bcr;Als2;Pxn;Sptbn1;Abr;Pcnt;Cep250;Myh9;Klc1;Flnb;Abi1;Kif5b;Katna1;Lmnb1;Sass6;Ranbp9;Flna;Kifap3;Ckap5;Arhgap29;Trio;Bin1;Cep72;Rfc1;Rock1;Lats1;Kif1b;Tubd1;Alms1;Cep192;Nin;Notch2;Cdc27;Kntc1;Arf6;Kif2c;Rab3gap1;Tubgcp6;Dlgap5;Pdlim5;Kif15;Pif1;Arfgef1;Kif4;Lrpprc;Arhgap10;Arhgef7;Cenpf;Epb41;Kif23;Myo1e;Ect2;Myo9b;Bub1;Tubgcp5;Ttk;Cdk5rap2;Aurka;Clasp1;Rasa1;Kif20b;Apc;Map1s;Uxt;Clip1;Brca2;Cttn;Fbxo5;Rictor;Kif3b;Fgd6;Ppp4r2;Nek2;Cenpe;Rabgap1;Dst;Arhgap5;Cntrl;Anln;Mid1ip1;Ralbp1;Espl1;Cdc42bpa;Abl1;Arhgap27;Rapgef6
gse137244_tacstd2_pearson	prerank	HALLMARK_MYC_TARGETS_V1	0.3905134928177641	2.378093027834618	0.0	0.0	0.0	107/190	29.98%	Psmb2;Eif4h;Psmc4;Psma2;Psma7;Slc25a3;Prps2;Psma4;Psmb3;Psma1;Cops5;Txnl4a;Psmd14;Psma6;Cdk4;Ppm1g;Hddc2;Tufm;Psmd8;Pcna;Rpl6;Rrm1;Odc1;Eif4a1;Acp1;Tra2b;Hnrnpu;Psmd1;Ap3s1;Psmd3;Cad;Psmc6;Tyms;Rps6;Ran;Cox5a;Vdac3;Hdac2;Snrpd1;Eif2s1;Cct2;Gm9531;Rps2;Got2;Erh;Kpnb1;Apex1;Cct4;Etf1;Canx;Dhx15;Eif3b;Cstf2;Cct5;Nme1;Ddx21;Uba2;Ptges3-ps;Abce1;Ube2e1;Tfdp1;Ywhaq;Srsf1;Eif3d;Ncbp2;Tcp1;Ppia;Aimp2;Cct3;Xpo1;Srpk1;Srsf7;Ranbp1;Pwp1;Bub3;Rad23b;Mrps18b;Vbp1;G3bp1;Gm10705;Orc2;Ldha;Usp1;Ssb;Snrpb2;Tomm70a;Ruvbl2;Eif2s2;Fam120a;Dut;Rsl1d1;Pgk1;Mcm4;Nop56;Ifrd1;Mcm5;Prpf31;Sf3a1;Sf3b3;Srsf2;Stard7;Prdx4;Ilf2;Clns1a;Mcm7;Rack1;Gspt1
gse137244_tacstd2_pearson	prerank	HALLMARK_P53_PATHWAY	0.38855379796343154	2.357286179856495	0.0	0.0	0.0	75/194	14.62%	St14;Pdgfa;Phlda3;Serpinb5;Ppm1d;Cd81;Klk8;Ak1;Sfn;Rps27l;Ei24;Mapkapk3;Cgrrf1;Bak1;Hras;Trp53;Itgb4;Ercc5;Bax;Fgf13;Ccng1;Prmt2;Aen;Mdm2;Def6;Plk2;Hdac3;Rgs16;Eps8l2;Perp;Apaf1;Tm4sf1;Plxnb2;Nudt15;Jag2;Rchy1;Slc19a2;Ptpn14;Rhbdf2;Traf4;Cdkn1a;Foxo3;Zmat3;Tax1bp3;Zfp365;Pcna;Ddit4;Triap1;Il1a;Wwp1;Btg2;Tpd52l1;Blcap;Krt17;Wrap73;Upp1;Sphk1;Procr;Ier5;Fos;Dcxr;Tchh;Lif;Ier3;Ada;Ephx1;Rrp8;Plk3;Rnf19b;Tnfsf9;Baiap2;Tgfa;Epha2;Pidd1;Fuca1
gse137244_tacstd2_pearson	prerank	KEGG_TIGHT_JUNCTION	0.38101500868443255	2.2842266442419703	0.0	0.0	0.0	56/163	11.60%	Cldn3;Cldn7;Marveld2;Marveld3;Cldn4;Tuba1a;Prkcz;Ocln;Actg1;Cldn23;Patj;Cgn;Pard6g;Cldn1;Tuba4a;Tiam1;Rab8b;Cldn6;Tjp3;Micall2;Slc9a3r1;Pard6b;Amotl1;Ppp2r2c;Crb3;Cdc42;Ppp2r1b;Itgb1;Tuba1c;Llgl2;Cdk4;Rac1;Pcna;Cgnl1;Ppp2cb;Tjp1;Mapk8;Myl12a;Prkag2;Myh9;Src;Dlg3;Afdn;Actr2;Actn1;Nedd4l;Ppp2ca;Rapgef2;Amotl2;Tjp2;Rdx;Prkaa1;Mapk9;Prkaa2;Rock1;Actb
