accession	mouse	group	design	n_raw	n_qc	n_epi	n_tnk	t_frac	error	tacstd2_pct	tacstd2_mean	cldn4_pct	cldn4_mean	tj7_mean	tj_core_mean	ifn_mean	n_tj7_genes	n_tj_core_genes
GSE165641	KL1	KL	mixed_lung	4400	4165	947	82	0.019687875150060024		0.26399155227032733	0.4218466198825082	0.14361140443505807	0.22604524486367922	0.27073875089147936	0.15091603576825435	0.11005815637391916	7	18
GSE165641	KL2	KL	mixed_lung	2780	2470	1417	228	0.09230769230769231		0.12844036697247707	0.11506212041364051	0.053634438955539876	0.05781865407281889	0.2251328451864426	0.15671114876499767	0.12493015776029745	7	18
GSE180963	K	K	mixed_lung	6696	6696	5335	3467	0.5177718040621266		0.020431115276476102	0.024113082251367237	0.00018744142455482662	0.00014147686823942044	0.07444975423644211	0.062215587419414436	0.14545295626636348	6	18
GSE180963	KL	KL	mixed_lung	7564	7564	6044	3603	0.4763352723426758		0.05972865651886168	0.058828973151341606	0.0038054268696227664	0.003572175799217183	0.08947452906179909	0.0638253412748872	0.21377312117438466	6	18
GSE179501	CM2260	Restored	mixed_lung	4279	4269	715	1520	0.35605528226750993		0.07552447552447553	0.0943189169746025	0.027972027972027972	0.03841460879863897	0.22080004202226272	0.11150711855193156	0.08877637918620292	7	18
GSE179501	CM2319	Restored	mixed_lung	4809	4795	1196	1330	0.2773722627737226		0.07859531772575251	0.1074070881104531	0.014214046822742474	0.019099886132859824	0.19094592886587947	0.10206050409361048	0.08958827265492679	7	18
GSE179501	CM2324	Non-Restored	mixed_lung	6641	6552	1525	1649	0.2516788766788767		0.06885245901639345	0.1027693943213047	0.011147540983606558	0.01904659098082452	0.18944405373183384	0.10315982573643394	0.06736405303882012	7	18
GSE179501	CM2328	Non-Restored	mixed_lung	4622	4594	1891	883	0.19220722681758814		0.11052353252247488	0.17056637278526685	0.02009518773135907	0.03345992933265757	0.2745979237305758	0.1382861153423128	0.05653580764153467	7	18
GSE264739	KP1	KP	mixed_lung	9832	8126	5187	1525	0.1876692099433916		0.05880084827453248	0.03884290672930483	0.07191054559475613	0.07059008927129111	0.2607224120036619	0.12636815341406682	0.1488698145379839	7	18
GSE264739	KP2	KP	mixed_lung	10528	9444	6713	1578	0.1670902160101652		0.04707284373603456	0.035206146755492426	0.06450171309399673	0.06752069230311675	0.26367291294261397	0.130043810823414	0.12708609767598075	7	18
GSE264739	KP3	KP	mixed_lung	11618	10338	7135	1955	0.18910814470884116		0.06867554309740714	0.05472333044314731	0.07372109320252278	0.07767137073047078	0.2514559969352316	0.12481683889706666	0.13500380331284392	7	18
GSE264739	KPP1	KPP	mixed_lung	6697	6026	3913	83	0.013773647527381347		0.0301558906210069	0.01707501265128238	0.04191157679529772	0.04290123500792112	0.2834520934354361	0.12109032149835668	0.10769010105027345	7	18
GSE264739	KPP2	KPP	mixed_lung	8877	7685	4515	153	0.019908913467794404		0.02945736434108527	0.017706052121239556	0.06046511627906977	0.06100921403185838	0.27690765525027494	0.12370156899348929	0.10463176416371625	7	18
GSE264739	KPP3	KPP	mixed_lung	12839	11648	7770	135	0.011589972527472528		0.029601029601029602	0.020128813630128337	0.05855855855855856	0.05548977333309107	0.2834539471538246	0.12823002713109738	0.10318986932896637	7	18
GSE154977	KP_30w_Cis72_m5	KP	AT2_FACS	2065	2061	2061	4	0.0019408054342552159		0.34691897137311983	0.28179947562136204	0.5608927704997574	0.5339388665150595	0.7335142545426327	0.42121712422149615	0.04375589729516008	7	18
GSE154977	KP_30w_Cis72_m6	KP	AT2_FACS	999	999	999	1	0.001001001001001001		0.36536536536536535	0.3690052598796676	0.6356356356356356	0.8230985761252776	0.8420461740584823	0.47850048432942804	0.07157404853828644	7	18
GSE154977	KP_30w_ND_m3	KP	AT2_FACS	3945	3944	3944	6	0.0015212981744421906		0.08493914807302232	0.059504444070044314	0.35953346855983775	0.3104647569807092	0.6364787972612466	0.3893513068492101	0.03591314547917716	7	18
GSE154977	KP_30w_ND_m4	KP	AT2_FACS	4008	4006	4006	4	0.000998502246630055		0.39166250624063903	0.3299981498998842	0.5976035946080879	0.6238035173490599	0.7236942768932455	0.43007587646045853	0.04872271931990072	7	18
