accession	n_epi	n_high	n_low	split	top_positive_term	top_positive_NES	best_junction_term	best_junction_NES	best_junction_rank_among_positive	junction_is_top_positive	note
GSE165641	2364	432	1932	pos_vs_zero	EPITHELIAL_TJ_CORE	2.1719600357832824	EPITHELIAL_TJ_CORE	2.1719600357832824	1.0	True	cell-level ranks; pseudoreplication; enrichment is the PPT question
GSE180963	11379	470	10909	pos_vs_zero	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.7352928896560527				False	cell-level ranks; pseudoreplication; enrichment is the PPT question
GSE179501	5327	462	4865	pos_vs_zero	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.3396703204655953	TJ_CORE18	1.377581998411696	12.0	False	cell-level ranks; pseudoreplication; enrichment is the PPT question
GSE264739	35235	1595	33640	pos_vs_zero	GOCC_ADHERENS_JUNCTION	2.2053838504055245	EPITHELIAL_TJ_CORE	2.0694222815446253	4.0	False	cell-level ranks; pseudoreplication; enrichment is the PPT question
GSE154977	11017	2990	8027	pos_vs_zero	HALLMARK_IL2_STAT5_SIGNALING	1.921687620814837	EPITHELIAL_TJ_CORE	1.729687435927959	7.0	False	cell-level ranks; pseudoreplication; enrichment is the PPT question
