library	arm	Tacstd2	Cldn4	TJ7	TJ_CORE18
B6AL10-1-RNA	KP	3.403267722339301	3.743084055549586	4.4138290099685715	3.697860588015009
B6AL10-2-RNA	KP	3.028569152196771	4.247927513443585	4.545190846400181	3.906301274438241
B6AL10-3-RNA	KP	0.0	1.5260688116675876	2.854568655410737	2.403349609828504
B6AL10-4-RNA	KP	3.3950627995175777	3.403267722339301	4.274478999672965	3.6359461360203604
B6AL10-5-RNA	KP	3.2600256559614555	3.6064422281316078	4.311348839915664	3.740659783680754
KL155mix-control-2-RNA	KL	5.703211467391146	7.9645141540866495	7.069169147857404	4.971360649673374
KL47-1-untreated-1-RNA	KL	5.189429245809757	8.533524414856684	7.242771916840016	4.97667344874778
KLC-RNA	KL	5.7398481026993275	9.168446483540569	7.264065121954524	5.207150879890147
KLD-RNA	KL	6.584661907941469	9.618513980828808	7.7727368331375475	5.1278382497726795
KLE-RNA	KL	6.060912049587874	9.08992710748277	7.393262186000705	5.234226477877002
