feature	unit	n_KL	n_KP	mean_KL	mean_KP	delta_KL_minus_KP	cliffs_delta	mw_p	complete_separation	n_genes_present	genes
Tacstd2	library	5	5	5.855612554685915	2.6173850660030213	3.2382274886828935	1.0	0.007936507936507936	True		
Cldn4	library	5	5	8.874985228159096	3.3053580662263338	5.569627161932762	1.0	0.007936507936507936	True		
Stk11	library	5	5	2.1128882404698346	4.635812619178515	-2.5229243787086806	-1.0	0.007936507936507936	True		
Trp53	library	5	5	5.338323905955162	2.9055248975581334	2.432799008397029	1.0	0.007936507936507936	True		
TJ7	library	5	5	7.348401041158039	4.079883270273624	3.268517770884415	1.0	0.007936507936507936	True	7.0	Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln
TJ_CORE18	library	5	5	5.1034499411921965	3.476823478396574	1.6266264627956226	1.0	0.007936507936507936	True	18.0	Cldn1,Cldn3,Cldn4,Cldn7,Ocln,Marveld2,Marveld3,Tjp1,Tjp2,Tjp3,F11r,Jam2,Jam3,Cgn,Cgnl1,Crb3,Ildr1,Lsr
