accession	n_mice	groups	rho_tacstd2_pct_vs_t_frac	p	tacstd2_pct_range	t_frac_range	eligible_n_ge4	note
GSE165641+GSE180963_descriptive	4	K,KL	-1.0	0.08333333333333333	0.0204-0.2640	0.0197-0.5178	True	DESCRIPTIVE cross-study; within-study orders agree; not a pooled model; exact perm p floor 0.083
GSE165641	2	KL	-0.9999999999999999	1.0	0.1284-0.2640	0.0197-0.0923	False	exact permutation p
GSE180963	2	K,KL	-0.9999999999999999	1.0	0.0204-0.0597	0.4763-0.5178	False	exact permutation p
GSE179501	4	Non-Restored,Restored	-0.39999999999999997	0.75	0.0689-0.1105	0.1922-0.3561	True	exact permutation p
GSE264739	6	KP,KPP	0.8285714285714287	0.058333333333333334	0.0295-0.0687	0.0116-0.1891	True	exact permutation p
