cohort	predictor	endpoint	n_predictor_quantified	n_predictor_missing	n_endpoint_in_quantified	n_endpoint_in_missing	median_quantified	median_missing	delta_missing_minus_quantified	u	p	tested
LUAD	CLDN4	TACSTD2	79	31	79	31	26.5091858483273	26.6399456672066	0.13075981887930155	1098.0	0.4025060866158281	True
LUAD	CLDN4	CD8A	79	31	79	31	21.8101508484348	21.6180401828885	-0.19211066554630207	1499.0	0.06868632718086709	True
LUAD	CLDN4	MHC1_protein	79	31	79	31	0.004971717330917817	-0.14045021020304949	-0.1454219275339673	1386.0	0.284755895378199	True
LUAD	CLDN4	IFN_core_protein	79	31	79	31	-0.037481195560194	0.13846797167438823	0.17594916723458223	1192.0	0.8316307768389062	True
LUAD	CLDN4	HLA-A	79	31	79	31	27.8604977686749	27.7327764526633	-0.12772131601160197	1338.0	0.45278455832648856	True
LUAD	CLDN4	HLA-B	79	31	79	31	26.9880269425897	26.9046816367225	-0.0833453058671978	1292.0	0.6562090123277129	True
LUAD	CLDN4	HLA-C	79	31	79	31	26.1318748383373	25.9644916209552	-0.16738321738209905	1405.0	0.2317222800238038	True
LUAD	CLDN4	STAT1	79	31	79	31	28.2858108832051	28.3058068236136	0.01999594040849928	1247.0	0.8837874069093703	True
LUAD	CLDN4	IRF9	79	31	79	31	24.49659188019	24.5365299623895	0.03993808219950168	1262.0	0.8058131387970879	True
LUAD	CLDN4	JAK1	79	31	79	31	25.6934951323167	25.7544934112626	0.060998278945902484	1104.0	0.4252829783422124	True
LUAD	CLDN4	JAK2	79	31	79	31	21.5731174437595	21.5104016202903	-0.06271582346920113	1284.0	0.6950577565012704	True
LUAD	CLDN4	WES_purity	79	31	77	31	0.31	0.34	0.030000000000000027	1137.0	0.7033884465008042	True
LUAD	TACSTD2	CLDN4	110	0	79	0	23.0710721901358					False
LUAD	TACSTD2	CD8A	110	0	110	0	21.761586069411948					False
LUAD	TACSTD2	MHC1_protein	110	0	110	0	-0.008382073682117179					False
LUAD	TACSTD2	IFN_core_protein	110	0	110	0	-0.018202956990138536					False
LUAD	TACSTD2	HLA-A	110	0	110	0	27.8512618528863					False
LUAD	TACSTD2	HLA-B	110	0	110	0	26.98466554252615					False
LUAD	TACSTD2	HLA-C	110	0	110	0	26.0483382333172					False
LUAD	TACSTD2	STAT1	110	0	110	0	28.29580885340935					False
LUAD	TACSTD2	IRF9	110	0	110	0	24.4993472259989					False
LUAD	TACSTD2	JAK1	110	0	110	0	25.7097973385805					False
LUAD	TACSTD2	JAK2	110	0	110	0	21.54999678036505					False
LUAD	TACSTD2	WES_purity	110	0	108	0	0.33					False
LSCC	CLDN4	TACSTD2	78	30	78	30	26.876959557676102	26.846917378226202	-0.030042179449900175	1348.0	0.2234152805812888	True
LSCC	CLDN4	CD8A	78	30	78	30	22.3805160131493	22.687166288570552	0.30665027542125145	850.0	0.02841605547387522	True
LSCC	CLDN4	MHC1_protein	78	30	78	30	-0.11765843074582884	0.1369973010536789	0.25465573179950773	887.0	0.05265909417479645	True
LSCC	CLDN4	IFN_core_protein	78	30	78	30	-0.06808565157285308	0.0939599009675153	0.1620455525403684	963.0	0.1566550043029476	True
LSCC	CLDN4	HLA-A	78	30	78	30	27.52583470681455	27.57162536303545	0.04579065622090184	1041.0	0.3781018772403526	True
LSCC	CLDN4	HLA-B	78	30	78	30	26.916051726709448	27.0213225305812	0.10527080387175403	938.0	0.11231119279796636	True
LSCC	CLDN4	HLA-C	78	30	78	30	26.2588472939713	26.3125178426725	0.053670548701198584	983.0	0.20081644178027003	True
LSCC	CLDN4	STAT1	78	30	78	30	28.42193458764135	28.649158716397253	0.22722412875590337	902.0	0.0665325105673411	True
LSCC	CLDN4	IRF9	78	30	78	30	24.4403454862883	24.532548919722153	0.09220343343385196	1046.0	0.39693751400555155	True
LSCC	CLDN4	JAK1	78	30	78	30	23.60564540699695	23.69029396702885	0.08464856003190135	1054.0	0.4282264243863608	True
LSCC	CLDN4	JAK2	78	30	78	30	21.71445550730145	21.814684653327348	0.10022914602589594	1008.0	0.26796956409872597	True
LSCC	CLDN4	WES_purity	78	30	77	30	0.37	0.405	0.03500000000000003	1151.5	0.9833903180022587	True
LSCC	TACSTD2	CLDN4	108	0	78	0	23.34019422656705					False
LSCC	TACSTD2	CD8A	108	0	108	0	22.467822145599847					False
LSCC	TACSTD2	MHC1_protein	108	0	108	0	-0.07777896501280321					False
LSCC	TACSTD2	IFN_core_protein	108	0	108	0	-0.023110148640566222					False
LSCC	TACSTD2	HLA-A	108	0	108	0	27.53598865674575					False
LSCC	TACSTD2	HLA-B	108	0	108	0	26.94179773711225					False
LSCC	TACSTD2	HLA-C	108	0	108	0	26.299646095256					False
LSCC	TACSTD2	STAT1	108	0	108	0	28.49189946242575					False
LSCC	TACSTD2	IRF9	108	0	108	0	24.451286953876					False
LSCC	TACSTD2	JAK1	108	0	108	0	23.623249076832302					False
LSCC	TACSTD2	JAK2	108	0	108	0	21.764776301248					False
LSCC	TACSTD2	WES_purity	108	0	107	0	0.37					False
