cohort	n_tumors	both_quantified	cldn4_only	tacstd2_only	both_missing	cldn4_quantified	cldn4_missing	cldn4_pct_missing	tacstd2_quantified	tacstd2_missing	tacstd2_pct_missing
LUAD	110	79	0	31	0	79	31	28.181818181818183	110	0	0.0
LSCC	108	78	0	30	0	78	30	27.77777777777778	108	0	0.0
