cohort	predictor	endpoint	symbol	class	row	present	primary_family	n	rho	p	ci_lo	ci_hi	n_partial	rho_partial	p_partial	ci_lo_partial	ci_hi_partial	q_primary	call
LUAD	CLDN4_protein	CD8A_protein	CD8A	cd8	ENSG00000153563.15	True	True	79	-0.09790652385589094	0.3906679722862911	-0.3196426320270329	0.14765541314249603	77	-0.04416566290158749	0.7029069270720176	-0.2906688602557425	0.20517107861873815	0.5860019584294366	null; does not support
LUAD	CLDN4_protein	CD8B_protein	CD8B	cd8		False	False	0					0						
LUAD	CLDN4_protein	IFNG_protein	IFNG	ifn_ligand		False	False	0					0						
LUAD	CLDN4_protein	IFNA1_protein	IFNA1	ifn_ligand		False	False	0					0						
LUAD	CLDN4_protein	IFNB1_protein	IFNB1	ifn_ligand		False	False	0					0						
LUAD	CLDN4_protein	IFNAR1_protein	IFNAR1	ifn_receptor	ENSG00000142166.13	True	False	61	-0.15621364357482811	0.22927666481646344	-0.3940578810928143	0.12180052792422806	0						
LUAD	CLDN4_protein	IFNAR2_protein	IFNAR2	ifn_receptor		False	False	0					0						
LUAD	CLDN4_protein	IFNGR1_protein	IFNGR1	ifn_receptor	ENSG00000027697.15	True	False	79	-0.007473222979552094	0.9478828990154284	-0.23153932505403146	0.20953491051897222	0						
LUAD	CLDN4_protein	IFNGR2_protein	IFNGR2	ifn_receptor		False	False	0					0						
LUAD	CLDN4_protein	STAT1_protein	STAT1	ifn_signaling	ENSG00000115415.20	True	False	79	-0.21759980525803313	0.054055302289243434	-0.42919192111147264	0.0092734687874055	0						
LUAD	CLDN4_protein	STAT2_protein	STAT2	ifn_signaling	ENSG00000170581.14	True	False	79	-0.13627069133398248	0.23111552478366923	-0.3563164671207952	0.11025474540252372	0						
LUAD	CLDN4_protein	IRF1_protein	IRF1	ifn_signaling	ENSG00000125347.14	True	False	67	-0.1071115013169447	0.38828500196825166	-0.33449709830919216	0.12866750010131914	0						
LUAD	CLDN4_protein	IRF9_protein	IRF9	ifn_signaling	ENSG00000213928.9	True	False	79	-0.2830574488802337	0.011481512333886787	-0.48707908562116936	-0.053595654768429014	0						
LUAD	CLDN4_protein	JAK1_protein	JAK1	ifn_signaling	ENSG00000162434.13	True	False	79	-0.03592989289191821	0.7532452196315891	-0.2536389801268808	0.17399862153922815	0						
