cohort	symbol	class	ensembl_query	row	present	n_tumors	n_quantified	n_missing	pct_missing	n_exact_zero	min	median	max
LUAD	CLDN4	predictor	ENSG00000189143	ENSG00000189143.9	True	110	79	31	28.181818181818183	0	21.4349671016967	23.0710721901358	24.9609243822922
LUAD	TACSTD2	predictor	ENSG00000184292	ENSG00000184292.7	True	110	110	0	0.0	0	25.2510764671596	26.533548728417998	28.1376722108752
LUAD	CD8A	cd8	ENSG00000153563	ENSG00000153563.15	True	110	110	0	0.0	0	20.4094465955374	21.761586069411948	23.6191527165876
LUAD	CD8B	cd8	ENSG00000172116		False	110	0	110	100.0	0			
LUAD	IFNG	ifn_ligand	ENSG00000111537		False	110	0	110	100.0	0			
LUAD	IFNA1	ifn_ligand	ENSG00000197919		False	110	0	110	100.0	0			
LUAD	IFNB1	ifn_ligand	ENSG00000171855		False	110	0	110	100.0	0			
LUAD	IFNAR1	ifn_receptor	ENSG00000142166	ENSG00000142166.13	True	110	88	22	20.0	0	19.3059197374553	20.34638818346195	21.5434415523259
LUAD	IFNAR2	ifn_receptor	ENSG00000159110		False	110	0	110	100.0	0			
LUAD	IFNGR1	ifn_receptor	ENSG00000027697	ENSG00000027697.15	True	110	110	0	0.0	0	22.1134855704409	22.7973017713189	24.6233139404827
LUAD	IFNGR2	ifn_receptor	ENSG00000159128		False	110	0	110	100.0	0			
LUAD	STAT1	ifn_signaling	ENSG00000115415	ENSG00000115415.20	True	110	110	0	0.0	0	27.4249550310234	28.29580885340935	29.7068609149368
LUAD	STAT2	ifn_signaling	ENSG00000170581	ENSG00000170581.14	True	110	110	0	0.0	0	24.6996591759423	25.3111019061262	25.9920388718704
LUAD	IRF1	ifn_signaling	ENSG00000125347	ENSG00000125347.14	True	110	85	25	22.727272727272727	0	17.4878154764345	18.3852495999358	19.7196835206376
LUAD	IRF9	ifn_signaling	ENSG00000213928	ENSG00000213928.9	True	110	110	0	0.0	0	23.6268870951511	24.4993472259989	25.37725542319
