gene	in_ifn	in_cyto	in_exh	k	n	pooled_rho	p	I2
IGFLR1	False	False	False	2	53	-0.41955905969781787	0.0021726836495862233	0.0
APLP2	False	False	False	2	53	0.43451687756242896	0.0022255216349813763	7.626170031196307
IFITM1	False	False	False	2	53	-0.4067419821444539	0.003080449113822153	0.0
ICAM3	False	False	False	2	53	-0.37608185490371143	0.006701384790622686	0.0
ANXA2	False	False	False	2	53	0.4400939258964175	0.009735155397453737	34.87467995655605
LY9	False	False	False	2	53	-0.3525582135752943	0.011557876627038421	0.0
GRN	False	False	False	2	53	0.33203893467152257	0.017980935848889865	0.0
SEMA4D	False	False	False	2	53	-0.32846998732697796	0.019358857295658023	0.0
HCST	False	False	False	2	53	-0.40733131749869633	0.03155737945078492	45.982562299643284
RTN4	False	False	False	2	53	0.30253927360059346	0.03226551780720513	0.0
OAS2	False	False	False	2	53	-0.29289907264349124	0.03858484002921491	0.0
MFNG	False	False	False	2	53	-0.2914454889081499	0.03961972297467074	0.0
GZMM	False	True	False	2	53	-0.2898412868803414	0.04078793895089225	0.0
ISG20	False	False	False	2	53	-0.2885612732930054	0.04174001562394082	0.0
IFI6	True	False	False	2	53	-0.28582038801591725	0.04383938549327288	0.0
CD27	False	False	False	2	53	-0.28155664777480455	0.04727433727955532	0.0
TMEM167A	False	False	False	2	53	0.2807897586061131	0.0479145798859524	0.0
KLRK1	False	True	False	2	53	-0.27979791067074783	0.04875297029951599	0.0
MX1	True	False	False	2	53	-0.26788466125531973	0.059774944872352326	0.0
BST2	False	False	False	2	53	-0.2574988985241386	0.07092298583632799	0.0
PRDM1	False	False	False	2	53	-0.255511110294911	0.07323187326454891	0.0
CXCR5	False	False	False	2	53	-0.24989729942484112	0.0800715588799883	0.0
IRF9	False	False	False	2	53	-0.24837625253473286	0.08200782408032924	0.0
CCL3L1	False	False	False	1	22	-0.3721061547148504	0.08842904574214262	0.0
CCL3	False	False	False	2	53	-0.24404785199174375	0.09325583564894656	3.1508076305424284
IL10RA	False	False	False	2	53	-0.23284735796374095	0.103918337984058	0.0
CD48	False	False	False	2	53	-0.2304754805428554	0.10762414923658348	0.0
EOMES	False	False	False	2	53	-0.22755838902959644	0.1123182842086356	0.0
HLA-F	False	False	False	2	53	-0.22693802950071185	0.11333620370523292	0.0
GBP5	False	False	False	2	53	-0.22337478190391155	0.11931832353674436	0.0
CD38	False	False	True	2	53	-0.22290273065469635	0.12012827305179499	0.0
CALM2	False	False	False	2	53	0.274087445955992	0.12171367951475787	34.19886332230846
IL16	False	False	False	2	53	-0.2200464700229033	0.1251173011795879	0.0
LAMP1	False	False	False	2	53	-0.21858082094030803	0.1277366598271464	0.0
IFNAR2	False	False	False	2	53	-0.24536245629207518	0.1298151013245847	21.059988038810523
PDCD1	False	False	True	2	53	-0.21387721311531732	0.1364188876444188	0.0
IRF7	True	False	False	2	53	-0.21368777398912786	0.13677748345970459	0.0
ICAM2	False	False	False	2	53	-0.2125961641303269	0.13885741662335555	0.0
CD59	False	False	False	2	53	0.3443244939783716	0.14100607511011037	63.04879822738373
BTN3A1	False	False	False	2	53	-0.21022164131373666	0.14346223538384015	0.0
CALM3	False	False	False	2	53	-0.20998731036010898	0.14392267513247456	0.0
LGALS9	False	False	False	2	53	-0.20956637326419733	0.14475250460792702	0.0
MX2	False	False	False	2	53	-0.20695198203438908	0.14998527508729695	0.0
SIRPG	False	False	False	2	53	-0.20627569868096124	0.1513610958391308	0.0
CLEC2D	False	False	False	2	53	-0.2691339894495221	0.15258424522255432	41.38936548219447
TOP2A	False	False	False	2	53	0.31074021613455344	0.15270870194000039	56.56841356086954
MIF	False	False	False	2	53	-0.35557863940308265	0.15353979747629903	67.58637112796022
UTS2	False	False	False	2	53	-0.2022191199947569	0.1598075405613787	0.0
GBP1	True	False	False	2	53	-0.2009760563770084	0.1624628622603831	0.0
TNFSF10	False	False	False	2	53	-0.19905294079772576	0.1666334519968764	0.0
TNFRSF14	False	False	False	2	53	-0.19834759411641184	0.16818227007154007	0.0
IL32	False	False	False	2	53	-0.19639311629846135	0.17252800012119673	0.0
