ligand	cohort	n	median_delta	mean_delta	p
OCLN	GSE131907	29	0.08128227293491364	0.09541807285156743	3.725290298461914e-09
ICAM1	GSE131907	29	0.1430436372756958	0.17300236013172002	7.450580596923828e-09
F11R	GSE131907	29	0.10519251227378845	0.12315550497893629	5.21540641784668e-08
GRN	GSE131907	29	0.10274583101272583	0.14184571340166288	7.078051567077637e-08
LAMA5	GSE131907	29	0.060757726430892944	0.08105270230564578	7.078051567077637e-08
CD9	GSE131907	29	0.20945096015930176	0.28073226891714953	9.313225746154785e-08
LGALS3BP	GSE131907	29	0.1687307357788086	0.20285800645320579	9.313225746154785e-08
ST14	GSE131907	29	0.11454135179519653	0.14013524199354238	1.601874828338623e-07
F11R	GSE205335	22	0.38969990611076355	0.3604697795076804	4.76837158203125e-07
OCLN	GSE205335	22	0.19088034331798553	0.186100237918171	4.76837158203125e-07
FAM3C	GSE205335	22	0.23452186584472656	0.2736661102284085	4.76837158203125e-07
PLAU	GSE205335	22	0.1277601271867752	0.169757405243052	4.76837158203125e-07
CEACAM6	GSE205335	22	0.44469796121120453	0.4671895712275397	4.76837158203125e-07
GRN	GSE205335	22	0.32888631522655487	0.3224890875545415	4.76837158203125e-07
CDH1	GSE205335	22	0.3350261151790619	0.34095534682273865	4.76837158203125e-07
ADAM9	GSE205335	22	0.11219923943281174	0.14972129853611643	4.76837158203125e-07
ALCAM	GSE205335	22	0.17614543437957764	0.2602297059175643	4.76837158203125e-07
TSPAN3	GSE205335	22	0.20643895864486694	0.35761722922325134	4.76837158203125e-07
CD55	GSE205335	22	0.29967038333415985	0.3398049079220403	4.76837158203125e-07
APP	GSE205335	22	0.17716272175312042	0.3354354102841832	4.76837158203125e-07
LRPAP1	GSE205335	22	0.17868748307228088	0.16751880672844974	4.76837158203125e-07
LGALS3BP	GSE205335	22	0.5483950674533844	0.4227064080875028	4.76837158203125e-07
CDH1	GSE131907	29	0.12301138043403625	0.1486061390103965	5.103647708892822e-07
CD9	GSE205335	22	0.49878251552581787	0.6076526519927111	9.5367431640625e-07
LAMB2	GSE205335	22	0.058861441910266876	0.08016172305955975	9.5367431640625e-07
CEACAM5	GSE205335	22	0.14693568646907806	0.27002767313388176	9.5367431640625e-07
HLA-E	GSE131907	29	0.12471306324005127	0.15976634929920064	1.1436641216278076e-06
SECTM1	GSE205335	22	0.03113283310085535	0.062291940910985104	1.430511474609375e-06
ICAM4	GSE131907	29	0.04760504513978958	0.06769307007097863	1.6652047634124756e-06
SECTM1	GSE131907	29	0.02749674580991268	0.03359072353562404	2.384185791015625e-06
ST14	GSE205335	22	0.2370423525571823	0.284723816270178	2.384185791015625e-06
MMP14	GSE205335	22	0.05038838088512421	0.10265193207041276	2.384185791015625e-06
CXADR	GSE205335	22	0.13000287860631943	0.17457072673873467	2.384185791015625e-06
LAMB3	GSE131907	29	0.06812500953674316	0.11770995353059523	2.384185791015625e-06
CD59	GSE205335	22	0.27156300842761993	0.35045227950269525	2.384185791015625e-06
LGALS3	GSE205335	22	0.47000616788864136	0.5536750301041387	2.384185791015625e-06
NECTIN2	GSE205335	22	0.2747866064310074	0.2686826100742275	3.337860107421875e-06
TGFA	GSE205335	22	0.06866089627146721	0.06915012163517531	3.337860107421875e-06
LAMC2	GSE131907	29	0.03670484572649002	0.0663788005195815	4.697591066360474e-06
CCN1	GSE205335	22	0.21066901832818985	0.3054659247652374	4.76837158203125e-06
LAMB3	GSE205335	22	0.1880311369895935	0.2835330785283903	4.76837158203125e-06
PSEN1	GSE131907	29	0.04078366607427597	0.04416226634177668	5.5246055126190186e-06
MPZL3	GSE131907	29	0.033925436437129974	0.04190586147637203	6.4782798290252686e-06
WNT7B	GSE205335	22	0.0734255239367485	0.10371907597106077	6.67572021484375e-06
LAMC1	GSE205335	22	0.05824369378387928	0.08283513699742881	6.67572021484375e-06
MMP14	GSE131907	29	0.02062438428401947	0.04989468749484111	7.577240467071533e-06
ADAM15	GSE205335	22	0.1664573699235916	0.15746313164179976	9.059906005859375e-06
AGRN	GSE131907	29	0.10756652057170868	0.10386700876827898	1.0278075933456421e-05
NECTIN4	GSE205335	22	0.21440760791301727	0.1983943062157116	1.1920928955078125e-05
AGRN	GSE205335	22	0.17641612887382507	0.16787039072633805	1.1920928955078125e-05
LAMA5	GSE205335	22	0.14729128777980804	0.16875787113200535	1.1920928955078125e-05
ADAM15	GSE131907	29	0.054343730211257935	0.07531089489829951	1.3809651136398315e-05
CXADR	GSE131907	29	0.08802466839551926	0.09442101239130415	1.3809651136398315e-05
CXCL16	GSE205335	22	0.13170110434293747	0.11444131924178112	1.5735626220703125e-05
SLPI	GSE205335	22	0.3504873067140579	0.5979255863296037	1.5735626220703125e-05
HBEGF	GSE205335	22	0.09072751924395561	0.1049161439084194	1.5735626220703125e-05
TCTN1	GSE205335	22	0.03520653396844864	0.1160632719031789	1.5735626220703125e-05
MIF	GSE131907	29	-0.09831357002258301	-0.11750953464672484	1.5951693058013916e-05
EDN1	GSE131907	29	0.04282853752374649	0.0692571874804281	2.1148473024368286e-05
PLXNA1	GSE131907	29	0.01952376961708069	0.03850575523643658	2.4273991584777832e-05
TRAF2	GSE131907	29	0.016153156757354736	0.01597049100131824	2.4273991584777832e-05
PVR	GSE205335	22	0.03955574706196785	0.05777290548113259	2.6226043701171875e-05
MPZL3	GSE205335	22	0.06504062376916409	0.052323111798614264	2.6226043701171875e-05
NECTIN1	GSE205335	22	0.032674649730324745	0.05805497127585113	2.6226043701171875e-05
HLA-A	GSE131907	29	0.16158604621887207	0.20462325934706063	2.780929207801819e-05
LRPAP1	GSE131907	29	0.06219965219497681	0.08429461923138849	3.1795352697372437e-05
LAMC2	GSE205335	22	0.1390068233013153	0.16226245353887367	3.337860107421875e-05
CD82	GSE131907	29	0.05387085676193237	0.05157508261116414	3.628432750701904e-05
