figshare_doi	cell_line	compartment	sample_id	group	compounds_in_block
10.1158/2767-9764.28688934	OVCA429	cells	DS2-041-001+	WT	155
10.1158/2767-9764.28688934	OVCA429	cells	DS2-041-002+	WT	155
10.1158/2767-9764.28688934	OVCA429	cells	DS2-041-003+	WT	155
10.1158/2767-9764.28688934	OVCA429	cells	DS2-041-004+	CLDN4 KD	155
10.1158/2767-9764.28688934	OVCA429	cells	DS2-041-005+	CLDN4 KD	155
10.1158/2767-9764.28688934	OVCA429	cells	DS2-041-006+	CLDN4 KD	155
10.1158/2767-9764.28688934	OVCA429	supernatant	DS2-041-007+	WT	149
10.1158/2767-9764.28688934	OVCA429	supernatant	DS2-041-008+	WT	149
10.1158/2767-9764.28688934	OVCA429	supernatant	DS2-041-009+	WT	149
10.1158/2767-9764.28688934	OVCA429	supernatant	DS2-041-010+	CLDN4 KD	149
10.1158/2767-9764.28688934	OVCA429	supernatant	DS2-041-011+	CLDN4 KD	149
10.1158/2767-9764.28688934	OVCA429	supernatant	DS2-041-012+	CLDN4 KD	149
10.1158/2767-9764.28688934	OVCAR3	cells	DS2-026-001+	WT	157
10.1158/2767-9764.28688934	OVCAR3	cells	DS2-026-002+	WT	157
10.1158/2767-9764.28688934	OVCAR3	cells	DS2-026-003+	WT	157
10.1158/2767-9764.28688934	OVCAR3	cells	DS2-026-004+	CLDN4 KD	157
10.1158/2767-9764.28688934	OVCAR3	cells	DS2-026-005+	CLDN4 KD	157
10.1158/2767-9764.28688934	OVCAR3	cells	DS2-026-006+	CLDN4 KD	157
10.1158/2767-9764.28688934	OVCAR3	supernatant	DS2-026-007+	WT	147
10.1158/2767-9764.28688934	OVCAR3	supernatant	DS2-026-008+	WT	147
10.1158/2767-9764.28688934	OVCAR3	supernatant	DS2-026-009+	WT	147
10.1158/2767-9764.28688934	OVCAR3	supernatant	DS2-026-010+	KD	147
10.1158/2767-9764.28688934	OVCAR3	supernatant	DS2-026-011+	KD	147
10.1158/2767-9764.28688934	OVCAR3	supernatant	DS2-026-012+	KD	147
