gene	probe	mean
CD274	ILMN_1701914	4.084138554216865
CD8A	ILMN_2353732	8.693632530120484
CD8A	ILMN_1768482	8.397632530120482
CD8A	ILMN_1760374	5.576512048192767
CDH1	ILMN_1770940	11.712753012048202
CLDN4	ILMN_2132458	5.959367469879517
EPCAM	ILMN_2160210	12.748825301204818
EPCAM	ILMN_2160209	6.896018072289161
KRT18	ILMN_1694778	12.758801204819276
KRT18	ILMN_1803408	5.109253012048191
KRT18	ILMN_1730848	4.50063855421687
KRT19	ILMN_1730777	12.685855421686751
KRT7	ILMN_2163723	11.46218072289157
KRT8	ILMN_1753584	11.120156626506024
TACSTD2	ILMN_1739001	12.959644578313252
