cohort	pair	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict_crude	verdict_adj	n_genes_in_score	genes_used	present	note
LUAD_tumor	CLDN4 vs CD8A	83	-0.041319018085249445	0.7107241171782523	-0.2472543822211355	0.17836251685789473	-0.0413511964093016	0.7122318543923056	NO_EVIDENCE	NO_EVIDENCE	1	CD8A	True	
LUAD_tumor	CLDN4 vs CD274	83	0.009300616911819253	0.9334941995252027	-0.1953838964569842	0.214903211013513	0.010159658423080297	0.9278187220688752	NO_EVIDENCE	NO_EVIDENCE	1	CD274	True	
LUAD_tumor	CLDN4 vs ImmuneScore	83	-0.0379501065268636	0.733388721602353	-0.25381173404766066	0.1769037171825566	-0.03862238029993915	0.7304703575702693	NO_EVIDENCE	NO_EVIDENCE	141	LCP2,LSP1,FYB,PLEK,HCK,IL10RA,LILRB1,NCKAP1L,LAIR1,NCF2,CYBB,PTPRC,IL7R,LAPTM5,CD53,EVI2B,SLA,ITGB2,GIMAP4,MYO1F,HCLS1,MNDA,IL2RG,CD48,AOAH,CCL5,LTB,GMFG,GIMAP6,GZMK,LST1,GPR65,LILRB2,WIPF1,CD37,BIN2,FCER1G,IKZF1,TYROBP,FGL2,FLI1,IRF8,ARHGAP15,SH2B3,TNFRSF1B,DOCK2,CD2,ARHGEF6,CORO1A,LY96,LYZ,ITGAL,TNFAIP3,RNASE6,TGFB1,PSTPIP1,CST7,RGS1,FGR,SELL,MICAL1,TRAF3IP3,ITGA4,MAFB,ARHGDIB,IL4R,RHOH,HLA-DPA1,NKG7,NCF4,LPXN,ITK,SELPLG,HLA-DPB1,CD3D,CD300A,IL2RB,ADCY7,PTGER4,SRGN,CD247,CCR7,MSN,ALOX5AP,PTGER2,RAC2,GBP2,VAV1,CLEC2B,P2RY14,NFKBIA,S100A9,IFI30,MFSD1,RASSF2,TPP1,RHOG,CLEC4A,GZMB,PVRIG,S100A8,CASP1,BCL2A1,HLA-E,KLRB1,GNLY,RAB27A,IL18RAP,TPST2,EMP3,GMIP,LCK,IL32,PTPRCAP,LGALS9,CCDC69,SAMHD1,TAP1,GBP1,CTSS,GZMH,ADAM8,GLRX,PRF1,CD69,HLA-B,HLA-DMA,CD74,KLRK1,PTPRE,HLA-DRA,VNN2,TCIRG1,RABGAP1L,CSTA,ZAP70,HLA-F,HLA-G,CD52,CD302,CD27	True	
LUAD_tumor	CLDN4 vs TACSTD2	83	0.39755881257664466	0.00019793597522405485	0.21563284280492506	0.5497103175210948	0.3983290355982354	0.00021033180347982007	OPPOSITE	OPPOSITE	1	TACSTD2	True	companion
LUAD_tumor	TACSTD2 vs CD8A	83	-0.03658594180916717	0.742632805909888	-0.2531464212388757	0.19409893905111672	-0.036437224167004026	0.7451843775162983	NO_EVIDENCE	NO_EVIDENCE	1	TACSTD2,CD8A	True	companion
LUAD_tumor	CLDN4 vs epithelial mean-z	83	-0.0074934668308021595	0.9463951630325697	-0.22217759796430078	0.20374568494888057			NO_EVIDENCE	NO_EVIDENCE	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7	True	companion
LUAD_tumor	CD8A vs epithelial mean-z	83	-0.004093027160908441	0.9707051669036696	-0.24415105608417464	0.23761124021547428			NO_EVIDENCE	NO_EVIDENCE	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7	True	companion
LUAD_tumor	CD274 vs epithelial mean-z	83	0.10684050277032311	0.3363727633944035	-0.14862930296482632	0.352855682925727			NO_EVIDENCE	NO_EVIDENCE	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7	True	companion
adjacent_nonmalignant_extra	CLDN4 vs CD8A	83	-0.053609286119099105	0.6302725630320287	-0.2522676768582065	0.1550873335517309	-0.031225851474037572	0.7806369480316937	NO_EVIDENCE	NO_EVIDENCE	1	CD8A	True	
adjacent_nonmalignant_extra	CLDN4 vs CD274	83	-0.10445716846349914	0.34732429902561485	-0.32387790533737626	0.11889953319932337	-0.08861975391621858	0.42852059650593366	NO_EVIDENCE	NO_EVIDENCE	1	CD274	True	
