gene	probe	gpl6884_symbol	entrez	title	in_matrix	chosen_maxmean
CLDN4	ILMN_2132458	CLDN4	1364	claudin 4	True	True
CD8A	ILMN_1768482	CD8A	925	CD8a molecule	True	False
CD8A	ILMN_1760374	CD8A	925	CD8a molecule	True	False
CD8A	ILMN_2353732	CD8A	925	CD8a molecule	True	True
CD274	ILMN_1701914	CD274	29126	CD274 molecule	True	True
TACSTD2	ILMN_1739001	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	True
