gene	present	n_finite_tumor	n_nan_tumor
CLDN4	True	83	0
CD8A	True	83	0
CD274	True	83	0
TACSTD2	True	83	0
EPCAM	True	83	0
KRT8	True	83	0
KRT18	True	83	0
KRT19	True	83	0
CDH1	True	83	0
KRT7	True	83	0
