patient	cohort	unit	malig_def	cldn4_pct	cldn4_mean	frac_tnk	tacstd2	quartile
LX255B	GSE123902	donor	marker_malig	35.08771929824561	0.4488016514639581	0.4073597529593412	8.058040926124384	Q3
LX653	GSE123902	donor	marker_malig	71.72413793103448	1.2524068271342224	0.125	9.475294191408256	Q4
LX661	GSE123902	donor	marker_malig	58.97435897435898	0.8576085684228482	0.8160315374507228	7.826225385962002	Q2
LX666	GSE123902	donor	marker_malig	67.17557251908397	0.9923952117887151	0.1344984802431611	3.354142833536838	Q1
LX675	GSE123902	donor	marker_malig	31.3915857605178	0.582960587751478	0.3889374090247453	8.024582013916174	Q3
LX676	GSE123902	donor	marker_malig	42.17687074829932	0.831390019521496	0.6492277030393623	9.38153294548659	Q4
LX679	GSE123902	donor	marker_malig	43.25955734406438	0.5643712240448416	0.3098661378284581	7.8058318499464585	Q2
LX680	GSE123902	donor	marker_malig	73.25581395348837	1.85907788462344	0.3655685441020191	4.821694624327586	Q1
LX681	GSE123902	donor	marker_malig	63.29743164871583	1.1775350457817828	0.052760736196319	8.60894013425979	Q3
LX682	GSE123902	donor	marker_malig	18.76484560570071	0.4613182340255857	0.6251221896383187	9.017035396741667	Q4
LX684	GSE123902	donor	marker_malig	72.83236994219652	0.9118972941270772	0.2433862433862433	7.160174780323994	Q1
LX699	GSE123902	donor	marker_malig	15.217391304347819	0.3141177643147814	0.8472482216398353	7.584045093152076	Q2
LX701	GSE123902	donor	marker_malig	11.11111111111111	0.1116109679423314	0.4086294416243655	7.050510406376062	Q1
BRONCHO_11	GSE131907	sample	author_malig	80.78817733990148	1.8059599708830327	0.2545626179987413	7.468552184497202	Q1
BRONCHO_58	GSE131907	sample	author_malig	72.17391304347827	1.426353336223562	0.5495911837895485	9.430223316513032	Q4
EBUS_06	GSE131907	sample	author_malig	71.16357504215851	1.3552293035869711	0.2653061224489796	9.59308071225007	Q4
EBUS_10	GSE131907	sample	author_malig	84.46866485013625	1.9049734855942484	0.2974339035769829	8.707008433197604	Q3
EBUS_12	GSE131907	sample	author_malig	88.32684824902724	2.3549040610356684	0.1052969502407704	10.49190080798881	Q4
EBUS_13	GSE131907	sample	author_malig	26.59574468085106	0.0018434765440424	0.323943661971831	0.0	Q1
