gene	patient	cohort	quartile	tacstd2_published	log2_tmm_cpm
ADAM9	LX653	GSE123902	Q4	9.475294191	6.342036803
ADAM9	LX666	GSE123902	Q1	3.354142834	5.304923957
ADAM9	LX676	GSE123902	Q4	9.381532945	4.435393662
ADAM9	LX680	GSE123902	Q1	4.821694624	5.057836317
ADAM9	LX682	GSE123902	Q4	9.017035397	6.282694388
ADAM9	LX684	GSE123902	Q1	7.16017478	5.628498997
ADAM9	LX701	GSE123902	Q1	7.050510406	4.008732571
ADAM9	BRONCHO_11	GSE131907	Q1	7.468552184	5.576020229
ADAM9	BRONCHO_58	GSE131907	Q4	9.430223317	7.104738611
ADAM9	EBUS_06	GSE131907	Q4	9.593080712	4.498890648
ADAM9	EBUS_12	GSE131907	Q4	10.49190081	6.025858344
ADAM9	EBUS_13	GSE131907	Q1	0	6.952728785
ADAM9	EBUS_15	GSE131907	Q4	9.21259347	7.386265921
ADAM9	NS_02	GSE131907	Q1	1.431513864	5.509506488
ADAM9	NS_03	GSE131907	Q1	7.399143925	5.044093221
ADAM9	NS_04	GSE131907	Q1	7.341023159	4.91426686
ADAM9	NS_06	GSE131907	Q4	9.541441248	5.40522764
ADAM9	NS_16	GSE131907	Q1	3.918084256	5.329605559
ADAM9	P1016	GSE205335	Q1	5.931553687	3.003408243
ADAM9	P1025	GSE205335	Q1	5.194059377	2.498521585
ADAM9	P1027	GSE205335	Q4	9.910986996	5.7353784
ADAM9	P1030	GSE205335	Q4	9.884019071	5.439019896
ADAM9	P1037	GSE205335	Q1	8.122009045	3.808117834
ADAM9	P1056	GSE205335	Q4	10.57352107	4.610383076
ADAM9	P1063	GSE205335	Q1	7.211340713	3.522886589
ADAM9	P1089	GSE205335	Q4	10.52702642	4.954572721
ADAM9	P1090	GSE205335	Q4	10.16882909	6.290567167
ADAM9	P1115	GSE205335	Q1	3.372326812	2.505320697
ADAM9	P1119	GSE205335	Q1	7.974355364	5.376709466
ADAM9	TD3	GSE189357	Q1	8.359015002	5.154857355
ADAM9	TD6	GSE189357	Q4	9.841796273	5.852411232
ADAM9	TD7	GSE189357	Q1	8.334090037	4.6491984
ADAM9	TD8	GSE189357	Q1	8.044177107	5.015783204
ADAM9	TD9	GSE189357	Q4	9.761939943	5.302769003
AMOTL2	LX653	GSE123902	Q4	9.475294191	3.437098154
AMOTL2	LX666	GSE123902	Q1	3.354142834	3.738368029
AMOTL2	LX676	GSE123902	Q4	9.381532945	4.611794502
AMOTL2	LX680	GSE123902	Q1	4.821694624	2.974166524
AMOTL2	LX682	GSE123902	Q4	9.017035397	3.779144154
AMOTL2	LX684	GSE123902	Q1	7.16017478	4.750934761
AMOTL2	LX701	GSE123902	Q1	7.050510406	2.409654022
AMOTL2	BRONCHO_11	GSE131907	Q1	7.468552184	3.377521209
AMOTL2	BRONCHO_58	GSE131907	Q4	9.430223317	5.273846678
AMOTL2	EBUS_06	GSE131907	Q4	9.593080712	6.307418966
AMOTL2	EBUS_12	GSE131907	Q4	10.49190081	4.707731386
AMOTL2	EBUS_13	GSE131907	Q1	0	2.686365957
AMOTL2	EBUS_15	GSE131907	Q4	9.21259347	4.745117151
AMOTL2	NS_02	GSE131907	Q1	1.431513864	3.179854345
AMOTL2	NS_03	GSE131907	Q1	7.399143925	4.097343965
AMOTL2	NS_04	GSE131907	Q1	7.341023159	2.075700408
AMOTL2	NS_06	GSE131907	Q4	9.541441248	4.994523368
AMOTL2	NS_16	GSE131907	Q1	3.918084256	6.641225901
AMOTL2	P1016	GSE205335	Q1	5.931553687	3.364809959
AMOTL2	P1025	GSE205335	Q1	5.194059377	3.952977337
AMOTL2	P1027	GSE205335	Q4	9.910986996	5.64028984
AMOTL2	P1030	GSE205335	Q4	9.884019071	5.31806756
AMOTL2	P1037	GSE205335	Q1	8.122009045	0.3801710433
AMOTL2	P1056	GSE205335	Q4	10.57352107	4.738113364
AMOTL2	P1063	GSE205335	Q1	7.211340713	2.253172019
AMOTL2	P1089	GSE205335	Q4	10.52702642	4.565516741
AMOTL2	P1090	GSE205335	Q4	10.16882909	3.033171696
AMOTL2	P1115	GSE205335	Q1	3.372326812	1.988817073
AMOTL2	P1119	GSE205335	Q1	7.974355364	5.192047247
AMOTL2	TD3	GSE189357	Q1	8.359015002	5.565706403
AMOTL2	TD6	GSE189357	Q4	9.841796273	4.959047848
AMOTL2	TD7	GSE189357	Q1	8.334090037	4.331452566
AMOTL2	TD8	GSE189357	Q1	8.044177107	4.487893225
AMOTL2	TD9	GSE189357	Q4	9.761939943	4.840413784
BAIAP2	LX653	GSE123902	Q4	9.475294191	6.929810325
BAIAP2	LX666	GSE123902	Q1	3.354142834	6.394035648
BAIAP2	LX676	GSE123902	Q4	9.381532945	5.996557114
BAIAP2	LX680	GSE123902	Q1	4.821694624	4.603910001
BAIAP2	LX682	GSE123902	Q4	9.017035397	5.948658916
BAIAP2	LX684	GSE123902	Q1	7.16017478	6.456085941
BAIAP2	LX701	GSE123902	Q1	7.050510406	3.267076957
BAIAP2	BRONCHO_11	GSE131907	Q1	7.468552184	4.731696996
BAIAP2	BRONCHO_58	GSE131907	Q4	9.430223317	5.963245627
BAIAP2	EBUS_06	GSE131907	Q4	9.593080712	4.059569094
BAIAP2	EBUS_12	GSE131907	Q4	10.49190081	5.311765687
BAIAP2	EBUS_13	GSE131907	Q1	0	3.856339459
BAIAP2	EBUS_15	GSE131907	Q4	9.21259347	6.16227416
BAIAP2	NS_02	GSE131907	Q1	1.431513864	3.179854345
BAIAP2	NS_03	GSE131907	Q1	7.399143925	6.353050395
BAIAP2	NS_04	GSE131907	Q1	7.341023159	5.331443973
BAIAP2	NS_06	GSE131907	Q4	9.541441248	6.041010419
BAIAP2	NS_16	GSE131907	Q1	3.918084256	7.509110344
BAIAP2	P1016	GSE205335	Q1	5.931553687	4.442275963
BAIAP2	P1025	GSE205335	Q1	5.194059377	4.230012781
BAIAP2	P1027	GSE205335	Q4	9.910986996	6.881370338
BAIAP2	P1030	GSE205335	Q4	9.884019071	6.25175607
BAIAP2	P1037	GSE205335	Q1	8.122009045	5.49795468
BAIAP2	P1056	GSE205335	Q4	10.57352107	7.070541957
BAIAP2	P1063	GSE205335	Q1	7.211340713	4.640924887
