term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.6399308750338975	3.1996540224182937	0.000999000999000999	199	1.0796295780881056	ICAM1,TRIP10,G0S2,CLCF1,TNC,SDC4,CCL2,ZFP36,EDN1,HBEGF,EHD1,CSF2,F3,FOSL1,IFIT2,JUN,LAMB3,NINJ1,VEGFA,CCND1,OLR1,IER3,DUSP1,MYC,PTGS2	123	0.00146282289139432
GOBP_KERATINIZATION	0.7456580941136874	2.8254679785709143	0.000999000999000999	44	1.505698142659019	KRT86,EVPL,PPL,CDH3,TMEM79,SHARPIN,KRT80,SPRR2D,KRT17,SFN,KRT16,IVL,KRT7,SPRR1B,KRT5,SPRR1A,CERS3,KRT6C,KRT6A,KLK5,SPRR3,KRT77,KRT6B,TGM1,LIPK	32	0.00146282289139432
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.566471329289677	2.8182282990489513	0.000999000999000999	199	0.8718233208070224	TGFBI,SERPINH1,LAMC2,NT5E,QSOX1,TNC,SDC4,SDC1,ANPEP,IGFBP3,COL1A1,CAPG,COL6A3,FUCA1,FMOD,THBS1,MMP14,FN1,PDLIM4,EFEMP2,JUN,IGFBP4,NOTCH2,VEGFA,FBLN2	86	0.00146282289139432
HALLMARK_INFLAMMATORY_RESPONSE	0.5609484022956992	2.8034412363152263	0.000999000999000999	194	0.855214373146512	ICAM1,LY6E,GNA15,ICAM4,AHR,ADORA2B,TNFSF15,CCL2,SCARF1,EDN1,HBEGF,IRAK2,F3,PDPN,MMP14,CXCL9,AXL,P2RY2,PCDH7,CMKLR1,OLR1,TNFSF10,CCL17,CX3CL1,MYC	81	0.00146282289139432
GOBP_KERATINOCYTE_DIFFERENTIATION	0.7144686217226194	2.7165708258272603	0.000999000999000999	39	1.1513820235246404	EVPL,EPHA2,ADAM9,SCEL,ST14,KRT16,ANXA1,IVL,SPRR1B,SPRR1A,CERS3,CFLAR,SPRR3,TGM1,EREG,WNT5A,CSTA,UGCG,JAG1,DSP,ASAH1,EXPH5,CDSN,SPRR2F	24	0.00146282289139432
HALLMARK_APOPTOSIS	0.533645925279112	2.5873008365173846	0.000999000999000999	160	0.7196516187286865	EMP1,PTK2,GNA15,GPX3,ERBB2,BCL10,HSPB1,JUN,CCND1,ANXA1,TGFB2,TNFSF10,TIMP3,ERBB3,FAS,CAV1,LGALS3,IER3,IGFBP6,IFNGR1,RARA,SAT1,BGN,PLAT,TNFRSF12A	76	0.00146282289139432
CUSTOM_EPITHELIAL_ADHESION	0.7823628802777851	2.5852538898752195	0.000999000999000999	23	1.7482432151425789	NECTIN4,DSG2,JUP,CLDN4,OCLN,CDH1,NECTIN2,TJP1,CLDN1,NECTIN1,F11R,CLDN7,CTNNA1,TJP3,CGN,DSP,EPCAM,MARVELD2,CLDN3,CTNNB1,PKP2	21	0.00146282289139432
HALLMARK_APICAL_JUNCTION	0.5067386273182205	2.554582030951699	0.000999000999000999	194	0.7226986967596868	ICAM1,TGFBI,MPZL2,PTK2,ICAM4,NECTIN4,CDH3,ADAM9,CTNND1,LAMC2,WASL,BAIAP2,JUP,ADAM15,CRAT,CLDN4,COL17A1,LAMB3,ICAM5,NEXN,DSC3,MSN,CDH1,ITGA3,SDC3	71	0.00146282289139432
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5178735349441985	2.5497596012716293	0.000999000999000999	198	0.7081446184600605	ICAM1,LY6E,GBP6,CCL2,IRF5,SSPN,CXCL9,IFIT2,VAMP8,CMKLR1,TNFSF10,FAS,HLA-DQA1,PTGS2,NMI,CD74,IRF2,IFITM3,PELI1,PARP14,HLA-DMA,CCL5,HLA-DRB1,NOD1,IL7	116	0.00146282289139432
KRT_EPITHELIAL	0.8105014070020461	2.516949730222767	0.000999000999000999	17	1.7602863539625189	KRT19,KRT14,KRT13,KRT17,KRT16,KRT7,KRT8,KRT5,KRT6C,KRT15,KRT6A,KRT6B,KRT18,KRT4	14	0.00146282289139432
