n_in_set	n_present	n_tested	median_log2FC_set	median_log2FC_bg	n_up	n_down	mw_p	set	series
6	6	6	0.1766269909111269	0.0	5	1	0.05608998260539456	C4_IFN_MHCI	GSE311016
8	8	8	0.1141415526724053	0.0	6	2	0.16424153445305412	MHC_I	GSE311016
19	19	19	0.004836362085352519	0.0	10	9	0.5575109993773906	APM	GSE311016
55	55	55	0.0820367336887102	0.0	35	19	0.007807439156324094	IFN	GSE311016
26	26	26	-0.11088112772048797	0.0	9	16	0.008453289729084655	KEGG_TJ	GSE311016
6	6	6	0.27155902224688744	0.0	5	1	0.02187964486410519	C4_IFN_MHCI	GSE304294
8	8	8	0.5031282415921623	0.0	8	0	4.392212393767992e-06	MHC_I	GSE304294
19	19	19	0.4991144014548472	0.0	17	2	3.4110426301321386e-08	APM	GSE304294
55	55	55	0.011992412767306348	0.0	33	20	0.025765687827636403	IFN	GSE304294
26	26	26	0.15038626578377784	0.0	19	6	0.00020693458294784338	KEGG_TJ	GSE304294
6	6	6	0.03384894369108071	0.018132014044983158	4	2	0.9896546881436664	C4_IFN_MHCI	E-MTAB-16433
8	8	8	-0.06001483743311242	0.01814622854337966	4	4	0.2414143885983645	MHC_I	E-MTAB-16433
19	19	19	-0.06610163193555518	0.018153374024492908	9	10	0.0932452551773651	APM	E-MTAB-16433
55	52	52	0.03384894369108071	0.018132014044983158	28	24	0.8395524030189049	IFN	E-MTAB-16433
26	24	24	-0.31022575416022624	0.018310849992724587	6	18	5.174083669848732e-05	KEGG_TJ	E-MTAB-16433
