series	tissue	n	gene	log2FC	p	q
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	TACSTD2	-0.42122880981364486	0.2709720733091727	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	CLDN4	-0.43712087969324465	0.05971307588313452	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	CLDN1	0.3323918531063357	0.7126484438014407	0.8466242571527224
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	CLDN7	-0.2613020460202284	0.0328765798727881	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	OCLN	-0.4893833277535011	0.06982069118585055	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	TJP1	-0.04325662376450836	0.7727215847693415	0.8813044077036515
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	F11R	-0.18518884729443422	0.42935504933334084	0.6501856957883566
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	IFI27	0.2522815850742365	0.6016724731907682	0.7761064167007216
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	OAS2	-0.32416372357731993	0.6827367091095534	0.8285823510614017
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	IFIT1	0.37769548356755567	0.679555808509721	0.8264477601856877
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	MX1	0.10097239674801735	0.8724558551442365	0.9407066665227356
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	ISG15	1.25929616728985	0.3169311943043593	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	HLA-A	0.004836362085352519	0.9818676263843659	0.9917570089392337
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	HLA-B	0.7623744197834496	0.507460358644032	0.7099581184589377
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	HLA-C	0.3151018454550393	0.7630780116753162	0.8757879624690644
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	B2M	-0.3634158066001669	0.4263728812279162	0.6479260727048722
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	TAP1	-0.695578970693065	0.03792124373737055	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	TAP2	0.16415949026433516	0.5701125266356755	0.7541820047734092
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	STAT1	-0.6790934271974411	0.270279786554741	0.6045259609968239
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	IRF1	-0.03764202619207522	0.8525360859645726	0.9296773064661388
GSE311016	CRC PDX	5 pairs (one tumor per model per arm)	CXCL10	0.11298342514056856	0.6510269630105917	0.8091067859255199
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	TACSTD2	1.1590184146072362	0.009871088757429649	0.14051106657317383
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	CLDN4	0.9105046582431839	3.9033337566458304e-05	0.04483095204307991
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	CLDN1	-0.08821562066930877	0.3271033393870782	0.676203082966822
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	CLDN7	0.519169917026371	0.0008814750227301025	0.06641860596531178
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	OCLN	1.1696958382169815	0.0019314019929690175	0.08224218090840114
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	TJP1	-0.20381883617353402	0.014652487479958636	0.16709445927966501
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	F11R	-0.12799390264672006	0.05163987393931733	0.28700299351578873
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	IFI27	0.33463582717946966	0.23230577922885606	0.581135696944851
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	OAS2	0.5005688504539367	6.471076451009372e-05	0.05195085607973515
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	IFIT1	-0.6136936448847576	0.00028886965598899254	0.05380373481520443
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	MX1	0.026518868146697676	0.17480326829497794	0.5135781934008136
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	ISG15	0.20848221731430527	0.035655431221436336	0.2439047122344129
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	HLA-A	0.6216517283329939	0.011491679274615925	0.1498723687752353
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	HLA-B	1.0612450448983548	0.0075966917924854055	0.1284440454339589
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	HLA-C	0.6576441604911096	0.01345817164005958	0.16018309364297897
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	B2M	0.5071420817294774	0.00839189448707084	0.13270516397263016
GSE304294	ESCC cell line KYSE30	2 IMMU132 vs 3 vehicle (underpowered)	TAP1	0.4991144014548472	0.006051097338921175	0.11929419439806908
