lineage	n_cells	PTPRC	EPCAM	CD3E	CD8A	LYZ	COL1A1	PECAM1	MS4A1	TACSTD2	CLDN4	SFTPA1	SFTPB	NAPSA	SFTPA1	SFTPA2	SFTPB	SFTPD	AGER	NAPSA	SCGB1A1	SCGB3A2	TPPP3	FOXJ1	CAPS
B/Plasma	11327	1.575	0.026	0.067	0.03	0.163	0.064	0.333	2.302	0.028	0.028	0.035	0.155	0.021	0.035	0.081	0.155	0.007	0.039	0.021	0.215	0.068	0.026	0.013	0.053
Endothelial	1956	2.278	0.022	0.027	0.019	0.375	0.026	2.493	0.024	0.057	0.037	0.031	0.112	0.006	0.031	0.09	0.112	0.004	0.06	0.006	0.177	0.037	0.034	0.006	0.029
Epithelial	12172	0.092	1.536	0.025	0.014	0.121	0.125	0.029	0.013	1.766	1.448	0.483	0.903	0.365	0.483	0.643	0.903	0.246	0.065	0.365	0.345	0.307	0.292	0.132	0.231
Fibroblast	1103	0.351	0.094	0.096	0.037	0.126	4.593	0.063	0.024	0.132	0.11	0.088	0.282	0.073	0.088	0.124	0.282	0.04	0.027	0.073	0.039	0.042	0.183	0.003	0.025
Mast	1004	1.351	0.042	0.103	0.06	0.236	0.066	0.122	0.039	0.06	0.064	0.086	0.219	0.039	0.086	0.128	0.219	0.032	0.028	0.039	0.163	0.063	0.041	0.023	0.035
Myeloid	25383	1.961	0.02	0.039	0.022	3.054	0.04	0.929	0.017	0.041	0.029	0.033	0.127	0.01	0.033	0.1	0.127	0.006	0.038	0.01	0.23	0.045	0.037	0.004	0.03
T/NK	38514	2.725	0.014	2.141	1.265	0.17	0.036	0.163	0.098	0.023	0.021	0.022	0.109	0.008	0.022	0.057	0.109	0.003	0.049	0.008	0.17	0.039	0.019	0.007	0.055
Unassigned	871	2.273	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.072	0.073	0.033	0.17	0.027	0.033	0.084	0.17	0.014	0.051	0.027	0.144	0.058	0.049	0.019	0.04
