is_malignant	n_cells	TACSTD2	CLDN4	EPCAM	SFTPA1	SFTPA2	SFTPB	SFTPD	AGER	NAPSA	SCGB1A1	SCGB3A2	TPPP3	FOXJ1	CAPS
False	2743	1.37	1.471	1.341	2.022	2.527	3.709	1.015	0.227	1.585	1.501	1.35	1.147	0.545	0.959
True	9429	1.882	1.442	1.592	0.035	0.094	0.087	0.022	0.018	0.01	0.008	0.004	0.043	0.012	0.019
