dataset	analysis	comparison	metric	n	stat	value	p_value	note
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	malig_TACSTD2_mean	6v1	MannWhitneyU			median NMPR=1.7463 MPR=0.8061; mean NMPR=1.7090 MPR=0.8061; post-treatment surgery only; pCR counted as MPR
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	malig_TACSTD2_pct	6v1	MannWhitneyU			median NMPR=0.7795 MPR=0.7100; mean NMPR=0.7840 MPR=0.7100; post-treatment surgery only; pCR counted as MPR
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	malig_CLDN4_mean	6v1	MannWhitneyU			median NMPR=1.3543 MPR=1.0127; mean NMPR=1.3090 MPR=1.0127; post-treatment surgery only; pCR counted as MPR
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	epi_TACSTD2_mean	8v4	MannWhitneyU	26.0	0.1090909090909091	median NMPR=1.5339 MPR=1.2508; mean NMPR=1.5216 MPR=1.2033; post-treatment surgery only; pCR counted as MPR
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	tnk_frac	8v4	MannWhitneyU	13.0	0.6828282828282828	median NMPR=0.3891 MPR=0.5304; mean NMPR=0.4060 MPR=0.5358; post-treatment surgery only; pCR counted as MPR
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	cd8_frac	8v4	MannWhitneyU	9.0	0.2828282828282829	median NMPR=0.1420 MPR=0.2475; mean NMPR=0.1928 MPR=0.2654; post-treatment surgery only; pCR counted as MPR
GSE207422	post_NMPR_vs_MPR	NMPR vs MPR	tls12_score	8v4	MannWhitneyU	18.0	0.8080808080808081	median NMPR=6.2694 MPR=5.7517; mean NMPR=6.1106 MPR=5.8883; post-treatment surgery only; pCR counted as MPR
GSE207422	CLAIM_NMPR_gt_MPR_malig_TACSTD2	NMPR vs MPR	malig_TACSTD2_mean	6v1	MannWhitneyU			median NMPR=1.7463 MPR=0.8061; mean NMPR=1.7090 MPR=0.8061; one-sided claim NMPR>MPR is supported only if median/mean NMPR>MPR
GSE207422	spearman_all_with_malig	malig_TACSTD2_mean~tnk_frac	tnk_frac	9	spearman_rho	-0.09999999999999999	0.797971695234851	
GSE207422	spearman_all_with_malig	malig_TACSTD2_mean~cd8_frac	cd8_frac	9	spearman_rho	-0.3666666666666667	0.3317398014330152	
