n_DCB,n_NDB,true_AUC,power_mwu_alpha0.05
8,19,0.6,0.1155
8,19,0.65,0.203
8,19,0.7,0.344
8,19,0.75,0.5185
8,19,0.8,0.716
8,19,0.85,0.883
8,19,0.9,0.9775
