feature,spearman_r_vs_pfs_days,p
TACSTD2,-0.15539612453983953,0.43894654089209406
CLDN4,-0.14318424834810362,0.4761639125522927
combined_z (exploratory),-0.2814837462195129,0.15491855806233784
