feature,role,n_DCB,n_NDB,median_DCB,median_NDB,delta_median,mannwhitney_U,p_two_sided,AUC_DCB,AUC_95CI_lo,AUC_95CI_hi,dcb_definition
TACSTD2,primary,10,17,7.458973738104374,7.825340439545006,-0.366366701440632,75.0,0.6333680868055622,0.4411764705882353,0.22941176470588234,0.6707352941176462,PFS>=90d
CLDN4,primary,10,17,6.968756944721624,7.651123465266199,-0.6823665205445746,66.0,0.35295209589438925,0.38823529411764707,0.1586764705882353,0.6352941176470588,PFS>=90d
combined_z (exploratory),exploratory,10,17,0.28482556994046093,0.4234651678795059,-0.13863959793904496,60.0,0.21864607217274712,0.35294117647058826,0.16470588235294117,0.5883823529411757,PFS>=90d
TACSTD2,primary,9,18,7.576673292516575,7.287906479153758,0.28876681336281695,84.0,0.8976851458261728,0.5185185185185185,0.2962962962962963,0.7407407407407407,PFS>=168d (24wk)
CLDN4,primary,9,18,7.20633064787105,7.44270700348607,-0.23637635561502002,75.0,0.7772615629718961,0.46296296296296297,0.2345679012345679,0.6975308641975309,PFS>=168d (24wk)
combined_z (exploratory),exploratory,9,18,0.30779215885496247,0.4205512950116904,-0.11275913615672795,69.0,0.554188017359466,0.42592592592592593,0.2220679012345679,0.654320987654321,PFS>=168d (24wk)
TACSTD2,primary,7,20,7.341274183692174,7.864761721395016,-0.5234875377028425,60.0,0.607105615801268,0.42857142857142855,0.22142857142857142,0.6571428571428571,PFS>=183d
CLDN4,primary,7,20,7.689369056858228,7.12644010475594,0.562928952102288,78.0,0.6850106415323807,0.5571428571428572,0.3142857142857143,0.8,PFS>=183d
combined_z (exploratory),exploratory,7,20,0.30779215885496247,0.4205512950116904,-0.11275913615672795,60.0,0.607105615801268,0.42857142857142855,0.22125,0.65,PFS>=183d
TACSTD2,primary,2,25,5.597970587663513,7.603181229013857,-2.0052106413503443,12.0,0.2792022792022792,0.24,0.0,0.52,PFS>=365d
CLDN4,primary,2,25,4.513108444563632,7.23429054170594,-2.721182097142308,18.0,0.5698005698005699,0.36,0.0,0.8,PFS>=365d
combined_z (exploratory),exploratory,2,25,-0.7715468770747631,0.4064213541231935,-1.1779682311979567,12.0,0.2792022792022792,0.24,0.0,0.52,PFS>=365d
TACSTD2,primary,8,19,7.458973738104374,7.825340439545006,-0.366366701440632,76.0,1.0,0.5,0.2894736842105263,0.7238486842105254,author_Kim2020
CLDN4,primary,8,19,7.447849852364639,7.23429054170594,0.21355931065869882,79.0,0.8966210600993209,0.5197368421052632,0.29605263157894735,0.7501644736842096,author_Kim2020
combined_z (exploratory),exploratory,8,19,0.3460905105571239,0.4176374221438749,-0.07154691158675097,70.0,0.7749089557785209,0.4605263157894737,0.25,0.6842105263157895,author_Kim2020
