cut	score	k	N	members	rho	ci_lo	ci_hi	p	I2	stouffer_p	q_k	q_N	q_n_q1	q_n_q4	q_effect	q_ci_lo	q_ci_hi	q_p	q_I2	note
LUAD-only	pct	2	35	GSE131907+GSE205335	-0.41209770447331573	-0.6652081926224781	-0.0740368347625025	0.018302962152651273	0.0	0.019062305408776844	2	19	10	9	-0.44213527430454636	-0.7692499732080558	0.06861639143213338	0.08685784414287646	0.0	GSE131907 (LUAD series) + GSE205335 ADC; GSE148071 unlabeled so out
mixed-all	pct	3	65	GSE131907+GSE148071+GSE205335	-0.33744209851548745	-0.5975553559678589	-0.01306935018813956	0.04177433394371642	39.98341413681054	0.009454986405541915	3	35	18	17	-0.5330924844129986	-0.8242416610436284	-0.019003882194947204	0.04289451455601481	55.310529076547375	all eligible units from the three series
drop-SCLC	pct	3	61	GSE131907+GSE148071+GSE205335	-0.2534261481326772	-0.5342194420441277	0.07773261389251968	0.13182648678965536	34.68016475225234	0.0637120018835359	3	33	17	16	-0.30137765063101324	-0.6113771219428863	0.08881449479163696	0.12757113886376842	0.0	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)
LUAD-only	mean	2	35	GSE131907+GSE205335	-0.3077425189641112	-0.5928263096706325	0.04588078195274095	0.0867583876654851	0.0	0.08558474852474325	2	19	10	9	-0.5206983940862258	-0.8078830071161641	-0.033678526519108874	0.03739039558930831	0.0	GSE131907 (LUAD series) + GSE205335 ADC; GSE148071 unlabeled so out
mixed-all	mean	3	65	GSE131907+GSE148071+GSE205335	-0.175306865191567	-0.42947845906613685	0.10459980937011404	0.2184587726061724	13.80000186377656	0.18562464048309268	3	35	18	17	-0.3961617452212724	-0.6659752898086427	-0.034686338203614324	0.03260309181399457	0.0	all eligible units from the three series
drop-SCLC	mean	3	61	GSE131907+GSE148071+GSE205335	-0.11341746599632443	-0.40056440847607633	0.19401502197212103	0.4719988841814631	23.110601138173507	0.41106602109002166	3	33	17	16	-0.2940794506995267	-0.6063377366223578	0.09675361661004692	0.13767139430762595	0.0	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)
