cohort	malig_def	immune_def	score	n	rho	p	unit	histology	note	source	n_q1	n_q4	n_compared	median_q1	median_q4	delta_median	r_rb	p_q4q1	thin_q4q1	poolable_q4q1	cut	member_key
GSE131907	author_malig	tnk	pct	21	-0.5220779220779221	0.015195754492505785	sample	LUAD	GSE131907 (LUAD series) + GSE205335 ADC; GSE148071 unlabeled so out	locked_extract	6	5	11	0.3901695415186815	0.0484949832775919	-0.3416745582410896	-0.6	0.12554112554112554	False	True	LUAD-only	GSE131907
GSE205335	author_malig	tnk	pct	14	-0.2043956043956044	0.4833462230422238	patient	LUAD	GSE131907 (LUAD series) + GSE205335 ADC; GSE148071 unlabeled so out	locked_extract	4	4	8	0.5142311424633497	0.5308151281502106	0.016583985686860925	-0.125	0.8857142857142857	False	True	LUAD-only	GSE205335_ADC
GSE131907	author_malig	tnk	pct	21	-0.5220779220779221	0.015195754492505785	sample	LUAD	all eligible units from the three series	locked_extract	6	5	11	0.3901695415186815	0.0484949832775919	-0.3416745582410896	-0.6	0.12554112554112554	False	True	mixed-all	GSE131907
GSE148071	tisch_malignant	tnk	pct	22	-0.015245623941276118	0.9463127607520941	patient	NSCLC_unlabeled	all eligible units from the three series	locked_extract	6	6	12	0.2033356241512933	0.15092164625216226	-0.05241397789913105	-0.05555555555555558	0.9372294372294373	False	True	mixed-all	GSE148071
GSE205335	author_malig	tnk	pct	22	-0.43534726143421804	0.042861326301676765	patient	LUAD;LUSC;NUT;SCLC	all eligible units from the three series	locked_extract	6	6	12	0.5142311424633497	0.11640665785333909	-0.3978244846100106	-0.7777777777777778	0.025974025974025976	False	True	mixed-all	GSE205335
GSE131907	author_malig	tnk	pct	21	-0.5220779220779221	0.015195754492505785	sample	LUAD	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)	locked_extract	6	5	11	0.3901695415186815	0.0484949832775919	-0.3416745582410896	-0.6	0.12554112554112554	False	True	drop-SCLC	GSE131907
GSE148071	tisch_malignant	tnk	pct	22	-0.015245623941276118	0.9463127607520941	patient	NSCLC_unlabeled	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)	locked_extract	6	6	12	0.2033356241512933	0.15092164625216226	-0.05241397789913105	-0.05555555555555558	0.9372294372294373	False	True	drop-SCLC	GSE148071
GSE205335	author_malig	tnk	pct	18	-0.18059855521155832	0.47328926682499955	patient	LUAD;LUSC;NUT	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)	locked_extract	5	5	10	0.3958158995815899	0.4922824302134647	0.09646653063187477	-0.19999999999999996	0.6904761904761905	False	True	drop-SCLC	GSE205335_dropSCLC
GSE131907	author_malig	tnk	mean	21	-0.39610389610389607	0.07547637795047248	sample	LUAD	GSE131907 (LUAD series) + GSE205335 ADC; GSE148071 unlabeled so out	locked_extract	6	5	11	0.34566636142967194	0.1052969502407704	-0.24036941118890154	-0.5333333333333333	0.17748917748917747	False	True	LUAD-only	GSE131907
GSE205335	author_malig	tnk	mean	14	-0.15164835164835166	0.6047905984521367	patient	LUAD	GSE131907 (LUAD series) + GSE205335 ADC; GSE148071 unlabeled so out	locked_extract	4	4	8	0.5637445799979162	0.36919846245304944	-0.19454611754486673	-0.5	0.34285714285714286	False	True	LUAD-only	GSE205335_ADC
GSE131907	author_malig	tnk	mean	21	-0.39610389610389607	0.07547637795047248	sample	LUAD	all eligible units from the three series	locked_extract	6	5	11	0.34566636142967194	0.1052969502407704	-0.24036941118890154	-0.5333333333333333	0.17748917748917747	False	True	mixed-all	GSE131907
GSE148071	tisch_malignant	tnk	mean	22	0.07961603613777528	0.7246926801743929	patient	NSCLC_unlabeled	all eligible units from the three series	locked_extract	6	6	12	0.2033356241512933	0.15092164625216226	-0.05241397789913105	-0.05555555555555558	0.9372294372294373	False	True	mixed-all	GSE148071
GSE205335	author_malig	tnk	mean	22	-0.20045172219085267	0.3710825718233011	patient	LUAD;LUSC;NUT;SCLC	all eligible units from the three series	locked_extract	6	6	12	0.33057500838377946	0.16582536241770118	-0.16474964596607827	-0.5555555555555556	0.13203463203463203	False	True	mixed-all	GSE205335
GSE131907	author_malig	tnk	mean	21	-0.39610389610389607	0.07547637795047248	sample	LUAD	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)	locked_extract	6	5	11	0.34566636142967194	0.1052969502407704	-0.24036941118890154	-0.5333333333333333	0.17748917748917747	False	True	drop-SCLC	GSE131907
GSE148071	tisch_malignant	tnk	mean	22	0.07961603613777528	0.7246926801743929	patient	NSCLC_unlabeled	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)	locked_extract	6	6	12	0.2033356241512933	0.15092164625216226	-0.05241397789913105	-0.05555555555555558	0.9372294372294373	False	True	drop-SCLC	GSE148071
GSE205335	author_malig	tnk	mean	18	0.005159958720330237	0.9837879533049655	patient	LUAD;LUSC;NUT	mixed-all after dropping GSE205335 SCLC (keep ADC+SQ+NUT)	locked_extract	5	5	10	0.3958158995815899	0.5062636707098827	0.11044777112829274	-0.28	0.5476190476190477	False	True	drop-SCLC	GSE205335_dropSCLC
