patient	B	NK	T	endothelial	epithelial	fibroblast	myeloid	other
P15	2555	687	3213	41	834	2	996	583
P16	705	516	6434	16	2	1	21	439
P17	3763	4138	14972	397	12434	231	10709	4294
P18	7295	1911	9013	210	365	1069	7495	2764
P19	6388	1271	7083	128	269	52	4954	1967
P20	5600	1874	6392	374	3139	1863	4019	4958
P21	115	184	193	27	804	8	3174	204
P22	16	1672	352	287	969	25	935	863
P23	107	777	2344	327	4424	70	23499	2223
P24	1434	1697	3184	535	14942	208	7682	2643
P4	426	1056	2920	22	272	248	105	407
P8	9626	1603	12899	329	575	429	15544	5197
