dataset	scale_mode	n_before_qc	n_after_qc	design	sweep_rule	genes_NHEJ	genes_STING	genes_IFN	epi_missing	t_missing
GSE154989	log1p_cp10k	3891	3891	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Cxcl11,Ccl5,Ifng,Ifnb1,Gbp4		
GSE154977	log1p_cp10k	11017	11017	kp_tumor_10x	ineligible_no_T_cells	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Ifnb1,Gbp4		Trac
GSE179501	log1p_cp10k	20351	20122	mixed_lung	eligible_if_both_compartments	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Ifnb1,Gbp4		
GSE179502	log1p_cp10k	16017	12643	sorted_neoplastic	ineligible_sorted_neoplastic	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Ifnb1,Gbp4		
GSE165641	log1p_cp10k	7180	6594	mixed_lung	descriptive_n2	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Ifnb1,Gbp4		
GSE180963	log1p_cp10k	14260	14260	mixed_lung	descriptive_n2	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Gbp4		
GSE149813	log1p_cp10k	11269	9384	sorted_epithelium	ineligible_sorted_epithelium	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Ifnb1,Gbp4		Trac
GSE127465	author_values_as_stored	15939	15915	cd45_immune	ineligible_cd45	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Cxcl11,Ccl5,Ifng,Ifnb1,Gbp4		Trac
GSE267321	author_values_as_stored	7956	7956	subcutaneous_nonmalignant	ineligible_subcutaneous_nonmalignant	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Cgas	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Ccl5,Ifng,Ifnb1,Gbp4	Sftpc,Nkx2-1	
GSE136246	author_values_as_stored	15158	15158	mixed_lung	eligible_if_both_compartments	Xrcc6,Xrcc5,Prkdc,Dclre1c,Nhej1,Xrcc4,Lig4,Poll,Polm,Paxx	Tmem173,Mb21d1	Stat1,Irf7,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Cxcl9,Cxcl10,Cxcl11,Ccl5,Ifng,Gbp4		Trac
