dataset	label	n_cells	mean_Epcam	mean_Krt8	mean_Sftpc	mean_Cd3e	mean_Cd3d	mean_Ncr1	mean_Cldn4	mean_Tacstd2
GSE154989	doublet	35	1.561812400817871	1.7275142669677734	4.952259540557861	0.1942276507616043	0.22350764274597168	0.0	0.5040408372879028	0.41534528136253357
GSE154989	epi	3847	1.5920220613479614	2.075942039489746	3.7123968601226807	0.0	0.0	0.00029911843012087047	0.7074114084243774	0.476624459028244
GSE154989	other	9	0.0	1.2211928367614746	4.1666364669799805	0.32143282890319824	0.5275967121124268	0.0	0.24946993589401245	0.04059642553329468
GSE154977	doublet	8	2.0272905826568604	2.3534345626831055	4.955014705657959	0.10187698155641556	0.27669239044189453	0.0	0.272172749042511	0.07128892838954926
GSE154977	epi	11009	1.7164793014526367	2.385700225830078	4.970841407775879	0.0	0.0	4.285818795324303e-05	0.5133101344108582	0.2278977483510971
GSE179501	NK	491	0.0225707795470953	0.0	0.1558539718389511	0.0	0.0	2.528503179550171	0.004136673174798489	0.004797079134732485
GSE179501	T	4401	0.0333685502409935	0.0036261356435716152	0.22276748716831207	1.1139752864837646	1.7792260646820068	0.015584548935294151	0.0	0.00782649964094162
GSE179501	doublet	40	1.5585911273956299	0.8304071426391602	3.539689540863037	0.8320188522338867	0.9892135858535767	0.0	0.07275177538394928	0.41991162300109863
GSE179501	epi	1564	1.1877334117889404	0.9702521562576294	4.279752731323242	0.0	0.0	0.0014158355770632625	0.08731896430253983	0.38256776332855225
GSE179501	other	13626	0.207156702876091	0.00420860480517149	0.21930360794067383	0.0022058626636862755	0.005017397925257683	4.792722029378638e-05	0.000579801038838923	0.03804124891757965
GSE179502	T	1	0.0	0.0	3.3561625480651855	2.186979293823242	2.186979293823242	0.0	0.0	0.0
GSE179502	doublet	10	1.6076987981796265	1.5409038066864014	6.214690685272217	0.0	0.5847833752632141	0.0	0.20352046191692352	0.9145180583000183
GSE179502	epi	12478	1.4299196004867554	1.8440401554107666	6.215306282043457	0.0	0.0	0.0	0.21182364225387573	0.7139129638671875
GSE179502	other	154	0.0	0.007188854273408651	2.9068586826324463	0.010516849346458912	0.0321047380566597	0.0	0.0027155261486768723	0.008275547996163368
GSE165641	NK	37	0.0	0.05552880838513374	0.4374861717224121	0.0	0.0	1.6937041282653809	0.0	0.04610636457800865
GSE165641	T	243	0.01384918112307787	0.030110657215118408	0.4016614258289337	1.0690114498138428	1.8150378465652466	0.008489467203617096	0.0032006921246647835	0.013120570220053196
GSE165641	doublet	11	1.2737292051315308	0.9926445484161377	1.8855773210525513	0.5033475160598755	1.1990967988967896	0.0	0.29175370931625366	0.5208749771118164
GSE165641	epi	1043	0.9307472705841064	0.9474117755889893	1.3536534309387207	0.0	0.0	0.0	0.3320446014404297	0.49433884024620056
GSE165641	other	5260	0.03104533813893795	0.02228914201259613	0.25198233127593994	0.00011158451525261626	0.00033687258837744594	0.0	0.012412269599735737	0.13917279243469238
GSE180963	NK	690	0.04323595017194748	0.018881913274526596	1.3016458749771118	0.0	0.0	1.4553415775299072	0.0	0.04071274772286415
GSE180963	T	5424	0.012055168859660625	0.013212254270911217	1.167919397354126	1.4126830101013184	1.8470200300216675	0.027035756036639214	0.0	0.02309211902320385
