dataset	design	sweep_rule	n_mice_with_epi	n_epi_cells	threshold_name	threshold_value	primary_prespecified	in_sweep	eligible_for_strongest	rho_frac_T	p_frac_T	rho_frac_T_of_epi_plus_T	p_frac_T_of_epi_plus_T	n_corr	reason	mean_high_frac	mean_frac_T
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	gt0	0.0	False	yes	False					28	T compartment too thin	0.4285978323222944	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.50	0.019855177029967308	False	yes	False					28	T compartment too thin	0.4229423264595592	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.60	0.44567403197288513	False	yes	False					28	T compartment too thin	0.3322967246905966	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.70	0.9725372791290283	False	yes	False					28	T compartment too thin	0.23800290207008468	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.75	1.2660372257232666	True	yes	False					28	T compartment too thin	0.20178288129863914	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.80	1.5863691568374634	False	yes	False					28	T compartment too thin	0.16516619893875814	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.90	2.353320598602295	False	yes	False					28	T compartment too thin	0.08451303761129987	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	q0.95	2.771681308746338	False	yes	False					28	T compartment too thin	0.04139947957832348	0.0
GSE154989	sorted_or_tumor_cell_plate	ineligible_tumor_cell_plate	28	3847	mouse_mean		False	no	False					28	fewer than 3 mice or 20 T cells		0.0
GSE154977	kp_tumor_10x	ineligible_no_T_cells	4	11009	gt0	0.0	False	yes	False					4	T compartment too thin	0.5388305270806709	0.0
GSE154977	kp_tumor_10x	ineligible_no_T_cells	4	11009	q0.50	0.19790935516357422	False	yes	False					4	T compartment too thin	0.5277738632305022	0.0
