cohort	subset	n	n_common_genes	n_stromal_genes	n_immune_genes
GSE282774	all pN2 LUAD	58	9885	136	140
GSE233774	all tumors	30	8327	135	139
GSE233774	IAC+MIA	25	8327	135	139
GSE233774	IAC only	22	8327	135	139
