sample	signature	CD8A	ImmuneScore	CLDN4	PURITY
A183	-0.4641126399065209	0.3926	0.8519727705400671	0.3817	0.38
A185	0.1669000092437356	-1.1794	-0.9197600295152794	1.0371	0.34
A186	0.09135462885363735	0.7324	0.6778853907658746	0.9541	0.34
A187	-0.17432006113594242	-0.5392	-0.20719952619389698	-0.4853	0.22
A188	-0.02519680085869254	1.229	0.7643868052502891	-0.6377	0.28
A190	-0.478490343250139	-1.1214	-0.8133232188147683	0.2043	0.51
A191	0.5543828271840069	-0.3903	-1.0861224727195253	0.7646	0.62
A192	-0.09367442218060515	0.4164	0.2533998976025504	-0.0666	0.2
A193	-0.7745900139578142	0.6598	0.9890979060075497	-0.8271	0.17
A194	-0.318560398604685	1.2684	0.47170011456475985	-1.2677	0.15
A195	-0.682813008546213	-0.1114	0.04651302649835981	-1.3473	0.29
A196	-0.1350461261467712	-0.1992	0.49224953149696776	-1.1323	0.29
A197	0.11035282923173473	0.0634	0.42466072500112995	0.3577	0.6
A198	0.3475589754947805	-0.3958	-0.19042419358184853	0.5987	0.47
A199	-0.08486788349967098	0.8167	0.5037742318442356	-0.2039	0.15
A200	0.2857932992920346	-1.0156	-0.49482477321807217	0.8491	0.63
A201	0.11461730212726086	0.8559	0.236200927612761	-0.81	0.37
A202	0.9019442679610454	-1.0244	-1.183921792838617	1.2134	0.74
A203	0.26935503327698457	0.2317	0.18324971948619753	-0.4687	0.23
A204	0.6409200870000875	-1.7872	-0.9920598636694785	0.1508	0.78
A205	-0.2557982331273997	0.9737	0.3127122488002304	-1.2626	0.17
A206	-0.05655087271374926	0.9407	0.9631978349472128	0.2143	0.22
A207	0.036020317198484635	-1.7873	-1.5066971146803694	0.2831	0.27
A208	0.07957614712215375	-0.4054	-0.16138696396628754	0.1182	0.25
A209	-0.8262227504896481	1.6123	1.1172239758137432	-4.6615	0.24
A210	-0.13485125650143487	0.1206	0.524873570278762	0.8001	0.32
A211	-0.18355033139703064	0.2388	0.22331273691436404	-1.1632	0.23
A212	-0.09750409161787356	0.5385	0.14297498957593482	-0.2376	0.15
A213	0.48706496935020693	-0.1715	-0.22848649942335927	-0.1865	0.22
A215	-0.03926139391614755	0.6504	0.7090121598599	-1.6855	0.28
A216	-0.7712505185341637	0.0868	0.5893860841234886	-0.1227	0.37
A217	0.2471477339921368	-0.4837	-0.16532375457863602	1.0426	0.36
A218	-0.4618483826518882	1.9377	1.6489343740975075	-1.1285	0.2
A219	0.18939185907470704	-2.1999	-1.8820589949601698	0.9766	0.41
A220	0.14940550462725266	-0.2346	-0.15031155808916208	0.9248	0.33
A221	-0.10074929484530386	0.0821	-0.09444878319506707	-1.9446	0.3
A222	0.5623418967130867	-0.2394	-0.3552485136199637	0.7467	0.34
A274	0.09870475372239944	-0.3129	-0.014099526322564775	0.9597	0.26
A275	-0.04144491896084406	-0.1811	-0.3258492161761517	1.3096	0.17
A276	-0.286723811417022	0.1212	0.18935011944253993	0.0792	0.19
A277	0.5188727445558324	-0.9503	-0.7318853948007313	2.8746	0.83
A278	0.020614761459097932	0.3467	0.037713240524847556	-0.0487	0.34
A279	0.4058375775486797	-0.0558	-0.3626612576225536	0.7768	0.17
A280	0.47136114381519456	-0.0521	-0.34367373044592	0.838	0.5
A281	-0.06330423549042136	0.2722	0.2913376375564876	-0.867	0.21
A282	0.2295059464814665	-0.6171	0.1442247689945861	-0.4293	0.6
A283	-0.05720184331848267	0.5916	0.7059236839426384	-0.5506	0.17
A284	0.23866586023865022	-1.7978	-1.1265474527252408	-1.0822	0.33
A285	0.08983842586674963	0.7841	0.9595854841735519	0.476	0.31
A214	-0.2899051091574364	1.327	0.9809869849140371	-1.3035	0.33
A234	-0.23935910195797166	0.2912	-0.0928365383667062	-0.2581	0.29
A138	0.03964583877488658	-0.4222	-0.3102608745222192	-1.6691	0.24
A006	-0.051937674177813455	-0.0639	0.4242247336842096	-1.0501	0.1
A258	0.1102745344336831	-0.0732	0.47983691878140633	0.238	0.2
A259	0.43123988172014033	-0.553	-1.341320961706572	0.7087	0.33
A260	-0.27642408047029005	-0.0031	-0.12668737672349037	1.7471	0.5
A261	0.16535294201805947	-0.7333	-0.6897611040411763	0.6054	0.35
A262	0.40905101634592667	-1.6284	-1.096822587948902	-0.0208	0.86
A263	0.3178815841914902	-0.3169	0.009612890752302655	0.03	0.72
A264	-0.40249024432113695	0.8841	0.4306503093951235	-2.424	0.26
A265	-0.01053501197703574	1.242	0.7292494045119045	0.2514	0.18
A266	0.10723480055274152	0.8216	0.9122107560535618	-0.4338	0.19
A267	-0.07810477839564245	0.6771	0.5251621646874278	-0.0617	0.12
A268	-0.09471202685380438	-0.3458	0.256075724641992	-1.2428	0.26
A269	0.5837104880490477	-0.934	-0.8322596417696134	1.5184	0.46
A270	-0.14865539891057777	0.7708	0.8963987032458582	-0.6553	0.13
A271	-0.33894246198931843	0.4422	0.4933115369783976	0.1224	0.17
A273	0.3336622744388426	-0.6016	-0.3197987077878869	-0.4185	0.28
A232	0.2832017056158777	-0.9089	-0.5828106737393005	0.4453	0.81
A247	-0.6485195417428298	1.821	1.450485175663834	-0.7613	0.14
A241	-0.4180082988991602	1.4141	1.3424970575788429	-0.3486	0.31
A233	-0.5729266644230727	1.9744	1.8106589772928228	-0.2346	0.16
A177	-0.43757387657209335	0.0365	0.36088638475634205	0.1571	0.3
A159	-0.27841935876780793	-1.3344	-1.1608333652998535	-0.567	0.3
A158	0.11896606259002127	-0.7704	-0.840472699925225	0.5709	0.49
A153	0.6182666012414745	-1.1531	-0.7313098322549225	0.342	0.43
A144	0.17036491008719237	-2.0026	-1.7293715045062792	1.4213	0.72
A143	-0.33816852891453547	1.2888	1.2247473681544758	0.3844	0.24
A131	-0.9571360007652356	-2.7707	-1.963721680618352	-2.0827	0.8
A120	0.5386644533447957	-1.2186	-1.4544977121010292	1.2714	0.28
A272	0.2814115303162956	-1.3239	-1.677646189997731	1.7774	0.46
A028	0.3437162254092527	-0.0789	-0.45497343823106073	0.5621	0.36
A021	0.5445332472085086	-1.79	-1.859808450127024	1.5506	0.42
A033	-0.3978741595203898	0.3418	0.5765496562574286	-1.4159	0.26
A027	0.05595847291947179	0.0671	0.11125104709616113	-0.6538	0.27
A068	-0.7098270307254945	1.8997	2.0538462654566207	0.9543	0.14
A101	0.37037880896368924	-0.2375	0.029676081030900234	-0.4495	0.43
A072	0.2196055001240947	-0.0296	-0.36193575215473606	0.527	0.19
A074	0.15594071751008445	-1.4035	-1.1520221017043313	0.9463	0.18
A100	0.41481070939492654	-0.9834	-0.27538651218875543	0.6064	0.2
A102	0.4915041614102666	0.0316	-0.6448349993143264	1.0988	0.31
A103	0.2256339231188157	0.1005	0.28589910324466006	0.2631	0.16
A104	0.1594196697548314	-1.5081	-0.6781234658962036	0.201	0.32
A117	0.23271705596736114	-1.6714	-1.6917205629328762	1.234	0.49
A134	0.34146015403356067	-1.5246	-1.292221997899991	1.9298	0.71
A148	0.10139630691893402	0.4659	0.23019993870224773	0.9389	0.24
A150	0.3437366794600185	-0.3799	-0.17281216440874209	-0.4416	0.45
A156	0.05558276412826823	-0.4846	-0.1625497462676212	0.7836	0.31
A165	-0.13957720051269948	0.9869	0.4647377833681604	-0.0197	0.16
A157	-0.10889408843856614	0.293	0.6735113997372466	0.0212	0.25
A162	0.16802318356144963	-0.9355	-0.8366601989943011	0.2296	0.32
A163	0.0723598940476512	0.5381	-0.2744858522071334	-0.5442	0.37
