cohort	score	endpoint	n	n_genes_signature	n_genes_used	unadj_rho	unadj_p	unadj_ci_low	unadj_ci_high	partial_purity_rho	partial_purity_p	partial_purity_n	partial_CLDN4_rho	partial_CLDN4_p	partial_CLDN4_n	partial_purity_CLDN4_rho	partial_purity_CLDN4_p	partial_purity_CLDN4_n	partial_keratin_rho	partial_keratin_p	partial_keratin_n	role	partial_stromal_rho	partial_stromal_p	partial_stromal_n
OncoSG	signature	CD8A	169	221	215	-0.5779846849982597	1.9033644528966006e-16	-0.6704465219148643	-0.4678453742785589	-0.4162752105822282	1.999000986459516e-08	169.0	-0.4719601416089751	1.0603182815116866e-10	169	-0.3473312826659475	4.249512259489171e-06	169.0	-0.6181240094694619	7.1655124136594495e-19	169	validation			
OncoSG	signature	CD274	169	221	215	-0.48628890053270074	2.0452735668453442e-11	-0.5936676747153995	-0.3618957026628581	-0.33208160504861417	1.0946264299617107e-05	169.0	-0.37991339977848365	3.789815526041188e-07	169	-0.2674267826903156	0.00047617467768970085	169.0	-0.49820921791933426	8.484974264863956e-12	169	validation			
OncoSG	signature	ImmuneScore	169	221	215	-0.6145964894833673	6.230283912009446e-19	-0.7005590017958319	-0.5110515718534341	-0.4719301810928776	1.0635893026538001e-10	169.0	-0.5125697209294233	1.2235395326566648e-12	169	-0.403264652959454	6.538265837271561e-08	169.0	-0.6485384073974895	3.4873587367526e-21	169	validation			
OncoSG	signature	IMSIG_T_cells	169	221	215	-0.5970836855452241	1.0535987740803826e-17	-0.6861931648610566	-0.49031893128081483	-0.40839019735758436	3.8995894877015544e-08	169.0	-0.4576600108496323	4.4610235389973784e-10	169	-0.29798309032442033	9.187880955021807e-05	169.0	-0.629657661910213	1.019141590515346e-19	169	validation			
OncoSG	no_lung_marker	CD8A	169	220	214	-0.579429168116951	1.5392809423631605e-16	-0.6716403804201616	-0.46954011549726027	-0.41825509750855844	1.6856296247170706e-08	169.0	-0.4735705362867095	8.981371939810895e-11	169	-0.3493642546583442	3.700475680582481e-06	169.0	-0.6191341969516722	6.059744444745913e-19	169	validation			
OncoSG	no_lung_marker	CD274	169	220	214	-0.48540505532122113	2.2504651390965743e-11	-0.5929179753332944	-0.36088986703185705	-0.33090935648998554	1.180697743860422e-05	169.0	-0.37863036174438364	4.1779086340539065e-07	169	-0.26593749584866105	0.0005134837781644874	169.0	-0.49719495873704833	9.490486828455188e-12	169	validation			
OncoSG	no_lung_marker	ImmuneScore	169	220	214	-0.6158097558550047	5.088351558913052e-19	-0.7015516758554545	-0.5124923812035721	-0.47357696199986754	8.975409371897907e-11	169.0	-0.5139026099365219	1.0461235435186003e-12	169	-0.40493128556581753	5.703043172106909e-08	169.0	-0.6494278331771367	2.9572644499806263e-21	169	validation			
OncoSG	no_lung_marker	IMSIG_T_cells	169	220	214	-0.597747501367411	9.494736720056352e-18	-0.6867389665519514	-0.4911025966026493	-0.4093561179959331	3.596411638558302e-08	169.0	-0.45815516124126215	4.249193023853289e-10	169	-0.29869680813014443	8.821391683342232e-05	169.0	-0.62994650676103	9.695414732831836e-20	169	validation			
OncoSG	top30	CD8A	169	30	30	-0.4779026403460793	5.0116213126656385e-11	-0.5865467269685325	-0.35236360023725377	-0.3335086938107371	9.97848921619583e-06	169.0	-0.30745270242311235	5.036544728306089e-05	169	-0.21933398446634972	0.004400976852395109	169.0	-0.48977822612002003	2.128800179678831e-11	169	validation			
OncoSG	top30	CD274	169	30	30	-0.5103416726802691	1.3611662282344678e-12	-0.6139985224938737	-0.38937993908504775	-0.3990433373618832	8.422796225569443e-08	169.0	-0.39023466025850784	1.7035599435970998e-07	169	-0.3277230248190551	1.5370510142909053e-05	169.0	-0.48538267792587786	3.405055395090499e-11	169	validation			
