gene	logFC	p	fdr	se	df	n_q1	n_q4	family	lfc_GSE123902	lfc_GSE131907	lfc_GSE205335
TRAC	-2.523111322896155	9.599433498655128e-08	0.0015146946117527925	0.3583459525051681	29	18.0	16.0	other	-3.039987649070389	-1.7746933701197163	-3.1987456685746127
SAMSN1	-2.177373280651536	3.420358300845435e-07	0.002698491681452006	0.3316447717281303	29	18.0	16.0	other	-2.696782617284612	-1.3089208370206098	-3.078873140642436
CD48	-2.2966725644279844	1.3483346127015053e-06	0.003858823216674401	0.3789401233977219	29	18.0	16.0	other	-2.6494659427679963	-1.9405571617369926	-2.842893877499929
SRGN	-3.279710586798443	2.0592427916907444e-06	0.003858823216674401	0.5552724709454768	29	18.0	16.0	other	-2.55852793533485	-3.014677429884286	-4.816425869143076
LONRF2	2.0517316086254023	2.060712925460451e-06	0.003858823216674401	0.347384353182687	29	18.0	16.0	other	2.1763447735890726	2.1703625152269814	2.3563055212054422
CRTC1	1.2056561816572051	2.1118982436053593e-06	0.003858823216674401	0.20444179055513576	29	18.0	16.0	other	1.2872115801565196	1.1708906121829539	1.3803618716267514
CTSW	-2.164219197683071	2.2372778987147796e-06	0.003858823216674401	0.3682934422934571	29	18.0	16.0	other	-2.668352278026943	-1.3178053043728364	-2.9944568778461362
CACFD1	1.3119608990972178	2.8575186427631274e-06	0.003858823216674401	0.2266882438240193	29	18.0	16.0	other	1.5199647635057907	1.0592959575222927	1.5774987639123539
GYPC	-2.432385384536428	3.0393312877585586e-06	0.003858823216674401	0.4219122550484767	29	18.0	16.0	other	-3.14073915992983	-1.9731233901433671	-2.747065941032272
DOLPP1	0.786122531181077	3.055827948675912e-06	0.003858823216674401	0.136404232281718	29	18.0	16.0	other	1.0840260639326607	0.5373934091982299	0.7428947736883326
AKAP1	1.284849953159531	3.3107294648519115e-06	0.003858823216674401	0.22406988660329613	29	18.0	16.0	other	1.7708165687463573	0.8781520625626186	1.3446169935882992
BCL2A1	-1.8913996733322662	3.3615353775373736e-06	0.003858823216674401	0.3301660789045467	29	18.0	16.0	other	-1.9226282663391412	-2.058657795933732	-2.459113425975415
DCAF7	0.6366593487695971	3.829735415824026e-06	0.003858823216674401	0.11205998732963099	29	18.0	16.0	other	0.8570857950662067	0.7028757685840483	0.42179421282005414
TRBC1	-2.3639670543868134	4.0378796503939554e-06	0.003858823216674401	0.41749501164771396	29	18.0	16.0	other	-3.1205585639878684	-1.6038629875642343	-2.8289768987999424
CD37	-2.3878119297009484	4.071878567855066e-06	0.003858823216674401	0.42193225061898215	29	18.0	16.0	other	-3.3462386913407305	-2.3586611641013886	-2.4957406853102944
MIR155HG	-1.4323649196119825	4.191674129330485e-06	0.003858823216674401	0.2535723962422558	29	18.0	16.0	other			-1.8502593016365871
CD70	-1.7385101697900833	4.2111090014209865e-06	0.003858823216674401	0.307860659073249	29	18.0	16.0	other		-1.4252061164920573	-2.0328278384894656
SLA	-1.8100844776237919	4.507890142035129e-06	0.003858823216674401	0.3219392911993239	29	18.0	16.0	other	-1.838083325146965	-1.2208153473364993	-2.630411232357491
CCL5	-2.4574207972420257	4.646532804158287e-06	0.003858823216674401	0.4379266639600318	29	18.0	16.0	IFN|chemokine	-1.852711089688656	-1.776459165364884	-4.122830475820956
NTHL1	1.4106702613973676	5.4638225520992805e-06	0.004310682802478727	0.2540399329675576	29	18.0	16.0	other	1.3495078030246859	1.6232852011795094	1.1157938038356685
