source	combo	score	analysis	n	n_q1	n_q4	rho	p	r_rb	p_q4q1	note
PR320_given	GSE131907+GSE205335	pct	q4q1	23	12.0	11.0			-0.705	0.000301	PR #320 / #459 given Q4 vs Q1 author %pos; not re-audited
PR459_given	GSE123902+GSE189357	pct	spearman	22			-0.638	0.003			PR #459 pair; not re-audited
PR459_given	GSE123902+GSE131907	pct	spearman	34			-0.575	0.001	-0.7	0.012	PR #459 pair; not re-audited
PR459_given	GSE131907+GSE189357	pct	spearman	30			-0.542	0.003	-0.619	0.042	PR #459 pair; not re-audited
PR459_given	GSE123902+GSE205335	pct	spearman	35			-0.522	0.002	-0.802	0.005	PR #459 pair; not re-audited
PR459_given	GSE131907+GSE205335	pct	spearman	43			-0.479	0.002	-0.702	0.006	PR #459 pair; not re-audited
PR459_given	GSE189357+GSE205335	pct	spearman	31			-0.478	0.009	-0.75	0.01	PR #459 pair; not re-audited
