family	n_tested	n_p05	n_fdr05	n_up	n_down	median_logFC	mean_logFC	top_gene	top_logFC	top_p	top_fdr	n_q1	n_q4	compartment	contrast
IFN	199	26	0	4	22	-0.6087576987004703	-0.6795805276111113	IL15RA	-2.8376696214139203	0.001916647412530506	0.43866410502405717	4	3	malignant	q4q1_GSE123902
MHC-I/APM	20	3	0	0	3	-0.9518632615571537	-0.8363867724265541	B2M	-1.4502902753379923	0.007551908155239842	0.502876107765	4	3	malignant	q4q1_GSE123902
TJ	163	26	0	17	9	0.211568049651069	0.18858899238350976	FZD5	2.064959568110862	0.00045892682178243097	0.4138918758567634	4	3	malignant	q4q1_GSE123902
chemokine	13	0	0	0	0	-1.852711089688656	-1.324294072234282	CCL5	-1.852711089688656	0.06146584996230292	0.5988793017553254	4	3	malignant	q4q1_GSE123902
IFN	206	15	0	8	7	0.030827006814978467	0.029996848793820023	PSMA2	-0.8597136978995547	0.003942641582305679	0.4921779511265667	6	5	malignant	q4q1_GSE131907
MHC-I/APM	21	0	0	0	0	-0.06773179508789585	-0.15014931132707895	TAP2	-1.229810911866412	0.08459297490715625	0.6862853978433521	6	5	malignant	q4q1_GSE131907
TJ	171	16	0	12	4	0.22302714870482243	0.23220128312207003	ARL2	-0.9566714075882878	0.0021635179696673635	0.47410725623017985	6	5	malignant	q4q1_GSE131907
chemokine	14	4	0	0	4	-0.5318524137588077	-0.48311355473076295	CXCR4	-2.1657556632033557	0.01578235009411159	0.5792424648291536	6	5	malignant	q4q1_GSE131907
IFN	214	75	0	0	75	-1.2621912554566668	-1.3211574144127312	CD274	-2.131527301770449	0.00013649048649160402	0.2735117693195643	5	6	malignant	q4q1_GSE205335
MHC-I/APM	21	8	0	0	8	-1.6399906808493177	-1.6491817872074404	ERAP1	-2.1005800114327373	0.010012721084363567	0.5296822020241129	5	6	malignant	q4q1_GSE205335
TJ	184	21	0	8	13	-0.11708786595662667	-0.1498846431307301	PRKCE	-1.7729117158958978	0.003075262441805682	0.49382004736842156	5	6	malignant	q4q1_GSE205335
chemokine	20	9	0	0	9	-1.7360948274695152	-1.697667946584388	CCL5	-4.122830475820956	0.0006082835669826075	0.47783047739711143	5	6	malignant	q4q1_GSE205335
IFN	221	77	12	3	74	-0.5130337969875419	-0.5421562178658276	CCL5	-2.4574207972420257	4.646532804158287e-06	0.003858823216674401	18	16	malignant	q4q1_combined
MHC-I/APM	21	9	2	0	9	-0.6864147534292884	-0.729494813366128	TAP2	-1.505808833408376	0.0005755584202009541	0.03423477741261006	18	16	malignant	q4q1_combined
TJ	190	40	6	30	10	0.1085678560414774	0.08379438494692307	TBCD	0.9633925386059735	9.17130027673971e-06	0.0057885578826670355	18	16	malignant	q4q1_combined
chemokine	24	13	5	0	13	-0.9233272631842953	-0.9651428365349924	CCL5	-2.4574207972420257	4.646532804158287e-06	0.003858823216674401	18	16	malignant	q4q1_combined
