gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
JAK2	-0.7114858673365779	2.2033922435946147	-3.328657804946875	0.0023836504572180314	0.21374557224813115	29	0.06530221806335645	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SLC39A9	0.6676485359647223	4.13684498280067	3.324851304735538	0.0024072467488542902	0.2008055322696086	29	0.06574241332659886	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
LCP2	-1.5350769255092358	2.4183281508341903	-3.3193334614539944	0.0024418511054031754	0.4624654146187571	29	0.06631664129458986	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
PRKAA2	1.5895092850980312	2.661393241598512	3.309079552118593	0.0025074323426353645	0.48034786110849753	29	0.0670149328577652	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
SAMD9L	-1.5049237349766713	3.448387119717853	-3.23744649035887	0.0030151472955892173	0.4648489911596503	29	0.07240183350329212	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
PSME2	-0.6725069061815566	7.5799736434623375	-3.19742332120655	0.003340353430826512	0.21032776664923608	29	0.07659340086028303	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CGNL1	1.3516036979216421	2.7322355015439936	3.1840995533336143	0.003455881111069096	0.42448537656637386	29	0.0777828856625298	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
PSMB9	-1.5551560915113367	6.5373244902722725	-3.1813374607903278	0.0034803046481039334	0.4888371984042822	29	0.07800529409436359	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|MHC-I/APM
PFKP	-1.3040523942992306	5.3930572626414115	-3.169407148570046	0.0035877076462927406	0.4114499441599307	29	0.0789195217045444	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
STAT4	-1.0124360963722954	1.8895455760051707	-3.1587094972035206	0.0036867033320456067	0.3205220667708217	29	0.07990726906091707	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
MARVELD2	0.8280331980321959	4.1714430792039	3.1325137526526197	0.003940263311197118	0.264335055937429	29	0.08223996664997264	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
OAS2	-1.6557844730649918	3.148766497996285	-3.123325857995014	0.00403307913273845	0.5301350382082467	29	0.08318687011173856	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
STRN	0.4978752948861477	3.9864161981672055	3.115159192511978	0.0041173273249237976	0.1598233875440166	29	0.0842222980407961	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
IFI35	-0.9383982498064718	5.142840136595109	-3.0954060487665855	0.00432810077406496	0.3031583692163397	29	0.08601146361961083	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
AMOT	1.343873722309901	2.3036618020414754	3.0788357110487485	0.00451280911834085	0.43648763637736787	29	0.08747864260233448	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
PARD6A	1.1216170713490834	3.4546128174589814	3.0757115561665382	0.004548465157084392	0.3646691345618341	29	0.087846060849002	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
LAP3	-0.7930982742024896	5.504313048323129	-3.0484838446164177	0.004870778903684684	0.26016154738792224	29	0.09118036986651637	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
