accession	contrast	design_class	species	n_treat	n_ctrl	test	tacstd2_log2fc	tacstd2_p	cldn4_log2fc	cldn4_p	ifn_score_delta	ifn_score_p	ifn_n_genes	ifn_direction	partial_n	partial_rho_tacstd2_ifn_given_cldn4	partial_p_tacstd2	partial_rho_cldn4_ifn_given_tacstd2	partial_p_cldn4	call	note	residual_partial_call
GSE334497	4T1 Trop2 KO vs WT tumor	genetic_ko	mouse	5	5	Welch on log2(norm+1)	-3.8211685643857187	0.001079236576173238	-0.8172280353675259	0.25291925759343825	0.17646934535051706	0.4040967628886577	23	flat	10	-0.29362450205704704	0.41026705383408507	0.26236153479592045	0.46398401316278676	null	KO columns are those whose names contain KO (5); remaining 5 are WT/control. Checked: Tacstd2 is lower in the KO columns.	null
GSE289287	T-47D Trop-2 KO vs WT xenograft	genetic_ko	human	4	3	Welch on log2(author normCounts+1)	-3.4650115626906306	0.00011250824351959055	0.2872251881319965	0.041351419908000245	0.7097246088267264	0.20696854019415578	26	up	7					null	WT animals 2808/2810/2812; KO animals 2807/2815/2817/2818, from GSM titles. Author DESeq2 columns are in the same file and are not the p used for the call. Author DESeq2 TACSTD2 log2FC=-3.2633, padj=1.95e-61. Author DESeq2 CLDN4 log2FC=0.2844, padj=0.466.	
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	genetic_kd	human	3	3	Welch on log2(FPKM+1)	-2.6275637571673265	5.25209137095932e-05	-1.915199492201864	3.2889114671659324e-05	-0.7917314064356578	0.0022791044353562607	26	down	6					supports	Sample columns are labeled in the FPKM file. Cisplatin arms are a second contrast, not pooled with the untreated arm.	
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	genetic_kd	human	3	3	Welch on log2(FPKM+1)	-4.033039543134698	4.377655960603552e-05	-0.13911747760769227	0.09890145164580295	0.30175419902673983	0.024661748204078245	26	up	6					null	Sample columns are labeled in the FPKM file. Cisplatin arms are a second contrast, not pooled with the untreated arm.	
GSE207704	CLDN4-/- vs WT, MCF7 and T47D	genetic_ko	human	2	2	one-sample t of two line-level log2(FPKM+1) differences	-0.8065531853771657	0.14702051017034629	-0.8569365832478848	0.1110351522188516	-0.4532445954720419	0.2044118032720281	11	down						null	Deposit is one FPKM per genotype per line; the two GEO replicates are already collapsed. n=2 lines. TACSTD2 line log2FC=-0.996,-0.617. CLDN4 line log2FC=-0.706,-1.008. IFN-score line delta=-0.302,-0.604.	
GSE50927	Cldn4 KO lung vs WT, no VILI	unreplicated	mouse	1	1	author edgeR logFC; no replicate p used for a call	-0.144934323	0.485961384	-6.061296179	1.7663000000000002e-29	0.7131157336521738		23	up						unreplicated	Author edgeR table GSE50927_Cldn4lungWTvsKOgenes. GEO has one WT and one KO library without VILI, so this is unreplicated and is not given a supports/null/opposite call. edgeR logFC is used as deposited. The IFN value is the mean of those gene logFCs, not a sample-level test. Cldn4 logFC=-6.0613, author P=1.77e-29, FDR=4.07e-26. Mean of deposited IFN-gene logFC=0.7131 across 23 genes. That gene-wise mean is not a sample-level p-value and is not used as one.	
GSE304294	KYSE30 IMMU132 vs control, 1 day	trop2_adc	human	2	3	Welch on log2(FPKM+1)	1.1590184146072362	0.009871088757429649	0.9105046582431839	3.9033337566458304e-05	0.2976536557813554	0.0013763557344373587	26	up	5					perturbation_failed	OX2 (n=2) is IMMU132 because it is the only n=2 block and IMMU132 is the only n=2 group. OX1 is the preceding n=3 block (Control in submission order). IACS and combination are not this contrast.	
GSE311016	CRC PDX IMMU132 vs paired control, day 29	trop2_adc	human	5	5	paired t on log2(FPKM+1), 5 PDX pairs	-0.42122880981364486	0.2709720733091727	-0.43712087969324465	0.05971307588313452	0.1279333595375544	0.8089254757908354	26	flat						perturbation_failed	Human genes in PDX RNA-seq. T_/C_ suffixes match PDX ids 114, 36, 82, 83, 196. Paired by PDX. Immune infiltrate is not in the human alignment.	
GSE274940	EpH4 Cldn-null vs WT	genetic_ko	mouse	3	3	Welch on log2(CPM+1)	-0.6106383928105554	0.022329257454938946	0.32106980611919234	0.36079922344763854	-0.27772386225452506	0.2822241937461571	23	down	6					perturbation_failed	Pan-claudin null line, not a Cldn4-only knockout. Call is perturbation_failed when Cldn4 itself is not down.	
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	genetic_kd	human	6	9	Welch on log2 quantile-normalized intensities (already log2)	-3.161823888888888	2.1472021908996574e-12	-0.008146111111107857	0.968064809697467	0.09250493314555719	0.028654554719243663	26	flat	15	-0.5108762283804842	0.05163885029806982	0.4236201113946591	0.11560247398782056	null	Both TACSTD2 siRNAs (.1 and .4) at 72h versus Neg.2 72h. n_treat=6 (titles: ['TACSTD2.1.72h.4', 'TACSTD2.1.72h.5', 'TACSTD2.1.72h.6', 'TACSTD2.4.72h.4', 'TACSTD2.4.72h.5', 'TACSTD2.4.72h.6']). GPL4133 probes averaged when a symbol has more than one. Platform processing: log2 and quantile normalization, so no second log was applied.	null
GSE156295	A549 type I IFN vs mock	ifn_stimulus	human	2	2	Welch on log2(CPM+1)	-0.035031230701006555	0.5000000000000001	-0.9005793559831736	0.06502571960589659	4.0610140139790865	0.003099453849841487	26	up	4					null	Columns are named in the count file. n=2 vs 2.	
GSE156295	HTBE type I IFN vs mock	ifn_stimulus	human	2	2	Welch on log2(CPM+1)	0.5362192666426253	0.14549744035788204	-0.14492876133803279	0.42842353664329974	5.035535101475979	0.0005168884133532462	26	up	4					null	Columns are named in the count file. n=2 vs 2.	
GSE184456	TIGK IFN-β vs unstimulated	ifn_stimulus	human	3	3	Welch on log2(CPM+1)	0.18603696212646792	0.025688836284689712	-0.19429832861462604	0.008722395595611906	2.1512599275014193	0.0010693411040663327	26	up	6					null	Gingival epithelial keratinocytes. Column names encode UT, IFNB, IFNL.	
GSE184456	TIGK IFN-λ vs unstimulated	ifn_stimulus	human	3	3	Welch on log2(CPM+1)	0.04236217795210173	0.3676032617283956	-0.12400435539431065	0.1586304815716235	3.3180302372998236	0.00019891056958864348	26	up	6					null	Gingival epithelial keratinocytes. Column names encode UT, IFNB, IFNL.	
GSE241852	MCF10A NEO Poly(I:C) vs untreated	ifn_stimulus	human	3	3	Welch on log2(RPKM+1)	0.026867161763317604	0.07248227958282942	0.36266081357372215	0.00012009268351100428	0.8378859618831558	3.4609878048815243e-06	25	up	6					null	Poly(I:C) is a dsRNA stimulus, not recombinant IFN. RPKM file is linear.	
GSE241852	MCF10A GRHL2KO Poly(I:C) vs untreated	ifn_stimulus	human	3	3	Welch on log2(RPKM+1)	0.5281421479288291	0.0006419387782626313	0.20811149356275194	0.03818567483915661	0.4649964183708022	3.298500471840023e-05	25	up	6					null	Poly(I:C) is a dsRNA stimulus, not recombinant IFN. RPKM file is linear.	
GSE150255	A549 IFN-γ 24h vs 0h	unreplicated	human	1	1	not dual readout														not_evaluable	TACSTD2 is absent from the deposited gene_name column, so both genes are not read out.	
GSE150255	HCC827 IFN-γ 24h vs 0h	unreplicated	human	1	1	not dual readout														not_evaluable	TACSTD2 is absent from the deposited gene_name column, so both genes are not read out.	
GSE215771	A549 WT IFN-γ vs control	ifn_stimulus	human	3	3	Welch on log2(TPM+1)	-0.049667640387520785	0.4226497308103742	-0.4386466631737316	0.07900160535197476	3.345014866925368	0.0003088141584519215	26	up	6					null	WT arms only. Barcodes mapped from GEO supplementary filenames in the family SOFT. IRF1KO and NF2KO are not in this contrast.	
