accession	contrast	gene	log2fc
GSE334497	4T1 Trop2 KO vs WT tumor	Isg15	-0.09074158395022547
GSE334497	4T1 Trop2 KO vs WT tumor	Ifit1	-0.021208711597539676
GSE334497	4T1 Trop2 KO vs WT tumor	Ifit2	-0.018831676360434813
GSE334497	4T1 Trop2 KO vs WT tumor	Ifit3	0.1491429369070909
GSE334497	4T1 Trop2 KO vs WT tumor	Mx1	0.1595883351210956
GSE334497	4T1 Trop2 KO vs WT tumor	Mx2	0.22841484189503092
GSE334497	4T1 Trop2 KO vs WT tumor	Oas1a	-0.3120880393598142
GSE334497	4T1 Trop2 KO vs WT tumor	Oas2	-0.10428065880728354
GSE334497	4T1 Trop2 KO vs WT tumor	Oas3	-0.457645457585075
GSE334497	4T1 Trop2 KO vs WT tumor	Ifi27l2a	0.21416082385937152
GSE334497	4T1 Trop2 KO vs WT tumor	Ifi44	0.06100988965924081
GSE334497	4T1 Trop2 KO vs WT tumor	Stat1	0.460047866536172
GSE334497	4T1 Trop2 KO vs WT tumor	Irf1	0.2687549366521065
GSE334497	4T1 Trop2 KO vs WT tumor	Irf7	-0.18261988347707714
GSE334497	4T1 Trop2 KO vs WT tumor	B2m	0.4101869138980021
GSE334497	4T1 Trop2 KO vs WT tumor	H2-K1	0.13282129650540675
GSE334497	4T1 Trop2 KO vs WT tumor	H2-D1	0.06436159336501568
GSE334497	4T1 Trop2 KO vs WT tumor	Tap1	0.28004766953208815
GSE334497	4T1 Trop2 KO vs WT tumor	Psmb8	0.15859363611034816
GSE334497	4T1 Trop2 KO vs WT tumor	Psmb9	0.24153965015812418
GSE334497	4T1 Trop2 KO vs WT tumor	Cd274	0.7718325165762661
GSE334497	4T1 Trop2 KO vs WT tumor	Cxcl10	0.5641951199781206
GSE334497	4T1 Trop2 KO vs WT tumor	Cxcl9	1.081512927445882
GSE289287	T-47D Trop-2 KO vs WT xenograft	ISG15	1.4962489294685897
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFIT1	1.2003007707026594
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFIT2	0.6483596520949524
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFIT3	1.1249384273411844
GSE289287	T-47D Trop-2 KO vs WT xenograft	MX1	1.0106767570345294
GSE289287	T-47D Trop-2 KO vs WT xenograft	MX2	1.2512333574308845
GSE289287	T-47D Trop-2 KO vs WT xenograft	OAS1	0.8711357548085106
GSE289287	T-47D Trop-2 KO vs WT xenograft	OAS2	0.7560689435348884
GSE289287	T-47D Trop-2 KO vs WT xenograft	OAS3	0.7939511563569788
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFI6	0.9891538069486696
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFI27	0.6975541865492811
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFI44	1.533826531888602
GSE289287	T-47D Trop-2 KO vs WT xenograft	IFI44L	2.0292905649654207
GSE289287	T-47D Trop-2 KO vs WT xenograft	STAT1	0.7224414770308609
GSE289287	T-47D Trop-2 KO vs WT xenograft	IRF1	-0.34220344856540574
GSE289287	T-47D Trop-2 KO vs WT xenograft	IRF7	0.3572653540680588
GSE289287	T-47D Trop-2 KO vs WT xenograft	B2M	0.5680753322802943
GSE289287	T-47D Trop-2 KO vs WT xenograft	HLA-A	0.961615021895116
GSE289287	T-47D Trop-2 KO vs WT xenograft	HLA-B	0.5669149989349531
GSE289287	T-47D Trop-2 KO vs WT xenograft	HLA-C	0.7684429761054892
GSE289287	T-47D Trop-2 KO vs WT xenograft	TAP1	0.2847272311836573
GSE289287	T-47D Trop-2 KO vs WT xenograft	PSMB8	0.2661566523550727
GSE289287	T-47D Trop-2 KO vs WT xenograft	PSMB9	0.030498267066977114
GSE289287	T-47D Trop-2 KO vs WT xenograft	CD274	0.05472214989658619
GSE289287	T-47D Trop-2 KO vs WT xenograft	CXCL10	-0.43282638071430846
GSE289287	T-47D Trop-2 KO vs WT xenograft	CXCL9	0.24427135883239334
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	ISG15	-0.6214279156234408
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFIT1	-1.8896536188425794
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFIT2	-1.622296765167711
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFIT3	-1.3844822354431638
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	MX1	-0.24680586522717973
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	MX2	-0.018462616665429667
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	OAS1	-1.4561680619538353
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	OAS2	-0.5213987247878281
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	OAS3	-0.09243739112909832
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFI6	-1.6054635037867824
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFI27	-0.41540545880495927
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFI44	-0.6478189233075806
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IFI44L	-0.18304136020121203
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	STAT1	-0.4904436641019023
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IRF1	-0.28812599975176345
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	IRF7	-0.7396247736723315
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	B2M	-0.5110647340577668
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	HLA-A	-4.166146901809073
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	HLA-B	-0.3495905223325684
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	HLA-C	-0.4016755331913764
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	TAP1	-0.39689950739984114
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	PSMB8	-1.5437138580933707
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	PSMB9	-0.6248434446532083
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	CD274	-0.10059438456212311
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	CXCL10	-0.26743080276097253
GSE245459	SKOV3 shTACSTD2 vs shNC, no drug	CXCL9	0.0
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	ISG15	0.49947807655575716
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFIT1	2.294236276059843
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFIT2	1.3659302370119755
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFIT3	0.5042510701769221
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	MX1	0.23650417225371267
