dataset	feature	primary	n	rho_raw	p_raw	rho_purity_adj	p_purity_adj
GSE253564_pretreatment	ESTIMATE_ImmuneScore	True	32	-0.7163	4.02573e-06	-0.5295	0.00219031
GSE253564_pretreatment	CYT	True	32	-0.4611	0.00789802	-0.1652	0.374514
GSE253564_pretreatment	CD8A	True	32	-0.5363	0.00155656	-0.2425	0.188635
GSE253564_pretreatment	GEP18	True	32	-0.4699	0.00664972	-0.0827	0.65817
GSE253564_pretreatment	xCell_CD8	True	32	-0.6525	5.18754e-05	-0.5707	0.000801503
GSE253564_pretreatment	xCell_CD8_raw_ssgsea	False	32	-0.8024	3.32765e-08	-0.6929	1.56062e-05
GSE253564_pretreatment	xCell_CD8_Tcm	False	32	-0.5117	0.00275612	-0.2228	0.228317
GSE253564_pretreatment	xCell_CD8_Tem	False	32	-0.4956	0.00392247	-0.2907	0.112682
GSE253564_pretreatment	xCell_CD8_naive_T-cells	False	32	-0.1404	0.443433	-0.2395	0.194316
GSE248378_posttreatment	ESTIMATE_ImmuneScore	True	29	-0.665	8.29809e-05	-0.4739	0.0108523
GSE248378_posttreatment	CYT	True	29	-0.8059	1.32311e-07	-0.7103	2.29347e-05
GSE248378_posttreatment	CD8A	True	29	-0.7059	1.88511e-05	-0.5773	0.0012976
GSE248378_posttreatment	GEP18	True	29	-0.6296	0.000253139	-0.404	0.033006
GSE248378_posttreatment	xCell_CD8	True	29	-0.8177	6.10471e-08	-0.7283	1.11716e-05
GSE248378_posttreatment	xCell_CD8_raw_ssgsea	False	29	-0.8236	4.06039e-08	-0.757	3.12752e-06
GSE248378_posttreatment	xCell_CD8_Tcm	False	29	-0.6901	3.4328e-05	-0.5126	0.00528295
GSE248378_posttreatment	xCell_CD8_Tem	False	29	-0.6478	0.000145242	-0.4889	0.00829027
GSE248378_posttreatment	xCell_CD8_naive_T-cells	False	29	-0.5374	0.00264255	-0.4913	0.00793708
