symbol_id	symbol
ABCF1_11741283	ABCF1
ADGRE5_26552764	ADGRE5
ADORA2A_771873	ADORA2A
AIF1_385491	AIF1
AKT1_358467	AKT1
ALOX15B_13391445	ALOX15B
ARG1_174278	ARG1
AXL_24872596	AXL
B3GAT1_170280	B3GAT1
BAGE_153290	BAGE
BATF_237345	BATF
BCL2_10401144	BCL2
BCL2L11_620729	BCL2L11
BCL6_21502257	BCL6
BRCA1_42344338	BRCA1
BRCA2_98179922	BRCA2
BST2_218322	BST2
BTLA_227334	BTLA
BUB1_701803	BUB1
C10orf54_562672	C10orf54
C1QA_67171	C1QA
C1QB_111199	C1QB
CA4_420530	CA4
CBLB_296407	CBLB
CCL17_288394	CCL17
CCL18_198296	CCL18
CCL2_242346	CCL2
CCL20_297403	CCL20
CCL21_432539	CCL21
CCL22_79185	CCL22
CCL3_238343	CCL3
CCL4_121220	CCL4
CCL5_110219	CCL5
CCNB2_9861095	CCNB2
CCR1_54149	CCR1
CCR2_385483	CCR2
CCR4_76182	CCR4
CCR5_85193	CCR5
CCR6_271363	CCR6
CCR7_133237	CCR7
CD14_329435	CD14
CD160_194300	CD160
CD163_21422245	CD163
CD19_12011317	CD19
CD1C_12531357	CD1C
CD1D_10661173	CD1D
CD2_350452	CD2
CD209_9921101	CD209
CD22_10251132	CD22
CD226_9021006	CD226
CD244_868973	CD244
CD247_152252	CD247
CD27_409517	CD27
CD274_461569	CD274
CD276_12011310	CD276
CD28_601704	CD28
CD33_387493	CD33
CD37_496605	CD37
CD38_519628	CD38
CD3D_400503	CD3D
CD3E_677780	CD3E
CD3G_616717	CD3G
CD4_147255	CD4
CD40_300407	CD40
CD40LG_479579	CD40LG
CD44_10151123	CD44
CD47_826931	CD47
CD48_695798	CD48
CD52_70175	CD52
CD53_28133	CD53
CD6_17771886	CD6
CD63_692800	CD63
CD68_172280	CD68
CD69_195303	CD69
CD70_259363	CD70
CD74_787896	CD74
CD79A_184290	CD79A
CD79B_484590	CD79B
CD80_457557	CD80
CD83_480580	CD83
CD86_169267	CD86
CD8A_14271531	CD8A
CD8B_403510	CD8B
CDK1_837939	CDK1
CDKN2A_696829	CDKN2A
CDKN3_434534	CDKN3
CEACAM1_10471155	CEACAM1
CEACAM8_745847	CEACAM8
CIITA_294397	CIITA
CLEC4C_322429	CLEC4C
CMKLR1_36143	CMKLR1
CORO1A_457563	CORO1A
CRTAM_312417	CRTAM
CSF1R_19612067	CSF1R
CSF2RB_11971301	CSF2RB
CTAG2_407763	CTAG2
CTLA4_584689	CTLA4
CTSS_356460	CTSS
CX3CL1_190298	CX3CL1
CX3CR1_147243	CX3CR1
CX3CR1_207292	CX3CR1
CX3CR1_35133	CX3CR1
CX3CR1_58187	CX3CR1
CXCL1_357459	CXCL1
CXCL10_354459	CXCL10
CXCL11_261361	CXCL11
CXCL13_202307	CXCL13
CXCL8_197302	CXCL8
CXCL9_149250	CXCL9
CXCR2_379486	CXCR2
CXCR3_11138	CXCR3
CXCR4_100208	CXCR4
CXCR5_153252	CXCR5
CXCR6_48153	CXCR6
CYBB_14221529	CYBB
DDX58_540643	DDX58
DGAT2_439548	DGAT2
DMBT1_64696575	DMBT1
EBI3_527636	EBI3
EFNA4_548649	EFNA4
EGFR_31583261	EGFR
EGR2_454559	EGR2
EGR3_411516	EGR3
EIF2AK2_257357	EIF2AK2
ENTPD1_708815	ENTPD1
EOMES_9391044	EOMES
FAS_473575	FAS
FASLG_417521	FASLG
FCER1G_31138	FCER1G
FCGR1A_547652	FCGR1A
FCGR2B_792903	FCGR2B
FCGR3A_575682	FCGR3A
FCGR3B_620722	FCGR3B
FCRLA_710815	FCRLA
FOXM1_10551166	FOXM1
FOXO1_9761081	FOXO1
FOXP3_865975	FOXP3
FUT4_31443252	FUT4
FYB_12891393	FYB
G6PD_10841194	G6PD
GADD45GIP1_329429	GADD45GIP1
GAGE1_144260	GAGE1
GAGE10_137250	GAGE10
GAGE12J_144260	GAGE12J
GAGE13_116232	GAGE13
GAGE2C_104217	GAGE2C
GATA3_14061514	GATA3
GBP1_771872	GBP1
GNLY_251357	GNLY
GPR18_238340	GPR18
GRAP2_283387	GRAP2
GUSB_17671872	GUSB
GZMA_165265	GZMA
GZMB_581688	GZMB
GZMH_233339	GZMH
GZMK_178286	GZMK
HAVCR2_594705	HAVCR2
HERC6_17021806	HERC6
HGF_14151518	HGF
HIF1A_13371439	HIF1A
HLA-A_345445	HLA-A
HLA-B_639746	HLA-B
HLA-C_9191023	HLA-C
HLA-DMA_764869	HLA-DMA
HLA-DMB_854962	HLA-DMB
HLA-DOA_55163	HLA-DOA
HLA-DOB_182290	HLA-DOB
HLA-DPA1_129237	HLA-DPA1
HLA-DPB1_175280	HLA-DPB1
HLA-DQA1_587686	HLA-DQA1
HLA-DQA2_840937	HLA-DQA2
HLA-DQB2_142243	HLA-DQB2
HLA-DRA_186294	HLA-DRA
HLA-DRB1_877982	HLA-DRB1
HLA-E_639747	HLA-E
HLA-F_101204	HLA-F
HLA-F-AS1_726834	HLA-F-AS1
HLA-G_483585	HLA-G
HMBS_796904	HMBS
ICAM1_605711	ICAM1
ICOS_382487	ICOS
ICOSLG_483588	ICOSLG
ID2_579679	ID2
ID3_572678	ID3
IDO1_268369	IDO1
IDO2_458562	IDO2
IFI27_37143	IFI27
IFI35_419526	IFI35
IFI44L_12771376	IFI44L
IFI6_47156	IFI6
IFIH1_20172123	IFIH1
IFIT1_158259	IFIT1
IFIT2_124224	IFIT2
IFIT3_72174	IFIT3
IFITM1_359459	IFITM1
IFITM2_316422	IFITM2
IFNA17_691788	IFNA17
IFNB1_579686	IFNB1
IFNG_400500	IFNG
IGF1R_12291338	IGF1R
IGSF6_411515	IGSF6
IKZF1_189301	IKZF1
IKZF2_537639	IKZF2
IKZF3_427534	IKZF3
IKZF4_746852	IKZF4
IL10_491598	IL10
IL10RA_192296	IL10RA
IL12A_739842	IL12A
IL12B_314422	IL12B
IL13_268378	IL13
IL15_49155	IL15
IL17A_233320	IL17A
IL17F_35139	IL17F
IL18_140246	IL18
IL1A_14431546	IL1A
IL1B_659766	IL1B
IL2_366451	IL2
IL21_368450	IL21
IL23A_386491	IL23A
IL2RA_240338	IL2RA
IL2RB_9991107	IL2RB
IL2RG_884988	IL2RG
IL3RA_465565	IL3RA
IL4_380477	IL4
IL6_521626	IL6
IL7_545652	IL7
IL7R_551658	IL7R
IRF1_752861	IRF1
IRF4_786895	IRF4
IRF9_12191322	IRF9
IRS1_37283828	IRS1
ISG15_66173	ISG15
ISG20_642750	ISG20
ITGA1_814914	ITGA1
ITGAE_33753481	ITGAE
ITGAL_535638	ITGAL
ITGAM_31033209	ITGAM
ITGAX_20482151	ITGAX
ITGB1_679777	ITGB1
ITGB2_15421648	ITGB2
ITGB7_24342544	ITGB7
ITK_563669	ITK
JAML_78188	JAML
JCHAIN_134238	JCHAIN
KIAA0101_319426	KIAA0101
KIR2DL1_9142	KIR2DL1
KIR2DL3_654757	KIR2DL3
KLF2_9111017	KLF2
KLRB1_177284	KLRB1
KLRD1_515619	KLRD1
KLRF1_188285	KLRF1
KLRG1_410518	KLRG1
KLRK1_698804	KLRK1
KREMEN1_12861389	KREMEN1
KRT5_10631165	KRT5
KRT7_440543	KRT7
LAG3_13111419	LAG3
LAMP1_374485	LAMP1
LAMP3_12361344	LAMP3
LAPTM5_555664	LAPTM5
LCK_89192	LCK
LCN2_153259	LCN2
LEXM_10551156	LEXM
LILRB1_15681666	LILRB1
LILRB2_891994	LILRB2
LMNA_588696	LMNA
LRG1_24131	LRG1
LRP1_25642670	LRP1
LST1_22120	LST1
LY9_13751476	LY9
LYZ_120222	LYZ
M6PR_229336	M6PR
MAD2L1_115221	MAD2L1
MADCAM1_9291024	MADCAM1
MAGEA1_22129	MAGEA1
MAGEA10_241320	MAGEA10
MAGEA12_30130	MAGEA12
MAGEA3_20121	MAGEA3
MAGEA4_28131	MAGEA4
MAGEC2_249358	MAGEC2
MAPK1_13241425	MAPK1
MAPK14_14031511	MAPK14
MELK_300401	MELK
MIF_157270	MIF
MKI67_581686	MKI67
MMP2_11051213	MMP2
MMP9_11741283	MMP9
MPO_15121620	MPO
MRC1_529634	MRC1
MS4A1_127232	MS4A1
MTOR_62366338	MTOR
MX1_232336	MX1
MYC_510619	MYC
NCAM1_26012709	NCAM1
NCF1_509617	NCF1
NCR1_754861	NCR1
NCR3_234342	NCR3
NECTIN2_13881496	NECTIN2
NFATC1_27682875	NFATC1
NFKBIA_734840	NFKBIA
NKG7_557664	NKG7
NOS2_91195	NOS2
NOTCH3_738847	NOTCH3
NRP1_14831588	NRP1
NT5E_12531355	NT5E
NTN3_12821377	NTN3
OAS1_757865	OAS1
OAS2_15981707	OAS2
OAS3_667776	OAS3
PDCD1_143244	PDCD1
PDCD1LG2_315423	PDCD1LG2
PECAM1_22132	PECAM1
PGF_742842	PGF
PIK3CA_12781384	PIK3CA
PIK3CD_19842095	PIK3CD
PMEL_233339	PMEL
POLR2A_42334334	POLR2A
POU2AF1_230337	POU2AF1
PRDM1_484588	PRDM1
PRF1_672778	PRF1
PSMB9_384491	PSMB9
PTEN_19732078	PTEN
PTGS2_14761583	PTGS2
PTK7_15161625	PTK7
PTPN11_14261533	PTPN11
PTPN6_17741884	PTPN6
PTPN7_471581	PTPN7
PTPRC_710817	PTPRC
PTPRCAP_383516	PTPRCAP
PVR_9571064	PVR
PYGL_586697	PYGL
RB1_24592560	RB1
RORC_12011307	RORC
RPS6_124229	RPS6
S100A8_239334	S100A8
S100A9_174280	S100A9
SAMHD1_19002006	SAMHD1
SDHA_16361735	SDHA
SELL_139245	SELL
SH2D1A_540642	SH2D1A
SH2D1B_173275	SH2D1B
SIT1_148254	SIT1
SKAP2_809912	SKAP2
SLAMF7_9161020	SLAMF7
SLAMF8_9071016	SLAMF8
SNAI1_138246	SNAI1
SNAI2_722828	SNAI2
SRGN_230328	SRGN
STAT1_18871996	STAT1
STAT3_17511856	STAT3
STAT4_245352	STAT4
STAT5A_18501954	STAT5A
STAT6_231339	STAT6
TAGAP_10531160	TAGAP
TAP1_15701675	TAP1
TARP_416517	TARP
TBP_259367	TBP
TBX21_9251036	TBX21
TCF7_677799	TCF7
TDO2_55162	TDO2
TFRC_10891196	TFRC
TGFB1_13681474	TGFB1
TIGIT_383491	TIGIT
TLR3_24932595	TLR3
TLR7_99206	TLR7
TLR8_36137	TLR8
TLR9_619727	TLR9
TNF_450555	TNF
TNFAIP8_188295	TNFAIP8
TNFRSF14_846950	TNFRSF14
TNFRSF17_254359	TNFRSF17
TNFRSF18_348456	TNFRSF18
TNFRSF4_304389	TNFRSF4
TNFRSF9_894998	TNFRSF9
TNFSF10_251357	TNFSF10
TNFSF13B_774879	TNFSF13B
TNFSF14_224334	TNFSF14
TNFSF18_128228	TNFSF18
TNFSF4_347439	TNFSF4
TNFSF9_325412	TNFSF9
TOP2A_27522855	TOP2A
TP63_143246	TP63
TRIM29_882990	TRIM29
TUBB_369479	TUBB
TWIST1_9291033	TWIST1
TYROBP_350455	TYROBP
VCAM1_829933	VCAM1
VEGFA_17121817	VEGFA
VTCN1_49157	VTCN1
XAGE1B_469547	XAGE1B
ZAP70_673781	ZAP70
ZBTB46_13361440	ZBTB46
ZEB1_74175	ZEB1
