query	in_tpm	in_raw	tpm_ids	raw_ids
CLDN4	False	False		
TACSTD2	False	False		
TROP2	False	False		
CD274	True	True	CD274_461569	CD274_461569
CD8A	True	True	CD8A_14271531	CD8A_14271531
CD8B	True	True	CD8B_403510	CD8B_403510
PDCD1	True	True	PDCD1_143244	PDCD1_143244
PDCD1LG2	True	True	PDCD1LG2_315423	PDCD1LG2_315423
CLDN3	False	False		
CLDN7	False	False		
CLDN18	False	False		
