accession	set	gene
GSE201247	Cldn4	Cldn4
GSE201247	TNK	Cd3d
GSE201247	TNK	Cd3e
GSE201247	TNK	Cd3g
GSE201247	TNK	Cd2
GSE201247	TNK	Cd8a
GSE201247	TNK	Cd8b1
GSE201247	TNK	Cd4
GSE201247	TNK	Nkg7
GSE201247	TNK	Gzma
GSE201247	TNK	Gzmb
GSE201247	TNK	Prf1
GSE201247	TNK	Klrb1c
GSE201247	TNK	Ncr1
GSE201247	TNK	Klrd1
GSE201247	TNK	Klrc1
GSE201247	TNK	Ifng
GSE201247	IFN_MHC	Stat1
GSE201247	IFN_MHC	Stat2
GSE201247	IFN_MHC	Irf1
GSE201247	IFN_MHC	Irf7
GSE201247	IFN_MHC	Irf9
GSE201247	IFN_MHC	Isg15
GSE201247	IFN_MHC	Ifit1
GSE201247	IFN_MHC	Ifit2
GSE201247	IFN_MHC	Ifit3
GSE201247	IFN_MHC	Mx1
GSE201247	IFN_MHC	Oasl2
GSE201247	IFN_MHC	Rsad2
GSE201247	IFN_MHC	Ifih1
GSE201247	IFN_MHC	Ddx58
GSE201247	IFN_MHC	Ifnb1
GSE201247	IFN_MHC	B2m
GSE201247	IFN_MHC	H2-K1
GSE201247	IFN_MHC	H2-D1
GSE201247	IFN_MHC	H2-Q4
GSE201247	IFN_MHC	H2-Q6
GSE201247	IFN_MHC	H2-Q7
GSE201247	IFN_MHC	H2-Aa
GSE201247	IFN_MHC	H2-Ab1
GSE201247	IFN_MHC	H2-Eb1
GSE201247	IFN_MHC	Tap1
GSE201247	IFN_MHC	Tap2
GSE201247	IFN_MHC	Psmb8
GSE201247	IFN_MHC	Psmb9
GSE201247	IFN_MHC	Nlrc5
GSE201247	IFN_MHC	Ciita
GSE201247	epithelial_marker	Epcam
GSE201247	epithelial_marker	Krt8
GSE201247	epithelial_marker	Krt18
GSE201247	epithelial_marker	Krt19
GSE201247	epithelial_marker	Sftpc
GSE201247	epithelial_marker	Nkx2-1
GSE201247	epithelial_marker	Cdh1
