cohort	outcome	mediator	model	sample_set	n	a	a_ci_lo	a_ci_hi	a_p_analytic	b	b_ci_lo	b_ci_hi	b_p	c	c_ci_lo	c_ci_hi	c_p_analytic	c_prime	c_prime_ci_lo	c_prime_ci_hi	ab	ab_ci_lo	ab_ci_hi	ab_p	ab_p_floor	ab_nboot	proportion_ab_over_c	vif_max	call	mechanism_rule_met	q_primary
LUAD	CD8A	CLDN4	single	shared	79	0.2745618305744888	0.05000852701846709	0.46877059813605265	0.014336540643019976	-0.10426245824160336	-0.33995942332232265	0.15385053014815392	0.429	-0.005477117818889952	-0.25852440675096366	0.2485116350780111	0.9617910882208573	0.023149373576120853	-0.24499550952311283	0.2732367012718962	-0.028626491395010816	-0.10571531978685941	0.048162626785561755	0.44	0.0	2000.0	5.226561184475771	1.1174638023349568	ab CI crosses 0; total CI crosses 0	False	0.5589333333333334
LUAD	CD8A	EPCAM	single	shared	79	0.2226387536514119	-0.021609685955080796	0.43943223012187715	0.048593242113710605	-0.13361695073758556	-0.3576180808507969	0.11905308930822599	0.308	-0.005477117818889952	-0.25852440675096366	0.2485116350780111	0.9617910882208573	0.02427119356002816	-0.22298063845508292	0.2578032492034082	-0.02974831137891815	-0.09715283657848367	0.032634446343823925	0.368	0.0	2000.0	5.431380584204275	1.1174638023349568	ab CI crosses 0; total CI crosses 0	False	0.5589333333333334
LUAD	CD8A	CLDN4	parallel	shared	79	0.2745618305744888	0.05000852701846709	0.46877059813605265	0.014336540643019976	-0.08669490790879256	-0.3222822837955327	0.1659560468887186	0.515	-0.005477117818889952	-0.25852440675096366	0.2485116350780111	0.9617910882208573	0.045357376880757694	-0.21780529869873427	0.2767396708487692	-0.02380311261692481	-0.10171149398034512	0.052786197953625595	0.524	0.0	2000.0	4.345919405792332	1.1174638023349568	ab CI crosses 0; total CI crosses 0	False	0.5589333333333334
LUAD	CD8A	EPCAM	parallel	shared	79	0.2226387536514119	-0.021609685955080796	0.43943223012187715	0.048593242113710605	-0.12141364268076207	-0.35232704277130233	0.1304952000094322	0.343	-0.005477117818889952	-0.25852440675096366	0.2485116350780111	0.9617910882208573	0.045357376880757694	-0.21780529869873427	0.2767396708487692	-0.027031382082722735	-0.09277802787922956	0.03591562657061326	0.397	0.0	2000.0	4.935329670925572	1.1174638023349568	ab CI crosses 0; total CI crosses 0	False	0.5589333333333334
LUAD	MHC1	CLDN4	single	shared	79	0.2745618305744888	0.05092463977762509	0.4632564417450819	0.014336540643019976	0.1261148610900071	-0.11124031520740545	0.35007337144453987	0.249	-0.24454722492697184	-0.4475643084617072	-0.013391263541897331	0.02985321681801766	-0.2791735520504915	-0.4801455283199357	-0.058263123135521615	0.03462632712351972	-0.03129910071297736	0.11875103503233204	0.257	0.0	2000.0	-0.14159362116605512	1.1174638023349568	ab CI crosses 0; total CI below 0	False	0.5589333333333334
LUAD	MHC1	EPCAM	single	shared	79	0.2226387536514119	-0.02904736386997768	0.4561201251131178	0.048593242113710605	-0.0783319070875362	-0.29764956077730864	0.15206362375350335	0.515	-0.24454722492697184	-0.4475643084617072	-0.013391263541897331	0.02985321681801766	-0.22710750676186456	-0.43902225748768564	-0.0027615167870114147	-0.017439718165107258	-0.08268815372391237	0.04280694443952285	0.581	0.0	2000.0	0.07131431636697252	1.1174638023349568	ab CI crosses 0; total CI below 0	False	0.581
LUAD	MHC1	CLDN4	parallel	shared	79	0.2745618305744888	0.05092463977762509	0.4632564417450819	0.014336540643019976	0.14030646645914405	-0.09966721650098338	0.36536476684613867	0.212	-0.24454722492697184	-0.4475643084617072	-0.013391263541897331	0.02985321681801766	-0.2612332466029379	-0.47112037374500204	-0.047450509534357206	0.0385228002724607	-0.029776431465612332	0.12147723976927649	0.22	0.0	2000.0	-0.15752703913922808	1.1174638023349568	ab CI crosses 0; total CI below 0	False	0.5589333333333334
LUAD	MHC1	EPCAM	parallel	shared	79	0.2226387536514119	-0.02904736386997768	0.4561201251131178	0.048593242113710605	-0.09808166026065965	-0.3216416607599125	0.13916181349711276	0.427	-0.24454722492697184	-0.4475643084617072	-0.013391263541897331	0.02985321681801766	-0.2612332466029379	-0.47112037374500204	-0.047450509534357206	-0.02183677859649448	-0.08969017501358652	0.03619965472805833	0.497	0.0	2000.0	0.08929473071311894	1.1174638023349568	ab CI crosses 0; total CI below 0	False	0.5589333333333334
LSCC	CD8A	CLDN4	single	shared	78	0.08053971345110582	-0.15458094204481948	0.301905001382379	0.4833259127385792	-0.4391298771511787	-0.6186571832647423	-0.2068158774350221	0.0005	-0.09708013505481858	-0.31136872220117245	0.1303038615709351	0.3978062747514348	-0.0617127405812431	-0.2551245508056296	0.1394990005185968	-0.03536739447357523	-0.1463265580882501	0.06473967357430828	0.503	0.0	2000.0	0.3643113439593404	1.078917504156754	ab CI crosses 0; total CI crosses 0	False	0.5589333333333334
LSCC	CD8A	EPCAM	single	shared	78	0.17328241378874296	-0.06735022746416951	0.40363084052367354	0.1292204276513533	-0.4376106494264582	-0.6208001864239641	-0.20915762707962388	0.001	-0.09708013505481858	-0.31136872220117245	0.1303038615709351	0.3978062747514348	-0.02124990542254257	-0.21406916143936283	0.16810522621542365	-0.07583022963227606	-0.20161314695868	0.025717243485612846	0.185	0.0	2000.0	0.7811096429713117	1.078917504156754	ab CI crosses 0; total CI crosses 0	False	0.5589333333333334
