cohort	x	y	n	rho	p_analytic	ci_lo	ci_hi	nboot
LUAD	TACSTD2	CD8A	110	-0.03836079615896129	0.6907172403595156	-0.24748894770392046	0.1591840671996635	2000
LUAD	TACSTD2	MHC1	110	-0.08329012916168879	0.38699507924129223	-0.27573595119320976	0.11908207770375626	2000
LUAD	CLDN4	CD8A	79	-0.09790652385589094	0.3906679722862911	-0.3281641751821945	0.1449429248495692	2000
LUAD	CLDN4	MHC1	79	0.04946445959104188	0.6650821699051745	-0.19009109434644633	0.2790416860063772	2000
LUAD	EPCAM	CD8A	110	-0.1347834907467935	0.16035232962672263	-0.32668669214291546	0.06872855801789547	2000
LUAD	EPCAM	MHC1	110	-0.03015576043098979	0.7544824265669764	-0.23209654870268945	0.1688171602653483	2000
LUAD	TACSTD2	CLDN4	79	0.2745618305744888	0.014336540643019976	0.06886362379818306	0.4731189667042381	2000
LUAD	TACSTD2	EPCAM	110	0.37151229628293847	6.443896988127814e-05	0.18851399888311224	0.5471104337560567	2000
LUAD	CLDN4	EPCAM	79	0.19491236611489776	0.0851860595225048	-0.029847291168607844	0.40084126298351425	2000
LSCC	TACSTD2	CD8A	108	-0.10335629293015898	0.28711792033709344	-0.28846551055656655	0.08486505681389556	2000
LSCC	TACSTD2	MHC1	108	0.0291996532243467	0.7641888603082562	-0.1721386473563782	0.22429467402818545	2000
LSCC	CLDN4	CD8A	78	-0.4441002035938745	4.64372740784413e-05	-0.6264119211220378	-0.23465932242136436	2000
LSCC	CLDN4	MHC1	78	-0.4097042198308021	0.0001953844621326853	-0.5857282995472728	-0.1968497397645909	2000
LSCC	EPCAM	CD8A	108	-0.39642935398744367	2.1640935739894244e-05	-0.5640440923058242	-0.20544229254737004	2000
LSCC	EPCAM	MHC1	108	-0.3853592081320796	3.815128591527391e-05	-0.5427100562104228	-0.208808981482364	2000
LSCC	TACSTD2	CLDN4	78	0.08053971345110585	0.4833259127385792	-0.16811263670264667	0.323136105829599	2000
LSCC	TACSTD2	EPCAM	108	0.08499814227328588	0.38177401368193636	-0.10732855770938583	0.2869862362539544	2000
LSCC	CLDN4	EPCAM	78	0.22093096776641077	0.05191966534985818	-0.010303750036744828	0.44878062758601234	2000
