cohort	symbol	ensembl_query	row	present	n_tumors	n_quantified	n_missing	pct_missing
LUAD	TACSTD2	ENSG00000184292	ENSG00000184292.7	True	110	110	0	0.0
LUAD	CLDN4	ENSG00000189143	ENSG00000189143.9	True	110	79	31	28.181818181818183
LUAD	EPCAM	ENSG00000119888	ENSG00000119888.11	True	110	110	0	0.0
LUAD	CD8A	ENSG00000153563	ENSG00000153563.15	True	110	110	0	0.0
LUAD	HLA-A	ENSG00000206503	ENSG00000206503.13	True	110	110	0	0.0
LUAD	HLA-B	ENSG00000234745	ENSG00000234745.11	True	110	110	0	0.0
LUAD	HLA-C	ENSG00000204525	ENSG00000204525.16	True	110	110	0	0.0
LUAD	B2M	ENSG00000166710		False	110	0	110	100.0
LSCC	TACSTD2	ENSG00000184292	ENSG00000184292.7	True	108	108	0	0.0
LSCC	CLDN4	ENSG00000189143	ENSG00000189143.9	True	108	78	30	27.77777777777778
LSCC	EPCAM	ENSG00000119888	ENSG00000119888.11	True	108	108	0	0.0
LSCC	CD8A	ENSG00000153563	ENSG00000153563.15	True	108	108	0	0.0
LSCC	HLA-A	ENSG00000206503	ENSG00000206503.13	True	108	108	0	0.0
LSCC	HLA-B	ENSG00000234745	ENSG00000234745.11	True	108	108	0	0.0
LSCC	HLA-C	ENSG00000204525	ENSG00000204525.16	True	108	108	0	0.0
LSCC	B2M	ENSG00000166710		False	108	0	108	100.0
