symbol,n_probes,n_arrays,tokens,median_log2,mean_log2,direction_median,GSM558700,GSM558701,GSM558702
CLDN1,1,3,CLDN1,-0.8625,-0.661133,DOWN,-1.3959,0.275,-0.8625
CLDN10,3,3,CLDN10,-1.4344,-0.548433,DOWN,-1.4739,1.263,-1.4344
CLDN11,1,3,CLDN11,-0.811,-0.459367,DOWN,-1.889,-0.811,1.3219
CLDN12,1,3,CLDN12,0.0841,-0.0103,UP,0.0841,-0.889,0.774
CLDN15,2,3,CLDN15,0.3437,0.108383,UP,0.43385,-0.4524,0.3437
CLDN17,1,3,CLDN17,-0.7612,-0.175133,DOWN,-1.6439,1.8797,-0.7612
CLDN18,1,3,CLDN18,-0.8625,-0.2984,DOWN,-1.9434,-0.8625,1.9107
CLDN19,1,3,CLDN19,-0.9434,0.0854,DOWN,-1.5995,2.7991,-0.9434
CLDN2,1,2,CLDN2,-0.08,-0.08,DOWN,1.84,,-2
CLDN20,1,2,CLDN20,0.5452,0.5452,UP,0.757,0.3334,
CLDN23,1,2,CLDN23,0.0302,0.0302,UP,0.6599,-0.5995,
CLDN3,1,3,CLDN3,-0.8625,-0.8925,DOWN,-0.7859,-0.8625,-1.0291
CLDN4,1,2,CLDN4,-1.22505,-1.22505,DOWN,,-1.737,-0.7131
CLDN6,1,3,CLDN6,-0.5564,-0.498367,DOWN,0.1506,-0.5564,-1.0893
CLDN7,1,3,CLDN7,-0.3585,-0.265333,DOWN,0.5059,-0.3585,-0.9434
CLDN9,1,3,CLDN9,1.4906,2.36273,UP,0.1375,1.4906,5.4601
CLDND1,2,3,C3ORF4,-1.2499,-0.815767,DOWN,-1.9629,0.7655,-1.2499
CLDND2,1,3,MGC33839,3.2449,1.88163,UP,4.3434,-1.9434,3.2449
