symbol	n_probes	n_arrays	tokens	GSM558700	GSM558701	GSM558702	median_log2	mean_log2	direction_median
A1BG	1	3	A1BG	1.6182	1.7093	-2.8365	1.6182	0.163667	UP
A1CF	1	2	ACF	-2.3959		-5.6439	-4.0199	-4.0199	DOWN
A2M	1	2	A2M	-0.2863	1.7655		0.7396	0.7396	UP
A2ML1	3	3	FLJ25179	-0.0145	1.6915	-1.889	-0.0145	-0.0706667	DOWN
A4GALT	1	3	A4GALT	0.0976	-0.074	0	0	0.00786667	ZERO
A4GNT	1	3	A4GNT	0.9782	0.2869	-0.4941	0.2869	0.257	UP
AAAS	2	3	AAAS	2.2109	-1.41515	1.7452	1.7452	0.846983	UP
AACS	1	3	AACS	0.1243	4.1391	3.1094	3.1094	2.4576	UP
AADAC	1	3	AADAC	-1.8365	-0.4941	1.157	-0.4941	-0.3912	DOWN
AADAT	1	3	AADAT	1.1243	1.2327	0.6599	1.1243	1.00563	UP
AAGAB	2	3	FLJ11506	-0.0779	0.1877	-0.2208	-0.0779	-0.037	DOWN
AAK1	2	3	AAK1	0.3215	1.342	1.3989	1.342	1.0208	UP
AAMDC	3	3	PTD015	0.6781	-0.1361	0.7655	0.6781	0.435833	UP
AAMP	1	3	AAMP	0.0566	-0.7612	1.0772	0.0566	0.1242	UP
AANAT	1	2	AANAT	-0.1361	-3.8365		-1.9863	-1.9863	DOWN
AAR2	2	3	C20ORF4	0.01475	1.70115	3.5447	1.70115	1.75353	UP
AARS1	1	3	AARS	2.0144	-1.2863	0.669	0.669	0.4657	UP
AARS2	1	3	AARSL	0.774	0.7824	0.3561	0.774	0.6375	UP
AARSD1	1	3	MGC2744	0.6041	-1.3585	-0.3401	-0.3401	-0.364833	DOWN
AASDHPPT	2	3	AASDHPPT	0.6098	-0.29255	-2.60015	-0.29255	-0.760967	DOWN
AASS	2	3	AASS	-0.0335	2.43805	-0.01045	-0.01045	0.798033	DOWN
AATF	1	3	AATF	0.5753	-0.0439	0.4114	0.4114	0.314267	UP
ABAT	2	3	ABAT	0.3141	-1.1403	0.7655	0.3141	-0.0202333	UP
ABCA1	2	3	ABCA1	2.31245	0.36175	-1.26145	0.36175	0.470917	UP
ABCA10	2	3	ABCA10	-0.1681	2.296	1.757	1.757	1.29497	UP
ABCA11P	2	3	FLJ14297	-0.40925	0.111	-1.33325	-0.40925	-0.543833	DOWN
ABCA12	2	3	ABCA12	-0.304	-0.6865	1.9891	-0.304	0.332867	DOWN
ABCA13	2	3	ABCA13	-0.6897	-0.6666	-1	-0.6897	-0.785433	DOWN
ABCA2	2	3	ABCA2	-3.4739	0.30545	-0.6897	-0.6897	-1.28605	DOWN
ABCA3	1	2	ABCA3	-3.3219	3.6982		0.18815	0.18815	UP
ABCA4	1	3	ABCA4	0.275	0.8875	-0.5353	0.275	0.209067	UP
ABCA5	2	3	ABCA5	-0.074	-1.45745	-1.737	-1.45745	-1.08948	DOWN
ABCA7	1	3	ABCA7	0.7824	-2.5564	-1.4344	-1.4344	-1.06947	DOWN
ABCA8	1	3	ABCA8	-0.0893	-6.6439	0.2016	-0.0893	-2.1772	DOWN
ABCA9	2	3	ABCA9	-0.5995	2.7908	0.71365	0.71365	0.968317	UP
ABCB1	1	3	ABCB1	0.9561	2.6485	-2.9434	0.9561	0.2204	UP
ABCB10	1	3	ABCB10	-0.415	1.4803	0.3785	0.3785	0.481267	UP
ABCB11	1	3	ABCB11	3.0303	1.757	-4.0589	1.757	0.2428	UP
ABCB4	2	2	ABCB4		-0.13615	0.08085	-0.02765	-0.02765	DOWN
ABCB6	2	3	ABCB6	-0.3143	3.36265	-1.45635	-0.3143	0.530667	DOWN
ABCB7	1	3	ABCB7	2.0942	-1.8365	0.7225	0.7225	0.326733	UP
ABCB8	2	3	ABCB8	-0.6325	-0.5995	0.3561	-0.5995	-0.291967	DOWN
ABCB9	1	2	ABCB9	-0.3401		0.903	0.28145	0.28145	UP
ABCC1	1	3	ABCC1	0.433	2.2869	2.6276	2.2869	1.7825	UP
ABCC10	3	3	ABCC10	-1.1203	-0.0439	0.546	-0.0439	-0.206067	DOWN
ABCC11	3	3	ABCC11	1.6041	-0.7131	-3.3219	-0.7131	-0.8103	DOWN
ABCC12	1	2	ABCC12	0.9635	3.8125		2.388	2.388	UP
ABCC13	4	3	ABCC13	1.36485	0.55885	1.3236	1.3236	1.08243	UP
ABCC2	1	3	ABCC2	-0.7612	3.855	1.4957	1.4957	1.52983	UP
ABCC3	1	3	ABCC3	-1.2515	-1.3219	-0.1047	-1.2515	-0.8927	DOWN
ABCC4	1	3	ABCC4	0.3674	2.0807	-1.2863	0.3674	0.387267	UP
ABCC5	1	3	ABCC5	0.9184	-1.2176	0.3896	0.3896	0.0301333	UP
ABCC6	3	3	ABCC6	-2.4739	-0.8625	3.0179	-0.8625	-0.106167	DOWN
ABCC9	2	3	ABCC9	-2.22265	1.5656	-4.3219	-2.22265	-1.65965	DOWN
ABCD1	1	3	ABCD1	-4.3219	3.3161	-2.8365	-2.8365	-1.28077	DOWN
ABCD2	1	2	ABCD2	-3.1844	4.7382		0.7769	0.7769	UP
ABCD3	2	3	ABCD3	-0.4434	1.10275	-0.54495	-0.4434	0.0381333	DOWN
ABCD4	1	3	ABCD4	1.9598	0.0426	2.101	1.9598	1.3678	UP
ABCE1	1	3	ABCE1	0.2141	-1.0589	-0.0291	-0.0291	-0.2913	DOWN
ABCF1	2	3	ABCF1	0.10355	-1.2018	-0.27395	-0.27395	-0.4574	DOWN
ABCF2	2	3	ABCF2	-1.53915	0.66765	1.13065	0.66765	0.0863833	UP
ABCF3	1	3	ABCF3	0.3674	-1.4739	0.6135	0.3674	-0.164333	UP
ABCG1	3	3	ABCG1	-0.95665	2.7549	0.0283	0.0283	0.60885	UP
ABCG2	1	3	ABCG2	-2.1203	-1.8365	0.7312	-1.8365	-1.0752	DOWN
ABCG4	1	3	ABCG4	-3.4739	0.0841	-0.6215	-0.6215	-1.3371	DOWN
ABCG5	1	2	ABCG5		-1.2863	-3.1844	-2.23535	-2.23535	DOWN
ABCG8	1	2	ABCG8	-2		-2.4739	-2.23695	-2.23695	DOWN
ABHD1	2	3	ABHD1	-0.6666	1.47195	-1.5146	-0.6666	-0.236417	DOWN
ABHD10	1	2	FLJ11342		-2.6439	0.0286	-1.30765	-1.30765	DOWN
ABHD11	3	3	WBSCR21	3.6702	-0.5995	1.4436	1.4436	1.50477	UP
ABHD12	2	3	C20ORF22	-0.08325	-0.11385	0.5917	-0.08325	0.131533	DOWN
ABHD12B	1	3	C14ORF29	0.0566	-0.737	-0.8365	-0.737	-0.505633	DOWN
ABHD13	1	3	C13ORF6	-0.3401	1.6041	-1.5995	-0.3401	-0.111833	DOWN
ABHD14A	1	3	DKFZP564O243	0.4854	1.373	-0.5995	0.4854	0.419633	UP
ABHD14B	3	3	MGC15429	0.0426	-0.5353	-0.5778	-0.5353	-0.356833	DOWN
ABHD16A	2	3	BAT5	-0.4764	1.5543	-0.492	-0.4764	0.1953	DOWN
ABHD16B	2	3	C20ORF135	-2.25155	0.3672	-0.0709	-0.0709	-0.65175	DOWN
ABHD17A	2	3	C19ORF27	1.486	-1.3219	0.44625	0.44625	0.20345	UP
ABHD18	1	3	FLJ21106	0.2141	-0.6897	-1.2515	-0.6897	-0.5757	DOWN
ABHD2	3	3	ABHD2	-1.3585	0.5261	-0.7612	-0.7612	-0.5312	DOWN
ABHD3	1	3	ABHD3	0.3334	0.9184	0.6323	0.6323	0.628033	UP
ABHD4	2	3	ABHD4	1.36975	0.5227	-1.78075	0.5227	0.0372333	UP
ABHD5	1	3	ABHD5	0.7225	-0.889	1.4168	0.7225	0.416767	UP
ABHD6	2	3	ABHD6	-1.2748	1.16675	-0.31765	-0.31765	-0.1419	DOWN
ABHD8	1	3	ABHD8	1.3161	-0.9434	0.8797	0.8797	0.417467	UP
ABI1	1	3	ABI1	1.844	0.9635	0.7655	0.9635	1.191	UP
ABI2	3	3	ABI2	1.0745	-0.811	-0.0589	-0.0589	0.0682	DOWN
ABI3	1	3	ABI3	-0.0589	0.0286	2.8339	0.0286	0.934533	UP
ABI3BP	4	3	TARSH	-0.4477	-0.26185	0.4059	-0.26185	-0.101217	DOWN
ABITRAM	1	3	FLJ20457	-0.2176	1.8875	-0.1203	-0.1203	0.516533	DOWN
ABL1	2	3	ABL1	-1.037	1.97955	0.1849	0.1849	0.375817	UP
ABL2	3	3	ABL2	-1.6439	0.275	-3.9829	-1.6439	-1.78393	DOWN
ABLIM1	3	3	ABLIM1	-0.1203	0.4222	0.2574	0.2574	0.186433	UP
ABLIM2	5	3	ABLIM2	0.91615	-0.40435	0.8319	0.8319	0.4479	UP
ABLIM3	3	3	ABLIM3	0.47455	-2.3402	-0.3401	-0.3401	-0.73525	DOWN
ABO	1	3	ABO	2.433	-0.6897	-2.9434	-0.6897	-0.400033	DOWN
ABR	2	3	ABR	-2.39795	0.77915	0.9855	0.77915	-0.2111	UP
ABRA	1	3	STARS	0.1506	-0.0145	-1.3585	-0.0145	-0.407467	DOWN
ABRACL	1	3	C6ORF115	-1.3959	-3.4739	-1.9434	-1.9434	-2.27107	DOWN
ABRAXAS1	3	3	FLJ13614	0.3219	1.2141	-1.0893	0.3219	0.1489	UP
ABRAXAS2	1	3	KIAA0157	-0.737	-0.2176	-0.6439	-0.6439	-0.532833	DOWN
ABT1	1	3	ABT1	-2.2515	3.3291	-5.6439	-2.2515	-1.5221	DOWN
ABTB1	2	3	ABTB1	-0.03915	1.1286	4.30555	1.1286	1.79833	UP
ABTB2	2	3	ABTB2	1.095	0.2313	0.189	0.2313	0.5051	UP
