panel,symbol,hgnc_symbol,hgnc_class,measured,n_probes,n_arrays,tokens,remapped,legacy_measured,GSM558700,GSM558701,GSM558702,median_log2,mean_log2,median_log2_700_702,direction_median,thesis
PRIORITY,IFI27,IFI27,current,yes,1,3,IFI27,no,yes,-2.6439,2.842,-2.3219,-2.3219,-0.707933,-2.4829,DOWN,UP
PRIORITY,OAS2,OAS2,current,yes,1,3,OAS2,no,yes,-0.2863,2.8115,0.111,0.111,0.878733,-0.08765,UP,UP
PRIORITY,IFIT1,IFIT1,current,yes,1,3,IFIT1,no,yes,-2.8365,-1.1203,-2.1203,-2.1203,-2.0257,-2.4784,DOWN,UP
PRIORITY,MX1,MX1,current,yes,1,2,MX1,no,yes,-0.074,,0.7908,0.3584,0.3584,0.3584,UP,UP
PRIORITY,ISG15,ISG15,current,yes,1,3,G1P2,yes,yes,0.7137,1.7949,-1.0589,0.7137,0.483233,-0.1726,UP,UP
PRIORITY,HLA-A,HLA-A,current,yes,11,3,HLA-A,no,yes,-1.5995,0.7975,-1.737,-1.5995,-0.846333,-1.66825,DOWN,UP
APM,HLA-A,HLA-A,current,yes,11,3,HLA-A,no,yes,-1.5995,0.7975,-1.737,-1.5995,-0.846333,-1.66825,DOWN,UP
APM,HLA-B,HLA-B,current,yes,1,3,HLA-B,no,yes,-1.5564,2.3277,-2.1203,-1.5564,-0.449667,-1.83835,DOWN,UP
APM,HLA-C,HLA-C,current,yes,3,3,HLA-C,no,yes,-1.2515,1.0566,-1.2515,-1.2515,-0.482133,-1.2515,DOWN,UP
APM,B2M,B2M,current,yes,1,3,B2M,no,yes,-2.5564,2.2296,-3.1844,-2.5564,-1.1704,-2.8704,DOWN,UP
APM,NLRC5,NLRC5,current,yes,2,3,NOD27,yes,no,4.1376,0.6708,-0.5146,0.6708,1.43127,1.8115,UP,UP
APM,TAP1,TAP1,current,yes,2,3,TAP1,no,yes,-1.90295,2.3537,-1.4717,-1.4717,-0.340317,-1.68732,DOWN,UP
APM,TAP2,TAP2,current,yes,3,3,TAP2,no,yes,-0.5564,-3.0589,-0.1681,-0.5564,-1.26113,-0.36225,DOWN,UP
APM,TAPBP,TAPBP,current,yes,3,3,TAPBP,no,yes,-1.3585,0.546,-0.56015,-0.56015,-0.45755,-0.959325,DOWN,UP
APM,PSMB8,PSMB8,current,yes,2,3,PSMB8,no,yes,0.3274,1.05745,-0.133,0.3274,0.417283,0.0972,UP,UP
APM,PSMB9,PSMB9,current,yes,2,3,PSMB9,no,yes,0.93805,3.05225,1.7093,1.7093,1.89987,1.32368,UP,UP
APM,PSMB10,PSMB10,current,yes,1,3,PSMB10,no,yes,-0.3771,-0.0893,0.2141,-0.0893,-0.0841,-0.0815,DOWN,UP
APM,ERAP1,ERAP1,current,no,1,1,ARTS-1,yes,no,,,-0.6666,,,,NA,UP
APM,ERAP2,ERAP2,current,yes,1,3,LRAP,yes,no,0.5361,0.0566,-0.6215,0.0566,-0.0096,-0.0427,UP,UP
APM,CALR,CALR,current,yes,2,3,CALR,no,yes,0.33415,-0.20865,0.5829,0.33415,0.236133,0.458525,UP,UP
