panel,symbol,tokens,n_probes,n_arrays,median_log2,mean_log2,direction_median,GSM558700,GSM558701,GSM558702
APM,NLRC5,NOD27,2,3,0.6708,1.43127,UP,4.1376,0.6708,-0.5146
APM,ERAP2,LRAP,1,3,0.0566,-0.0096,UP,0.5361,0.0566,-0.6215
APM,PDIA3,GRP58,1,3,-0.737,-0.304733,DOWN,-1.1844,1.0072,-0.737
IFN_IMMUNE,IFI44L,C1ORF29,2,3,-1.02945,-0.451283,DOWN,1.59075,-1.02945,-1.91515
IFN_IMMUNE,DDX60,FLJ20035,2,3,0.9718,0.44095,UP,-1.2176,1.56865,0.9718
IFN_IMMUNE,XAF1,HSXIAPAF1,1,2,0.4436,0.4436,UP,,0.4436,0.4436
IFN_IMMUNE,EIF2AK2,PRKR,2,3,-0.17925,0.135767,DOWN,-0.6379,1.22445,-0.17925
IFN_IMMUNE,NLRC5,NOD27,2,3,0.6708,1.43127,UP,4.1376,0.6708,-0.5146
IFN_IMMUNE,IL32,NK4,2,3,0.3552,0.0446,UP,0.87875,-1.10015,0.3552
TJ_CORE,CGNL1,JACOP,1,3,0.251,-0.2667,UP,0.3448,0.251,-1.3959
