method	scope	unit	panel	n	n_up	n_down	effect	effect_kind	p_up	cldn4_values	cldn4_median	orientation_ok	pass_panel_up	note	final_verdict	method_aligns_ifn_and_apm
deposited	experiment	gene	PRIORITY	6	3	3	-0.74425	median_log2	0.880636	-1.7370;-0.7131	-1.22505	yes	no	deposited series-matrix VALUE; primary analysis repeated	FINAL_DISCORDANT	no
deposited	experiment	gene	APM	15	5	10	-0.56015	median_log2	0.972978	-1.7370;-0.7131	-1.22505	yes	no	deposited series-matrix VALUE; primary analysis repeated	FINAL_DISCORDANT	no
deposited	experiment	gene	IFN_IMMUNE	64	29	35	-0.10065	median_log2	0.887676	-1.7370;-0.7131	-1.22505	yes	no	deposited series-matrix VALUE; primary analysis repeated	FINAL_DISCORDANT	no
deposited	experiment	gene	TJ_CORE	14	6	8	-0.2467	median_log2	0.484209	-1.7370;-0.7131	-1.22505	yes	no	deposited series-matrix VALUE; primary analysis repeated	FINAL_DISCORDANT	no
deposited	experiment	gene	STING	12	7	5	0.507775	median_log2	0.127362	-1.7370;-0.7131	-1.22505	yes	no	deposited series-matrix VALUE; primary analysis repeated	FINAL_DISCORDANT	no
deposited	experiment	gene	NHEJ	11	6	4	0.1375	median_log2	0.689892	-1.7370;-0.7131	-1.22505	yes	no	deposited series-matrix VALUE; primary analysis repeated	FINAL_DISCORDANT	no
deposited_median_center	experiment	gene	PRIORITY	6	3	3	-0.6392	median_log2	0.860033	-1.8074;-0.5770	-1.1922	yes	no	deposited ratios, each array median-centered	FINAL_DISCORDANT	no
deposited_median_center	experiment	gene	APM	15	4	11	-0.4824	median_log2	0.975711	-1.8074;-0.5770	-1.1922	yes	no	deposited ratios, each array median-centered	FINAL_DISCORDANT	no
deposited_median_center	experiment	gene	IFN_IMMUNE	64	31	33	-0.078725	median_log2	0.883421	-1.8074;-0.5770	-1.1922	yes	no	deposited ratios, each array median-centered	FINAL_DISCORDANT	no
deposited_median_center	experiment	gene	TJ_CORE	14	6	8	-0.2449	median_log2	0.563537	-1.8074;-0.5770	-1.1922	yes	no	deposited ratios, each array median-centered	FINAL_DISCORDANT	no
deposited_median_center	experiment	gene	STING	12	8	4	0.58715	median_log2	0.126368	-1.8074;-0.5770	-1.1922	yes	no	deposited ratios, each array median-centered	FINAL_DISCORDANT	no
deposited_median_center	experiment	gene	NHEJ	11	7	4	0.1361	median_log2	0.704469	-1.8074;-0.5770	-1.1922	yes	no	deposited ratios, each array median-centered	FINAL_DISCORDANT	no
deposited_quantile_norm	experiment	gene	PRIORITY	6	3	3	-0.714807	median_log2	0.856653	-1.8443;-0.6160	-1.23017	yes	no	deposited gene matrix quantile-normalized across arrays	FINAL_DISCORDANT	no
deposited_quantile_norm	experiment	gene	APM	15	4	11	-0.551428	median_log2	0.975138	-1.8443;-0.6160	-1.23017	yes	no	deposited gene matrix quantile-normalized across arrays	FINAL_DISCORDANT	no
deposited_quantile_norm	experiment	gene	IFN_IMMUNE	64	29	35	-0.125433	median_log2	0.888018	-1.8443;-0.6160	-1.23017	yes	no	deposited gene matrix quantile-normalized across arrays	FINAL_DISCORDANT	no
deposited_quantile_norm	experiment	gene	TJ_CORE	14	6	8	-0.281996	median_log2	0.567272	-1.8443;-0.6160	-1.23017	yes	no	deposited gene matrix quantile-normalized across arrays	FINAL_DISCORDANT	no
deposited_quantile_norm	experiment	gene	STING	12	7	5	0.48247	median_log2	0.140557	-1.8443;-0.6160	-1.23017	yes	no	deposited gene matrix quantile-normalized across arrays	FINAL_DISCORDANT	no
deposited_quantile_norm	experiment	gene	NHEJ	11	7	4	0.0814	median_log2	0.698332	-1.8443;-0.6160	-1.23017	yes	no	deposited gene matrix quantile-normalized across arrays	FINAL_DISCORDANT	no
raw_ch2_over_ch1	experiment	gene	PRIORITY	6	0	6	-1.60905	median_log2	0.98796	1.2183;-1.6435	-0.212613	no	no	ScanArray log2(Ch2/Ch1), both channels > 0; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_ch2_over_ch1	experiment	gene	APM	15	3	12	-0.796174	median_log2	0.726171	1.2183;-1.6435	-0.212613	no	no	ScanArray log2(Ch2/Ch1), both channels > 0; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_ch2_over_ch1	experiment	gene	IFN_IMMUNE	62	13	49	-0.892491	median_log2	0.966421	1.2183;-1.6435	-0.212613	no	no	ScanArray log2(Ch2/Ch1), both channels > 0; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_ch2_over_ch1	experiment	gene	TJ_CORE	14	3	11	-1.07429	median_log2	0.77171	1.2183;-1.6435	-0.212613	no	no	ScanArray log2(Ch2/Ch1), both channels > 0; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_ch2_over_ch1	experiment	gene	STING	11	2	9	-0.594775	median_log2	0.643847	1.2183;-1.6435	-0.212613	no	no	ScanArray log2(Ch2/Ch1), both channels > 0; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_ch2_over_ch1	experiment	gene	NHEJ	11	1	10	-1.19555	median_log2	0.866276	1.2183;-1.6435	-0.212613	no	no	ScanArray log2(Ch2/Ch1), both channels > 0; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_flag3	experiment	gene	PRIORITY	5	0	5	-2.40517	median_log2	0.996346	1.2183;-1.6435	-0.212613	no	no	same raw ratio, ScanArray flag 3 only; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_flag3	experiment	gene	APM	15	3	12	-0.796174	median_log2	0.762944	1.2183;-1.6435	-0.212613	no	no	same raw ratio, ScanArray flag 3 only; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_flag3	experiment	gene	IFN_IMMUNE	55	10	45	-0.895395	median_log2	0.967197	1.2183;-1.6435	-0.212613	no	no	same raw ratio, ScanArray flag 3 only; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_flag3	experiment	gene	TJ_CORE	12	2	10	-0.923338	median_log2	0.814533	1.2183;-1.6435	-0.212613	no	no	same raw ratio, ScanArray flag 3 only; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_flag3	experiment	gene	STING	9	2	7	-0.385728	median_log2	0.299268	1.2183;-1.6435	-0.212613	no	no	same raw ratio, ScanArray flag 3 only; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_flag3	experiment	gene	NHEJ	11	1	10	-0.76838	median_log2	0.825184	1.2183;-1.6435	-0.212613	no	no	same raw ratio, ScanArray flag 3 only; GSM558701 NOT flipped	FINAL_DISCORDANT	no
raw_701_flipped_to_deposited_sign	experiment	gene	PRIORITY	6	1	5	-0.961401	median_log2	0.908465	-1.2183;-1.6435	-1.43089	yes	no	raw log2(Ch2/Ch1) with GSM558701 negated so it matches the deposited dye-swap sign	FINAL_DISCORDANT	no
raw_701_flipped_to_deposited_sign	experiment	gene	APM	15	4	11	-0.559051	median_log2	0.588408	-1.2183;-1.6435	-1.43089	yes	no	raw log2(Ch2/Ch1) with GSM558701 negated so it matches the deposited dye-swap sign	FINAL_DISCORDANT	no
raw_701_flipped_to_deposited_sign	experiment	gene	IFN_IMMUNE	62	20	42	-0.588642	median_log2	0.724321	-1.2183;-1.6435	-1.43089	yes	no	raw log2(Ch2/Ch1) with GSM558701 negated so it matches the deposited dye-swap sign	FINAL_DISCORDANT	no
raw_701_flipped_to_deposited_sign	experiment	gene	TJ_CORE	14	4	10	-0.545024	median_log2	0.408297	-1.2183;-1.6435	-1.43089	yes	no	raw log2(Ch2/Ch1) with GSM558701 negated so it matches the deposited dye-swap sign	FINAL_DISCORDANT	no
raw_701_flipped_to_deposited_sign	experiment	gene	STING	11	5	6	-0.103077	median_log2	0.136822	-1.2183;-1.6435	-1.43089	yes	no	raw log2(Ch2/Ch1) with GSM558701 negated so it matches the deposited dye-swap sign	FINAL_DISCORDANT	no
raw_701_flipped_to_deposited_sign	experiment	gene	NHEJ	11	5	6	-0.247498	median_log2	0.480801	-1.2183;-1.6435	-1.43089	yes	no	raw log2(Ch2/Ch1) with GSM558701 negated so it matches the deposited dye-swap sign	FINAL_DISCORDANT	no
raw_flag3_701_flipped	experiment	gene	PRIORITY	5	2	3	-1.16271	median_log2	0.704428	-1.2183;-1.6435	-1.43089	yes	no	flag-3 raw ratios with GSM558701 negated	FINAL_DISCORDANT	no
raw_flag3_701_flipped	experiment	gene	APM	15	4	11	-0.559051	median_log2	0.586485	-1.2183;-1.6435	-1.43089	yes	no	flag-3 raw ratios with GSM558701 negated	FINAL_DISCORDANT	no
raw_flag3_701_flipped	experiment	gene	IFN_IMMUNE	55	16	39	-0.412106	median_log2	0.760577	-1.2183;-1.6435	-1.43089	yes	no	flag-3 raw ratios with GSM558701 negated	FINAL_DISCORDANT	no
raw_flag3_701_flipped	experiment	gene	TJ_CORE	12	2	10	-0.545024	median_log2	0.726357	-1.2183;-1.6435	-1.43089	yes	no	flag-3 raw ratios with GSM558701 negated	FINAL_DISCORDANT	no
raw_flag3_701_flipped	experiment	gene	STING	9	5	4	0.0710174	median_log2	0.0728815	-1.2183;-1.6435	-1.43089	yes	no	flag-3 raw ratios with GSM558701 negated	FINAL_DISCORDANT	no
raw_flag3_701_flipped	experiment	gene	NHEJ	11	5	6	-0.247498	median_log2	0.450802	-1.2183;-1.6435	-1.43089	yes	no	flag-3 raw ratios with GSM558701 negated	FINAL_DISCORDANT	no
raw_flag3_701_flipped_median_center	experiment	gene	PRIORITY	5	2	3	-0.369873	median_log2	0.653114	-1.5379;-0.7489	-1.14342	yes	no	flag-3 raw ratios, GSM558701 negated, then each array median-centered	FINAL_DISCORDANT	no
raw_flag3_701_flipped_median_center	experiment	gene	APM	15	8	7	0.0703729	median_log2	0.506522	-1.5379;-0.7489	-1.14342	yes	no	flag-3 raw ratios, GSM558701 negated, then each array median-centered	FINAL_DISCORDANT	no
raw_flag3_701_flipped_median_center	experiment	gene	IFN_IMMUNE	55	29	26	0.0660591	median_log2	0.780402	-1.5379;-0.7489	-1.14342	yes	no	flag-3 raw ratios, GSM558701 negated, then each array median-centered	FINAL_DISCORDANT	no
raw_flag3_701_flipped_median_center	experiment	gene	TJ_CORE	12	5	7	-0.19942	median_log2	0.679897	-1.5379;-0.7489	-1.14342	yes	no	flag-3 raw ratios, GSM558701 negated, then each array median-centered	FINAL_DISCORDANT	no
raw_flag3_701_flipped_median_center	experiment	gene	STING	9	6	3	0.439387	median_log2	0.227648	-1.5379;-0.7489	-1.14342	yes	no	flag-3 raw ratios, GSM558701 negated, then each array median-centered	FINAL_DISCORDANT	no
raw_flag3_701_flipped_median_center	experiment	gene	NHEJ	11	6	5	0.0557232	median_log2	0.792094	-1.5379;-0.7489	-1.14342	yes	no	flag-3 raw ratios, GSM558701 negated, then each array median-centered	FINAL_DISCORDANT	no
loo_drop_GSM558700	experiment	gene	PRIORITY	5	3	2	0.26005	median_log2	0.448458	-1.7370;-0.7131	-1.22505	yes	no	leave-one-out drop GSM558700; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558700	experiment	gene	APM	15	8	7	0.0624	median_log2	0.4896	-1.7370;-0.7131	-1.22505	yes	no	leave-one-out drop GSM558700; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558700	experiment	gene	IFN_IMMUNE	59	33	26	0.0836	median_log2	0.346546	-1.7370;-0.7131	-1.22505	yes	no	leave-one-out drop GSM558700; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558700	experiment	gene	TJ_CORE	13	6	7	-0.29375	median_log2	0.598562	-1.7370;-0.7131	-1.22505	yes	no	leave-one-out drop GSM558700; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558700	experiment	gene	STING	10	7	3	0.50175	median_log2	0.200563	-1.7370;-0.7131	-1.22505	yes	no	leave-one-out drop GSM558700; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558700	experiment	gene	NHEJ	11	7	4	0.06805	median_log2	0.196311	-1.7370;-0.7131	-1.22505	yes	no	leave-one-out drop GSM558700; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558701	experiment	gene	PRIORITY	6	1	5	-0.920425	median_log2	0.961495	-0.7131	-0.7131	yes	no	leave-one-out drop GSM558701; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558701	experiment	gene	APM	15	4	11	-0.959325	median_log2	0.96625	-0.7131	-0.7131	yes	no	leave-one-out drop GSM558701; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558701	experiment	gene	IFN_IMMUNE	58	21	37	-0.351025	median_log2	0.972229	-0.7131	-0.7131	yes	no	leave-one-out drop GSM558701; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558701	experiment	gene	TJ_CORE	13	2	11	-0.359225	median_log2	0.907692	-0.7131	-0.7131	yes	no	leave-one-out drop GSM558701; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558701	experiment	gene	STING	9	5	4	0.13815	median_log2	0.244845	-0.7131	-0.7131	yes	no	leave-one-out drop GSM558701; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558701	experiment	gene	NHEJ	11	5	6	-0.22515	median_log2	0.588809	-0.7131	-0.7131	yes	no	leave-one-out drop GSM558701; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558702	experiment	gene	PRIORITY	5	3	2	0.09905	median_log2	0.371531	-1.7370	-1.737	yes	no	leave-one-out drop GSM558702; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558702	experiment	gene	APM	15	7	8	-0.0886	median_log2	0.342123	-1.7370	-1.737	yes	no	leave-one-out drop GSM558702; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558702	experiment	gene	IFN_IMMUNE	57	31	26	0.01325	median_log2	0.533164	-1.7370	-1.737	yes	no	leave-one-out drop GSM558702; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558702	experiment	gene	TJ_CORE	14	7	7	-0.009975	median_log2	0.749923	-1.7370	-1.737	yes	no	leave-one-out drop GSM558702; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558702	experiment	gene	STING	7	6	1	0.348125	median_log2	0.148127	-1.7370	-1.737	yes	no	leave-one-out drop GSM558702; both remaining arrays required	FINAL_DISCORDANT	no
loo_drop_GSM558702	experiment	gene	NHEJ	11	5	6	-0.242	median_log2	0.702723	-1.7370	-1.737	yes	no	leave-one-out drop GSM558702; both remaining arrays required	FINAL_DISCORDANT	no
deposited_probe_level	experiment	probe	PRIORITY	16	7	9	-0.9477	median_of_probe_medians	0.972031	-1.7370;-0.7131	-1.22505	yes	no	no gene collapse; each mapped probe is one observation	FINAL_DISCORDANT	no
deposited_probe_level	experiment	probe	APM	52	14	38	-0.8495	median_of_probe_medians	0.999984	-1.7370;-0.7131	-1.22505	yes	no	no gene collapse; each mapped probe is one observation	FINAL_DISCORDANT	no
deposited_probe_level	experiment	probe	IFN_IMMUNE	98	47	51	-0.0365	median_of_probe_medians	0.900811	-1.7370;-0.7131	-1.22505	yes	no	no gene collapse; each mapped probe is one observation	FINAL_DISCORDANT	no
deposited_probe_level	experiment	probe	TJ_CORE	21	11	9	0.1243	median_of_probe_medians	0.39455	-1.7370;-0.7131	-1.22505	yes	no	no gene collapse; each mapped probe is one observation	FINAL_DISCORDANT	no
deposited_probe_level	experiment	probe	STING	17	12	5	0.5261	median_of_probe_medians	0.0421935	-1.7370;-0.7131	-1.22505	yes	yes	no gene collapse; each mapped probe is one observation	FINAL_DISCORDANT	no
deposited_probe_level	experiment	probe	NHEJ	17	9	7	0.1375	median_of_probe_medians	0.654503	-1.7370;-0.7131	-1.22505	yes	no	no gene collapse; each mapped probe is one observation	FINAL_DISCORDANT	no
deposited_abs_threshold_q50_abs	experiment	gene	PRIORITY	4	1	3	-1.8599	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=0.5995; sign-test p_up=0.9375; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q50_abs	experiment	gene	APM	9	2	7	-1.2515	median_log2_among_|effect|>=threshold	0.972376	-1.7370;-0.7131	-1.22505	yes	no	threshold=0.5995; sign-test p_up=0.9805; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q50_abs	experiment	gene	IFN_IMMUNE	43	16	27	-0.7131	median_log2_among_|effect|>=threshold	0.902457	-1.7370;-0.7131	-1.22505	yes	no	threshold=0.5995; sign-test p_up=0.967; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q50_abs	experiment	gene	TJ_CORE	11	5	6	-0.8625	median_log2_among_|effect|>=threshold	0.240339	-1.7370;-0.7131	-1.22505	yes	no	threshold=0.5995; sign-test p_up=0.7256; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q50_abs	experiment	gene	STING	8	5	3	0.665	median_log2_among_|effect|>=threshold	0.188696	-1.7370;-0.7131	-1.22505	yes	no	threshold=0.5995; sign-test p_up=0.3633; genes below the bar are ignored	FINAL_DISCORDANT	no
