probe,token,token_from,symbol,map_class,legacy_symbol,remapped,GSM558700,GSM558701,GSM558702,description
458,LRAP,ORF,ERAP2,alias_symbol,LRAP,yes,0.5361,0.0566,-0.6215,LRAP--Leukocyte-derived arginine aminopeptidase
1194,GBP2,ORF,GBP2,current,GBP2,no,0.4114,-0.7131,-1.0589,"GBP2--Guanylate binding protein 2, interferon-inducible"
1201,CLDN1,ORF,CLDN1,current,CLDN1,no,-1.3959,0.275,-0.8625,CLDN1--Claudin 1
1253,SOCS1,ORF,SOCS1,current,SOCS1,no,-0.4344,,-1.5564,SOCS1--Suppressor of cytokine signaling 1
1461,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-1.2515,0.4542,-3.0589,"HLA-A--Major histocompatibility complex, class I, A"
1771,OCLN,ORF,OCLN,current,OCLN,no,-1.9434,-1.1203,,OCLN--Occludin
1952,G1P2,ORF,ISG15,prev_symbol,ISG15,yes,0.7137,1.7949,-1.0589,"G1P2--Interferon, alpha-inducible protein (clone IFI-15K)"
2020,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-1.3959,0.0426,-0.6439,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR"
2180,CALR,ORF,CALR,current,CALR,no,0.2141,0.5261,0.6599,CALR--Calreticulin
2825,RELA,ORF,RELA,current,RELA,no,1.852,-2.3959,2.5084,"RELA--V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)"
3171,CCL2,ORF,CCL2,current,CCL2,no,1.1763,0.6599,0.251,CCL2--Chemokine (C-C motif) ligand 2
3271,JACOP,ORF,CGNL1,alias_symbol,JACOP,yes,0.3448,0.251,-1.3959,JACOP--Likely ortholog of mouse junction-associated coiled-coil protein
3345,MARVELD3,ORF,MARVELD3,current,MARVELD3,no,-4.0589,-0.6666,,MARVELD3--MARVEL domain containing 3
3753,CANX,ORF,CANX,current,CANX,no,-1.3219,0.84,-0.2009,CANX--Calnexin
3755,CANX,ORF,CANX,current,CANX,no,-1.0893,1.5261,-0.6666,CANX--Calnexin
3757,CANX,ORF,CANX,current,CANX,no,-1.1203,0.5753,-0.6666,CANX--Calnexin
3759,CANX,ORF,CANX,current,CANX,no,-1.3219,0.8718,-1.737,CANX--Calnexin
3841,TAP2,ORF,TAP2,current,TAP2,no,1.3618,-3.0589,1.3103,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
3895,TJP1,ORF,TJP1,current,TJP1,no,-2.6439,-1.7859,-1.1844,TJP1--Tight junction protein 1 (zona occludens 1)
4255,HLA-C,DESCRIPTION_PREFIX,HLA-C,current,HLA-C,no,-1.2515,1.0566,0.4542,"HLA-C--Major histocompatibility complex, class I, C"
4277,TAP1,ORF,TAP1,current,TAP1,no,-0.8625,2.1763,-0.9434,"TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
4836,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-1.9434,1.3334,-1.7859,"HLA-A--Major histocompatibility complex, class I, A"
4994,IL15,ORF,IL15,current,IL15,no,-0.304,1.157,0.6323,IL15--Interleukin 15
5486,IFIT2,ORF,IFIT2,current,IFIT2,no,-1.5146,1.6736,-1.3219,IFIT2--Interferon-induced protein with tetratricopeptide repeats 2
5568,OASL,ORF,OASL,current,OASL,no,-2.2515,0.84,,OASL--2'-5'-oligoadenylate synthetase-like
5571,IFITM2,ORF,IFITM2,current,IFITM2,no,0.7398,5.6124,-0.4344,IFITM2--Interferon induced transmembrane protein 2 (1-8D)
5619,IFNAR1,ORF,IFNAR1,current,IFNAR1,no,-1.3585,-1.2176,-0.1844,"IFNAR1--Interferon (alpha, beta and omega) receptor 1"
5621,CGN,ORF,CGN,current,CGN,no,-0.1844,2.1667,1.433,CGN--Cingulin
5779,GRP58,ORF,PDIA3,prev_symbol,GRP58,yes,-1.1844,1.0072,-0.737,"GRP58--Glucose regulated protein, 58kDa"
6241,TJP2,ORF,TJP2,current,TJP2,no,0.84,2.8679,,TJP2--Tight junction protein 2 (zona occludens 2)
6506,ARTS-1,DESCRIPTION_PREFIX,ERAP1,alias_symbol,ARTS-1,yes,,,-0.6666,ARTS-1--Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator
6736,JAK2,ORF,JAK2,current,JAK2,no,1.8032,2.9542,2.8237,JAK2--Janus kinase 2 (a protein tyrosine kinase)
6958,IFNG,ORF,IFNG,current,IFNG,no,-0.2688,-0.811,-3.4739,"IFNG--Interferon, gamma"
7462,HLA-C,DESCRIPTION_PREFIX,HLA-C,current,HLA-C,no,-1.2515,0.585,-1.2515,"HLA-C--Major histocompatibility complex, class I, C"
7509,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-3.8365,1.3505,-6.6439,"HLA-A--Major histocompatibility complex, class I, A"
7583,IFNGR1,ORF,IFNGR1,current,IFNGR1,no,0.6415,0.1375,-2.2515,IFNGR1--Interferon gamma receptor 1
7726,TAPBP,ORF,TAPBP,current,TAPBP,no,-1.3585,1.3103,-2,TAPBP--TAP binding protein (tapasin)
8068,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,2.3132,-0.8625,1.3448,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR"
8364,IRF7,ORF,IRF7,current,IRF7,no,-0.4344,0.3448,0.5261,IRF7--Interferon regulatory factor 7
8392,OAS1,ORF,OAS1,current,OAS1,no,0.7398,-0.6897,0.6323,"OAS1--2',5'-oligoadenylate synthetase 1, 40/46kDa"
9105,PRKR,ORF,EIF2AK2,prev_symbol,PRKR,yes,-0.7612,1.9635,0.6415,"PRKR--Protein kinase, interferon-inducible double stranded RNA dependent"
9522,IFI16,ORF,IFI16,current,IFI16,no,-0.5995,,,"IFI16--Interferon, gamma-inducible protein 16"
9889,TAP2,ORF,TAP2,current,TAP2,no,-3.4739,-0.3771,-1.8365,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
9985,TNF,ORF,TNF,current,TNF,no,-0.4941,1.6088,-0.5778,"TNF--Tumor necrosis factor (TNF superfamily, member 2)"
10156,IFITM2,ORF,IFITM2,current,IFITM2,no,0.7655,-0.152,-0.074,IFITM2--Interferon induced transmembrane protein 2 (1-8D)
10628,CLDN18,ORF,CLDN18,current,CLDN18,no,-1.9434,-0.8625,1.9107,CLDN18--Claudin 18
10823,CANX,ORF,CANX,current,CANX,no,-0.5564,1.8032,-1.6897,CANX--Calnexin
10884,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,0.1506,0.669,-0.6439,"HLA-A--Major histocompatibility complex, class I, A"
10905,NOD27,ORF,NLRC5,alias_symbol,NOD27,yes,1.7949,1.3561,-0.5146,NOD27--Nucleotide-binding oligomerization domains 27
10912,PSMB10,ORF,PSMB10,current,PSMB10,no,-0.3771,-0.0893,0.2141,"PSMB10--Proteasome (prosome, macropain) subunit, beta type, 10"
11042,IL15,ORF,IL15,current,IL15,no,2.0875,-0.3585,0.9709,IL15--Interleukin 15
11600,HSXIAPAF1,ORF,XAF1,alias_symbol,HSXIAPAF1,yes,,0.4436,0.4436,HSXIAPAF1--XIAP associated factor-1
