spec	endpoint	exposure	is_primary	k	n_mice	rho	ci_low	ci_high	p_hk	p_z	i2	tau2_reml	pooled_p_reported	studies
primary	immune	pct	True	5	34	0.4772520340262677	-0.6036647437420737	0.9399631207172239	0.3020633635297282	0.30967021911426873	0.7170914463259431	0.7564941385150968	True	GSE165641:n=2:not_estimable;GSE179501:n=4:rho=0.200;GSE180963:n=2:not_estimable;GSE201247:n=4:rho=0.800;GSE264739:n=6:rho=0.943;GSE266323:n=4:rho=0.400;GSE295824:n=16:rho=-0.471
primary	ifn	pct	True	5	56	0.09172370757794483	-0.6820795133265608	0.7686241542578423	0.7961505982049958	0.7786283323504408	0.6534095315659822	0.30568474326749984	True	GSE149813:n=2:not_estimable;GSE154977:n=2:not_estimable;GSE154989:n=24:rho=-0.442;GSE165641:n=2:not_estimable;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE264739:n=6:rho=0.771;GSE295824:n=16:rho=0.312;GSE319598:n=4:rho=0.800
include_WT_GSE201247	immune	pct	False	5	36	0.4763193849153496	-0.566006977040155	0.9326084746848253	0.28257876375911783	0.27393563205524074	0.7362102119259863	0.6864470432291068	True	GSE165641:n=2:not_estimable;GSE179501:n=4:rho=0.200;GSE180963:n=2:not_estimable;GSE201247:n=6:rho=0.714;GSE264739:n=6:rho=0.943;GSE266323:n=4:rho=0.400;GSE295824:n=16:rho=-0.471
include_cisplatin_GSE154977	ifn	pct	False	6	60	0.5747581038063704	-0.7326913625097209	0.9777511374520301	0.3380986613622756	0.26049754149226634	0.8099747838990107	1.6342013595662823	True	GSE149813:n=2:not_estimable;GSE154977:n=4:rho=1.000;GSE154989:n=24:rho=-0.442;GSE165641:n=2:not_estimable;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE264739:n=6:rho=0.771;GSE295824:n=16:rho=0.312;GSE319598:n=4:rho=0.800
include_normal_AT2_GSE154989	ifn	pct	False	5	60	0.05231913546170943	-0.7504764210957393	0.792745805711425	0.8942022967207616	0.8877969220512854	0.7555793535181894	0.44331415060828516	True	GSE149813:n=2:not_estimable;GSE154977:n=2:not_estimable;GSE154989:n=28:rho=-0.598;GSE165641:n=2:not_estimable;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE264739:n=6:rho=0.771;GSE295824:n=16:rho=0.312;GSE319598:n=4:rho=0.800
GSE154989_KP_only	ifn	pct	False	5	47	0.142240471615936	-0.5922825913906209	0.747646813960524	0.6547831510074694	0.6087429979105514	0.482989412407894	0.17124737846914106	True	GSE149813:n=2:not_estimable;GSE154977:n=2:not_estimable;GSE154989:n=15:rho=-0.264;GSE165641:n=2:not_estimable;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE264739:n=6:rho=0.771;GSE295824:n=16:rho=0.312;GSE319598:n=4:rho=0.800
IFN_plus_MHC_composite	ifn	pct	False	8	68	-0.04434060430977378	-0.5577034379584579	0.49355867738208936	0.8627752933678001	0.8646782741600091	0.4459808467441846	0.19948943065629535	True	GSE149813:n=2:not_estimable;GSE154977:n=2:not_estimable;GSE154989:n=24:rho=-0.442;GSE165641:n=2:not_estimable;GSE179501:n=4:rho=-0.800;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE201247:n=4:rho=-0.200;GSE264739:n=6:rho=0.771;GSE266323:n=4:rho=-0.400;GSE295824:n=16:rho=0.312;GSE319598:n=4:rho=0.800
drop_Cldn4_range_under_5pp	immune	pct	False	2	20	-0.4170162419453005	nan	nan	nan	nan	0.0	3.7025085485685465e-06	False	GSE165641:n=2:not_estimable;GSE180963:n=2:not_estimable;GSE266323:n=4:rho=0.400;GSE295824:n=16:rho=-0.471
drop_Cldn4_range_under_5pp	ifn	pct	False	4	50	-0.11120196808560448	-0.8020324758980716	0.7068980224390805	0.7440465719302327	0.7131357842124009	0.601441974024004	0.1863316460869426	True	GSE154977:n=2:not_estimable;GSE154989:n=24:rho=-0.442;GSE165641:n=2:not_estimable;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE295824:n=16:rho=0.312;GSE319598:n=4:rho=0.800
exposure_mean_instead_of_pct	immune	mean	False	5	34	0.47583909827966736	-0.6069423738062653	0.9401395315212487	0.30469197006029797	0.31250509045704167	0.7191734579274918	0.7619953625451804	True	GSE165641:n=2:not_estimable;GSE179501:n=4:rho=0.200;GSE180963:n=2:not_estimable;GSE201247:n=4:rho=0.800;GSE264739:n=6:rho=0.943;GSE266323:n=4:rho=0.400;GSE295824:n=16:rho=-0.476
exposure_mean_instead_of_pct	ifn	mean	False	5	56	0.166116311074371	-0.6102706431970141	0.7797344083518074	0.6236582586297558	0.5874582861470165	0.6152855844987151	0.2566738031032932	True	GSE149813:n=2:not_estimable;GSE154977:n=2:not_estimable;GSE154989:n=24:rho=-0.302;GSE165641:n=2:not_estimable;GSE179502:n=6:rho=-0.600;GSE180963:n=2:not_estimable;GSE264739:n=6:rho=0.771;GSE295824:n=16:rho=0.421;GSE319598:n=4:rho=0.800
