endpoint	accession	n	rho	p	ci_low	ci_high	in_pool	exposure_range	partial_rho	partial_p
immune	GSE165641	2					False	0.13484299516908194		
immune	GSE179501	4	0.19999999999999998	0.8	-0.942197027157889	0.9738905668323076	True	0.026428652349123602		
immune	GSE180963	2					False	0.061986863711001705		
immune	GSE201247	4	0.7999999999999999	0.2000000000000001	-0.6969719659970162	0.9956005666760734	True	0.00660377358490563		
immune	GSE264739	6	0.942857142857143	0.004804664723032055	0.5591349024784216	0.9939000884970722	True	0.031809516407225055	0.7500000000000001	0.0859375
immune	GSE266323	4	0.39999999999999997	0.6	-0.911505171186323	0.9831367411547317	True	0.239405931586608		
immune	GSE295824	16	-0.4705882352941176	0.06581947250108111	-0.7835233933614888	0.03276883195483055	True	0.3560485418106427	-0.030367250182022784	0.9111085018174967
ifn	GSE149813	2					False	0.009361543724093528		
ifn	GSE154977	2					False	0.237456205843176		
ifn	GSE154989	24	-0.4417391304347826	0.030686519885684018	-0.7173171995230646	-0.04664856974430398	True	0.692314335060449	-0.2219872466791552	0.29716366764523267
ifn	GSE165641	2					False	0.13484299516908194		
ifn	GSE179502	6	-0.6	0.208	-0.9493102631338279	0.4123665842697636	True	0.22492394075013789	0.7500000000000001	0.0859375
ifn	GSE180963	2					False	0.061986863711001705		
ifn	GSE264739	6	0.7714285714285715	0.07239650145772594	-0.10734492222140524	0.973512724596368	True	0.031809516407225055	1.1093356479670479e-31	1.0
ifn	GSE295824	16	0.31176470588235294	0.23980004767411275	-0.21757317299159804	0.6993898270011055	True	0.3560485418106427	0.13077230335570061	0.629280789096176
ifn	GSE319598	4	0.7999999999999999	0.2000000000000001	-0.6969719659970162	0.9956005666760734	True	0.06905548082018671		
