sample	TACSTD2	CLDN4	CD8A	GEP18	WES_purity	ESTIMATE_ESTIMATEScore
11LU013	12.1415	13.9614	8.083	-0.4453010096009565	1.0	15644.913
11LU016	12.0216	13.1615	9.0321	0.4516368025024481	0.26	16565.172
11LU022	10.8317	13.3015	9.2421	0.04549604078576128	0.26	15853.37
11LU035	13.0916	13.8716	8.1123	-0.022154039988963224	0.46	17569.744
C3L-00001	11.5018	13.1119	7.5305	-0.5236311368753237	0.25	15822.926
C3L-00009	12.7115	12.7915	8.6423	-0.11182875273311102	0.26	17464.303
C3L-00080	11.9518	10.7917	8.7215	-0.25600972893176765	0.45	12611.467
C3L-00083	10.8818	11.6119	8.0796	0.10970691801056182	0.33	18574.503
C3L-00093	13.349	14.079	8.4101	0.5643322768046259	0.24	18100.142
C3L-00094	10.2017	12.5416	8.7121	-0.35937345534807474	0.38	14996.958
C3L-00095	12.0916	12.3616	9.4818	0.3344051193022719	0.24	19080.278
C3L-00140	11.7116	11.8816	7.6532	-0.4082108689908666	0.3	13192.962
C3L-00144	12.7117	13.4717	9.6617	0.7275089403517555	0.23	16427.787
C3L-00263	13.4615	13.0915	9.8518	0.9145018933745176	0.23	19439.285
C3L-00279	12.4366	13.2066	8.7571	0.6352658944573965	0.25	18990.52
C3L-00368	12.4715	13.3615	8.5024	0.06410683226835551	0.35	16037.451
C3L-00412	11.7416	11.8116	8.4523	0.029671727290437783	0.23	18801.025
C3L-00422	12.3941	12.7441	7.5652	-0.5655818854323862	0.56	13542.531
C3L-00510	13.1117	13.1117	7.5522	-0.5519971777352299	0.81	9482.018
C3L-00604	12.2916	14.0815	6.2557	-0.49725731758050656	0.7	15030.721
C3L-00893	13.0316	13.1216	7.8422	-0.5414103313918208	0.57	14297.47
C3L-00913	12.6716	12.3116	9.6218	0.455238853928622	0.24	17586.557
C3L-00973	13.4216	12.4416	8.9221	0.5884174032882274	0.23	18062.894
C3L-01330	12.3017	13.2017	6.9416	-0.36112270019919795	0.31	14603.47
C3L-01632	12.2514	12.7214	7.315	-1.0573523064099903	0.37	14332.543
C3L-01682	13.0217	13.5417	8.7119	0.8314522876629201	0.24	18145.027
C3L-01683	10.8517	11.5717	10.7217	1.8485238907214752		21341.17
C3L-01862	13.6315	12.7416	8.5822	0.2733958442468131	0.34	16068.941
C3L-01889	12.1916	12.2516	7.6225	-0.9790336414380446	0.52	12145.922
C3L-01890	11.3519	11.872	8.4298	-0.9833555857948377		13953.608
C3L-01924	12.5416	13.4816	8.7421	0.4284379450718757	0.31	16743.314
C3L-02219	12.6916	14.0715	7.8927	0.5504724954933715	0.26	17144.034
C3L-02345	11.5617	12.6417	8.5517	0.26154548754137635	0.36	17101.588
C3L-02348	11.2216	12.5915	9.7819	0.733699393359688	0.4	16361.58
C3L-02350	11.9316	12.4615	9.2421	0.6141764971907313	0.28	17164.205
C3L-02365	13.8115	14.3215	6.7147	-1.516167237642616	0.43	12675.998
C3L-02508	12.3215	11.1516	8.303	0.20278004000525968	0.24	19664.686
C3L-02549	13.2815	11.5416	8.4525	0.321387410573917	0.2	14799.414
C3N-00167	12.8314	13.4314	7.554	-0.3747725532784708	0.46	14482.733
C3N-00169	12.2614	12.7214	8.1533	-0.3576510774839154	0.42	15071.187
C3N-00175	12.2418	12.8819	7.9407	-0.06356300554192272	0.34	15441.38
C3N-00180	9.8918	12.2317	6.2931	-1.517039162880418	0.6	10033.773
C3N-00199	12.7716	12.9316	7.5329	-0.9897452588640974	0.54	13465.737
C3N-00203	12.6215	13.0115	9.8119	1.1009110029259737	0.25	15726.903
