cohort	gene	feature	n	unadj_rho	partial_rho	partial_p	purity	note
OncoSG (PR #139, not re-run)	TACSTD2	CD8	169	-0.38	-0.309	4.69e-05	published clinical PURITY	taken as given
OncoSG (PR #139, not re-run)	TACSTD2	GEP18	169	-0.414	-0.349	3.62e-06	published clinical PURITY	GEP 17/18; CCL5 absent
