sample	TACSTD2	CLDN4	CD8A	GEP18	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_TumorPurity
GSM773540	12350.791	509.092	201.17812	-0.47844226544416635	2027.4413036283493	3297.1633220271015	5324.604625655451	0.18317873681794727
GSM773541	19676.393	733.3699	494.29187	-0.23046373871144615	4399.101959362206	5574.998591751671	9974.100551113876	-0.4779093590873545
GSM773542	24314.342	728.8713	249.2085	-0.31648778850403114	4008.516790200244	4520.759703389481	8529.276493589725	-0.28229898517485696
GSM773543	21259.371	1090.583	106.10137	-0.6528602837004116	2436.5893529308682	3947.5180476117894	6384.107400542658	0.028692275978343756
GSM773544	21476.067	896.5425	159.07049	-0.6566831048617555	3694.4206088934793	3863.8116509005968	7558.2322597940765	-0.14315814326216134
GSM773545	20917.013	1334.9007	1121.07327	0.6650743023918085	3940.566237379464	5777.968529305977	9718.534766685441	-0.4446281220594609
GSM773546	21504.004	1519.1524	132.89743	-0.5277547723520999	5183.173429060042	4380.318487324437	9563.491916384479	-0.42412961080005857
GSM773547	15922.484	651.1353	610.19996	-0.2306615424474148	4341.277883804449	4915.336243267353	9256.614127071802	-0.3829193514039807
GSM773548	21539.332	1060.0888	189.30389	-0.8133227998920168	3375.7177333013788	3498.1971611946615	6873.91489449604	-0.04318840670954017
GSM773549	13326.272	532.1843	465.53224	-0.04870182969612421	4138.283016765846	5646.457473496024	9784.74049026187	-0.45331175791460354
GSM773550	20755.13	1086.1847	234.21819	-0.7311616361543989	4303.55791527691	4141.736753228977	8445.294668505887	-0.2704516821879786
GSM773551	21097.911	2022.4668	690.40266	0.49348822633629896	4339.152211361886	5983.81665793273	10322.968869294615	-0.5222463685942281
GSM773552	20569.647	1380.2885	636.83714	0.6186182468969392	4955.7555638836875	5234.990073968171	10190.745637851858	-0.505597292795157
GSM773553	21888.417	1417.2558	192.88154	-0.7720926558734926	2650.742449598948	3266.0812823446313	5916.823731943579	0.09713463765326202
GSM773554	23165.805	2159.6424	252.73891	-0.6912035706572071	2047.164480179422	3383.0025769044173	5430.16705708384	0.16792420227775678
GSM773555	11674.184	2345.0625	1483.73576	0.6998429675355513	4041.44831026717	5489.387737548512	9530.836047815683	-0.4197837514550253
GSM773556	5091.955	867.5459	361.15362	-0.3243857477367908	2967.094334838385	3972.746833584184	6939.841168422568	-0.05285441646179618
GSM773557	22846.848	1818.0482	620.92009	-0.12815236346279124	4437.3975307128385	4902.751638288171	9340.14916900101	-0.39421766997677693
GSM773558	9983.277	721.8038	56.46838	-1.1921752724371943	3510.010172764877	2361.9732881886243	5871.983460953501	0.10368339312692919
GSM773559	1914.933	1045.574	1154.13873	1.1774211239166474	3781.41056572663	6540.418480957646	10321.829046684277	-0.5221036778764072
GSM773560	13720.178	549.7441	287.12745	0.41255915967473106	5318.376962801221	5569.477045245693	10887.854008046914	-0.5910835709972456
GSM773561	18346.673	315.9578	700.9902	0.29076109758322854	4480.958972926527	5232.499583801671	9713.458556728197	-0.44396057550517903
GSM773562	11469.421	406.4725	403.174	-0.07656485830757315	4621.3418586223315	5439.573127704771	10060.914986327101	-0.4890641291802123
GSM773563	18191.201	1633.7647	1063.8271	0.4375836807416748	4222.107251609707	5444.494612430153	9666.601864039862	-0.4377870993179559
GSM773564	14474.508	1171.6576	378.28219	-0.24551088536727741	3712.7383292026248	5339.962898938129	9052.701228140753	-0.35510127823807647
GSM773565	18429.954	3499.0465	577.2191	-0.076091177935167	4910.508028200728	5810.859467912633	10721.367496113362	-0.5711968595004757
GSM773566	14480.105	1573.7699	461.5856	0.06914225689655189	5354.266641935119	5547.495642146685	10901.762284081804	-0.5927290923570585
GSM773567	12791.97	315.9569	510.29617	-0.0064125159988496355	5008.599183422823	6496.308676603059	11504.907860025884	-0.661620541216287
