ModelID,MHC-I score,IFN-response score,is_NSCLC
ACH-000012,0.23699905,0.20350175,1.0
ACH-000015,-0.80306894,-0.55103856,1.0
ACH-000021,-0.23080459,-0.029569289,1.0
ACH-000029,-0.172778,0.1665413,1.0
ACH-000030,0.08416425,-0.36511454,1.0
ACH-000033,-0.4092395,-0.5689383,1.0
ACH-000035,0.6272395,1.6415927,1.0
ACH-000062,0.52413327,0.5160391,1.0
ACH-000066,0.7282856,1.9857785,1.0
ACH-000109,0.4325923,0.48125714,1.0
ACH-000121,1.1453793,0.87089807,1.0
ACH-000129,-0.31191626,-0.4263468,0.0
ACH-000143,0.45958218,0.15898988,1.0
ACH-000150,1.361895,0.5536427,1.0
ACH-000161,0.6617484,-0.026965639,1.0
ACH-000176,0.8973633,0.5421684,1.0
ACH-000179,-0.74063796,-0.4986157,0.0
ACH-000186,0.30820203,-0.28937152,1.0
ACH-000187,-0.36745584,-0.8234514,0.0
ACH-000251,0.51417774,0.58650315,1.0
ACH-000257,-0.9368666,-0.64005613,0.0
ACH-000261,0.51954734,-0.3469523,1.0
ACH-000264,-0.22198305,-0.33563384,1.0
ACH-000282,0.5729851,-0.2798882,1.0
ACH-000290,-0.94408196,-0.6830498,0.0
ACH-000292,0.018111095,-0.47605446,0.0
ACH-000297,-0.4066294,-0.11384557,0.0
ACH-000298,-0.30642003,-0.20787814,0.0
ACH-000311,-0.25157893,-0.2683248,1.0
ACH-000314,0.47865915,0.29052874,1.0
ACH-000327,0.9881656,-0.1565734,1.0
ACH-000337,-0.93210286,-0.52000916,1.0
ACH-000339,0.25572675,0.13580506,1.0
ACH-000343,-0.58573705,-0.5884519,1.0
ACH-000355,-1.6648128,-0.9119092,0.0
ACH-000358,-0.91904044,-0.7786321,0.0
ACH-000378,-0.034369275,0.14575084,1.0
ACH-000379,0.6343542,0.50218517,1.0
ACH-000382,-0.80574614,-0.37649894,0.0
ACH-000390,0.3668192,-0.26461026,1.0
ACH-000392,0.37062475,0.8220965,1.0
ACH-000394,-0.8060659,-0.716221,0.0
ACH-000395,-0.014882773,-0.15356839,1.0
ACH-000399,0.64288735,0.5438892,0.0
ACH-000414,-0.27650338,0.274553,1.0
ACH-000416,-0.80659693,-0.37904194,1.0
ACH-000431,-0.642117,-0.4332482,0.0
ACH-000434,-0.9901224,-0.11363684,1.0
ACH-000438,0.21268184,-0.07778687,1.0
ACH-000442,1.6073757,0.2762685,1.0
ACH-000444,-0.26130572,-0.30836612,1.0
ACH-000447,1.152393,1.0583413,1.0
ACH-000448,0.028122451,0.19204204,1.0
ACH-000451,0.43828925,-0.5380122,1.0
ACH-000454,0.59189546,-0.30497614,1.0
ACH-000463,0.18014506,-0.26223058,1.0
ACH-000481,-0.39042565,-0.47472063,1.0
ACH-000482,0.43384537,0.41818765,1.0
ACH-000496,0.5984541,0.44614556,1.0
ACH-000506,-1.2872993,-0.71842015,0.0
ACH-000508,-1.1120468,-0.62909853,0.0
ACH-000510,-0.2613937,-0.63135254,1.0
ACH-000511,0.4571834,0.60268486,1.0
ACH-000514,-1.1494292,-0.66970265,0.0
ACH-000515,-1.646301,-0.6419131,0.0
ACH-000521,0.82525134,0.3614392,1.0
ACH-000523,-0.6436994,-0.67369586,0.0
ACH-000525,-1.4418502,-0.70111114,0.0
ACH-000528,-0.21634585,-0.62731254,1.0
ACH-000530,-0.26247564,-0.12429196,0.0
ACH-000553,0.79175156,0.03728486,1.0
ACH-000559,-0.9538606,-0.5434342,0.0
ACH-000562,1.2705979,1.4515445,1.0
ACH-000563,1.0440273,0.07941378,1.0
ACH-000575,-0.040425774,0.24663277,1.0
ACH-000578,0.7729111,0.26529542,1.0
ACH-000585,0.6470946,-0.08623095,1.0
ACH-000586,-0.13517664,-0.39242482,0.0
ACH-000587,0.5788632,0.88633645,1.0
ACH-000589,-0.09279137,-0.34666187,1.0
ACH-000590,-0.42706904,0.14365159,1.0
ACH-000594,0.09038713,-0.10705376,0.0
ACH-000596,0.30612975,1.1393851,1.0
ACH-000603,0.17188099,-0.5313876,1.0
ACH-000610,-0.9814924,-0.22652231,0.0
ACH-000627,1.1683115,0.17908134,1.0
ACH-000628,1.9458361,2.8508646,1.0
ACH-000638,0.50423396,0.026386777,1.0
ACH-000639,-1.0047132,-0.73328066,0.0
ACH-000659,-0.9925274,-0.57133037,0.0
ACH-000662,0.5297014,0.03505281,1.0
ACH-000665,0.8773776,1.341437,1.0
ACH-000666,-0.10729908,0.29836303,1.0
ACH-000667,0.30601734,0.33392158,1.0
ACH-000669,0.69881725,1.8773533,1.0
ACH-000670,-0.4166852,-0.49916664,0.0
ACH-000672,0.28870037,0.02324439,1.0
ACH-000675,0.7443339,0.58317226,1.0
ACH-000677,0.7582906,-0.18918838,1.0
ACH-000681,-0.73415196,-0.61265916,1.0
ACH-000690,0.0919132,-0.73537415,1.0
ACH-000695,-0.42278185,-0.29223448,0.0
ACH-000698,0.84151745,-0.42373684,0.0
ACH-000700,0.21133758,0.08729733,1.0
ACH-000703,-0.37835926,-0.13789202,0.0
ACH-000705,0.12691899,-0.44566894,1.0
ACH-000706,-0.051109288,-0.44121936,1.0
ACH-000712,0.5896251,-0.6269534,1.0
ACH-000718,0.51573586,0.7925604,1.0
ACH-000729,-1.081653,-0.67738384,0.0
ACH-000731,0.96949434,1.263203,1.0
ACH-000733,0.40953195,-0.18752532,1.0
ACH-000737,-0.968815,-0.5582644,1.0
ACH-000743,0.56874657,-0.17815657,0.0
ACH-000744,-0.38238257,-0.6314778,1.0
ACH-000747,0.7747132,-0.39206776,1.0
ACH-000749,-0.24673255,-0.37872586,0.0
ACH-000752,0.9123158,1.1919038,0.0
ACH-000757,0.2979535,-0.524138,1.0
ACH-000766,0.77056974,1.7330943,1.0
ACH-000767,0.11820014,-0.44175002,0.0
ACH-000769,-0.8858994,-0.59197426,1.0
ACH-000774,0.51562446,1.5197476,1.0
ACH-000775,-0.09917261,-0.39347678,0.0
ACH-000779,-0.33102855,-0.59484565,1.0
ACH-000780,-1.5795586,-0.6633237,0.0
ACH-000781,0.3676601,-0.15467222,1.0
ACH-000785,0.3740242,-0.24217997,1.0
ACH-000787,0.69058305,-0.08794253,1.0
ACH-000789,-1.0314213,-0.83140576,1.0
ACH-000790,-0.6937818,-0.5022729,0.0
ACH-000791,0.9904527,1.5796229,1.0
ACH-000800,-1.6879457,-0.54035217,0.0
ACH-000803,0.30499166,-0.16504073,0.0
ACH-000813,1.0714113,1.922903,1.0
ACH-000816,-0.88717806,-0.757504,0.0
ACH-000825,0.42073792,0.32563028,1.0
ACH-000826,-0.06635057,-0.05093629,1.0
ACH-000830,-0.5030319,-0.33235314,0.0
ACH-000837,-0.4935632,-0.76191455,1.0
ACH-000840,0.8332731,2.209105,1.0
ACH-000841,0.7759497,0.51521385,1.0
ACH-000843,0.04801064,0.2530357,1.0
ACH-000844,-0.0044458993,0.13132106,0.0
ACH-000845,0.36883992,0.45453817,1.0
ACH-000851,-0.39677104,-0.5661325,1.0
ACH-000852,-0.46653008,-0.4974477,1.0
ACH-000853,-0.091585405,-0.41579273,1.0
ACH-000858,-0.092590116,0.00024302516,1.0
ACH-000860,0.3322004,0.59347904,1.0
ACH-000861,0.6506907,0.0788577,1.0
ACH-000866,0.36814648,0.13742442,0.0
ACH-000867,-0.44199604,-0.18627714,1.0
ACH-000868,-0.8650491,0.01803029,1.0
ACH-000869,0.23241244,-0.47046217,1.0
ACH-000870,-1.0404322,-0.70142645,0.0
ACH-000871,-0.6984062,-0.45037577,0.0
ACH-000872,-0.2341359,-0.18051694,1.0
ACH-000875,0.16198319,0.6918513,1.0
ACH-000878,0.15726396,0.9816589,1.0
ACH-000886,0.7544142,0.27437723,1.0
ACH-000888,-0.12680575,-0.025733242,1.0
ACH-000890,0.3912536,-0.019407246,0.0
ACH-000891,1.0289243,2.263866,1.0
ACH-000892,0.97657853,-0.22544608,1.0
ACH-000893,0.6199744,0.38932222,1.0
ACH-000894,0.75725025,1.7117529,1.0
ACH-000900,-0.15501136,-0.62311065,1.0
ACH-000901,0.1300316,-0.11537085,1.0
ACH-000904,-0.04220733,-0.42929178,1.0
ACH-000912,0.18544824,-0.16283718,0.0
ACH-000916,0.26234686,0.095960125,1.0
ACH-000921,0.5539361,-0.15847388,1.0
ACH-000924,-0.24638674,-0.50917745,1.0
ACH-000925,0.39439762,0.42263666,1.0
ACH-000929,-0.4180118,0.18841253,1.0
ACH-000945,0.29166365,-0.20696393,1.0
ACH-000951,-1.0903426,-0.039865293,1.0
ACH-000975,0.48578823,0.19550474,1.0
ACH-000980,0.49122158,-0.27320257,1.0
ACH-001046,0.6990694,1.9133495,0.0
ACH-001075,0.36019558,0.07551564,1.0
ACH-001113,0.058163848,0.025884569,1.0
ACH-001386,-0.93234783,-0.6239075,0.0
ACH-001489,0.14211029,-0.13182639,1.0
ACH-001549,-0.7065994,-0.69315946,0.0
ACH-001591,-1.310057,-0.52121943,0.0
ACH-002034,-1.3803356,-0.66073185,1.0
ACH-002035,0.2965404,-0.22173476,1.0
ACH-002051,-0.67782974,-0.70941925,0.0
ACH-002052,-1.5767013,-0.90956014,0.0
ACH-002074,-0.84458065,-0.6631114,0.0
ACH-002075,-0.82816356,-0.531321,0.0
ACH-002077,0.5777914,-0.037631754,0.0
ACH-002170,1.0487964,-0.39409748,0.0
ACH-002490,0.27486983,1.3524885,0.0
ACH-002497,-0.10302995,0.006218753,1.0
ACH-002522,1.1446946,1.3519773,1.0
ACH-002526,0.056176554,-0.6088583,1.0
ACH-002531,0.21649641,0.32852954,1.0
ACH-002650,-0.80681646,0.672043,1.0
ACH-002996,0.1398221,-0.4529782,1.0
ACH-003012,-0.76154304,-0.5910713,1.0
ACH-003061,0.03413952,-0.20130454,0.0
ACH-003071,-1.1534388,-0.600741,0.0
ACH-003119,-1.1070988,0.20521127,0.0
ACH-003120,-1.1456078,0.28315535,0.0
ACH-003121,-0.40952045,-0.713603,0.0
