query,partner,cohort,n,pearson_r,p,q_within_family_test
TACSTD2,EPCAM,pan-cancer,1178,0.10208885371685028,0.0004492117732297629,0.0020963216084055603
TACSTD2,CLDN4,pan-cancer,1178,0.07425374537706375,0.010792284272611141,0.027471269057555633
TACSTD2,CLDN3,pan-cancer,1178,0.053970854729413986,0.06405890733003616,0.11210308782756329
TACSTD2,CLDN7,pan-cancer,1178,-0.05978140980005264,0.04022068902850151,0.08044137805700302
TACSTD2,KRT8,pan-cancer,349,0.1416272222995758,0.008056540042161942,0.027471269057555633
TACSTD2,KRT18,pan-cancer,1178,-0.023166202008724213,0.4269787669181824,0.5434275215322321
TACSTD2,CDH1,pan-cancer,1178,0.04474956914782524,0.124775230884552,0.20551214498632095
TACSTD2,EPCAM,lung,126,0.21606022119522095,0.015104171819984913,0.035243067579964794
TACSTD2,CLDN4,lung,126,-0.0006108109373599291,0.9945838451385498,0.9945838451385498
TACSTD2,CLDN3,lung,126,0.20117345452308655,0.023895466700196266,0.051467159046576574
TACSTD2,CLDN7,lung,126,-0.046427614986896515,0.6056914925575256,0.7373635561569877
TACSTD2,KRT8,lung,42,0.21368910372257233,0.17420180141925812,0.24388252198696136
TACSTD2,KRT18,lung,126,-0.0059313420206308365,0.9474442601203918,0.9945838451385498
TACSTD2,CDH1,lung,126,0.013786018826067448,0.8782300353050232,0.983617639541626
CLDN4,CLDN3,pan-cancer,1178,0.3438764810562134,4.90196894080485e-34,1.372551303425358e-32
CLDN4,CLDN7,pan-cancer,1178,0.10844177007675171,0.00019224791321903467,0.001076588314026594
CLDN4,CLDN1,pan-cancer,1178,0.1625056117773056,2.0359342656206536e-08,2.850307971868915e-07
CLDN4,CLDN6,pan-cancer,1178,0.09121406078338623,0.0017252280376851559,0.0069009121507406235
CLDN4,TACSTD2,pan-cancer,1178,0.07425374537706375,0.010792284272611141,0.027471269057555633
CLDN4,EPCAM,pan-cancer,1178,0.11062142997980118,0.00014214799739420414,0.000995035981759429
CLDN4,CDH1,pan-cancer,1178,0.0418584831058979,0.15106795728206635,0.2307034919136449
CLDN4,CLDN3,lung,126,0.35633429884910583,4.217325113131665e-05,0.00039361701055895537
CLDN4,CLDN7,lung,126,0.23215121030807495,0.008902943693101406,0.027471269057555633
CLDN4,CLDN1,lung,126,0.08481763303279877,0.34502142667770386,0.46002856890360516
CLDN4,CLDN6,lung,126,-0.03563058748841286,0.692037045955658,0.8073765536149343
CLDN4,TACSTD2,lung,126,-0.0006108109373599291,0.9945838451385498,0.9945838451385498
CLDN4,EPCAM,lung,126,0.12697026133537292,0.15654879808425903,0.2307034919136449
CLDN4,CDH1,lung,126,0.16763681173324585,0.06061877682805061,0.11210308782756329
