query,cohort,n_lines,n_genes_tested,profile_sd,max_abs_r,perm_null_max_abs_r_mean,perm_null_max_abs_r_p95,perm_p_for_max_abs_r,n_q_lt_0.05,n_q_lt_0.10,n_abs_r_gt_0.3,n_permutations
TACSTD2,pan-cancer,1178,14873,0.12618283927440643,0.25264613187005547,0.14725587101189141,0.18681620564101914,0.004975124378109453,3328,4438,0,200
TACSTD2,lung,126,12348,0.12135760486125946,0.5387329061962595,0.4206062862062167,0.526286980483838,0.03980099502487562,2,19,77,200
CLDN4,pan-cancer,1178,14873,0.12651456892490387,0.39983418110251623,0.15184401639215042,0.18588453179144157,0.004975124378109453,5630,6645,4,200
CLDN4,lung,126,12348,0.1316038966178894,0.5059131073166961,0.42105574850968724,0.5256463219026435,0.0945273631840796,165,469,187,200
EGFR,pan-cancer,1178,14873,0.33511051535606384,0.457730072280159,,,,2155,2973,13,0
EGFR,lung,126,12348,0.4031463861465454,0.5345188580986331,,,,13,18,34,0
CTNNB1,pan-cancer,1178,14873,0.36607471108436584,0.6807142634327551,,,,1567,2343,7,0
CTNNB1,lung,126,12348,0.24849773943424225,0.4820300864937241,,,,4,6,24,0
MYC,pan-cancer,1178,14873,0.6593008041381836,0.41501290892538695,,,,2183,2915,3,0
MYC,lung,126,12348,0.6883099675178528,0.44722000431610687,,,,31,86,92,0
